,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.03993524,-3.1797416
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.13873042,-1.8258749
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.6272994,0.52064866
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.040460248,-3.1661339
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.03945019,-3.192467
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.85288095,1.7573779
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.6067905,0.43384096
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.05106862,-2.9221663
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.6198638,0.4889702
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.039689362,-3.1861737
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.36366093,-0.55950963
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.48034376,-0.078665495
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.03944625,-3.192571
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.12780838,-1.920477
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.13216615,-1.8819405
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.552014,0.20881137
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.65118945,0.6242717
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.22247244,-1.2513158
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.03944588,-3.1925807
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.90407664,2.2433646
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.547238,0.18951714
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.63007927,0.5325569
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.5894808,0.3618195
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.039450787,-3.1924512
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.07203247,-2.5558798
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.23669738,-1.1708721
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.14927313,-1.7403134
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.609517,0.44528234
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.03944561,-3.1925879
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.4072268,-0.37544158
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.37823227,-0.49705815
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,6551,0.12997985,-1.9011369
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.0419852,-3.127546
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.6050046,0.42636198
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.1410605,-1.8065096
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.15424989,-1.70165
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,6181,0.039445736,-3.1925845
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.18477699,-1.484312
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.09966692,-2.2009308
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.5437329,0.17537963
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.07253506,-2.548385
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.039436914,-3.1928174
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.087220564,-2.3480542
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.05533733,-2.8373802
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.71949005,0.9419335
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.039442655,-3.1926658
