,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.8552654,1.77651
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.86045575,1.8190805
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.86960745,1.8974924
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.86549807,1.8617265
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.8408437,1.6645188
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.8511571,1.7437055
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.8693871,1.8955504
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.86329186,1.8429046
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.48016092,-0.07939797
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.8745715,1.9419981
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.85887045,1.8059398
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.7880958,1.3134853
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.8540691,1.766879
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.851825,1.7489872
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.8503597,1.7374249
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.86638457,1.8693631
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.87473315,1.9434726
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.8580894,1.799511
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.86675996,1.8726097
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.8683764,1.8866787
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.86618334,1.867626
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.8924573,2.1160908
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.85584635,1.7812111
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.8650111,1.8575498
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.8684056,1.8869343
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.8599069,1.814517
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.86492586,1.85682
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.86794174,1.8828814
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.8697169,1.8984578
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.8650111,1.8575498
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.8697169,1.8984578
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,6551,0.85336214,1.7612181
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.8610525,1.8240595
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.8681555,1.8847475
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.86837816,1.8866944
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.8831925,2.0230157
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,6181,0.8307575,1.5910053
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.8681545,1.8847392
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.8473014,1.7135906
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.8579948,1.7987343
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.872863,1.9265133
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.8661619,1.8674408
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.85795546,1.7984116
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.86250657,1.8362666
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.8716534,1.9156573
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.8610525,1.8240595
46,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.85795546,1.7984116
47,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0,0.86433643,1.851784
48,1.0,25,5,1.0,0.0,0.0,1.0,0,0,12187,0.8307575,1.5910053
49,1.0,23,12,1.0,0.0,0.0,0.0,0,0,4843,0.8693871,1.8955504
50,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0,0.8425257,1.6771421
51,1.0,31,11,1.0,0.0,1.0,1.0,0,0,8087,0.86020577,1.817
52,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0,0.8743082,1.9396003
53,1.0,25,12,1.0,0.0,0.0,0.0,0,0,2348,0.86837816,1.8866944
