,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.058572434,-2.7771332
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.5392864,0.15747005
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.7718484,1.2187778
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.3640763,-0.5577153
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.43160424,-0.27530888
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.22234944,-1.252027
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.19100536,-1.4434907
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.30884567,-0.8055215
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.16735071,-1.6045208
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.06908897,-2.6007686
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.09355749,-2.2709515
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.12001323,-1.9923049
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.060019765,-2.751185
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.1777574,-1.5316159
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.7927864,1.3418038
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.27570674,-0.9658586
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.10467508,-2.1463256
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.58075786,0.32588524
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.26778218,-1.0059042
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.1634228,-1.6329782
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.11355444,-2.0549374
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.22909372,-1.2134356
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.42444873,-0.30453712
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.16465387,-1.6240005
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.8270824,1.5650891
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.36022153,-0.5744028
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.18839249,-1.4604894
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.08158477,-2.4210072
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.17705582,-1.5364233
