,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.002912721,-5.8357506
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.046383776,-3.0233116
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.2929489,-0.8811047
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.029060362,-3.5088892
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.007093288,-4.941488
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.001955022,-6.235397
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.0017400889,-6.3520775
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.018492334,-3.9717336
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.051786333,-2.9074535
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.4845964,-0.06163397
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.00028011962,-8.180014
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.0043223933,-5.4396143
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.99670416,5.7117934
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.0006750935,-7.299984
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.06328175,-2.6947856
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.0011832849,-6.738277
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.003426154,-5.672885
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.0048485976,-5.3242054
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.0013463533,-6.6090083
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.058135644,-2.7850823
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.15126468,-1.7247162
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.56069934,0.24400082
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.0031803742,-5.747571
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.45909885,-0.16397108
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.025132226,-3.658151
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,7.6202545e-05,-9.482039
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.0038968115,-5.543692
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.23681739,-1.1702081
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.0005494697,-7.506007
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.02858823,-3.5257554
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.03800164,-3.2313833
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.0174256,-4.0322356
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.0104559045,-4.5500774
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.0016393923,-6.411789
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.3587388,-0.5808423
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.0044506546,-5.4102435
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.02638821,-3.6080954
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.94905084,2.9246342
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.0020191618,-6.2030516
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.623327,0.5036939
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.0025156634,-5.9827
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,8.781848e-05,-9.340151
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.34192005,-0.6547495
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.0027195872,-5.904552
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.0057972698,-5.144554
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.0060842144,-5.095955
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.002539916,-5.973081
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.0015730852,-6.453142
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.0052181003,-5.25039
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.02958422,-3.4904835
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.680339,0.75533
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.0003696652,-7.902543
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.003985678,-5.5210543
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.022830779,-3.7565503
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.0069994093,-4.9549055
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.1875822,-1.4657977
56,1.0,30,11,1.0,0.0,1.0,1.0,0,590,0.045277514,-3.0486102
57,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.005884136,-5.129594
58,1.0,37,9,1.0,0.0,0.0,1.0,0,1067,0.005128091,-5.2678804
59,1.0,41,4,1.0,0.0,1.0,1.0,0,7284,0.010299824,-4.565275
60,1.0,42,14,1.0,0.0,1.0,0.0,0,13167,0.015479423,-4.152643
61,1.0,22,11,0.0,0.0,0.0,1.0,0,1048,0.00065820734,-7.325332
62,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.008920165,-4.7104807
63,1.0,29,8,1.0,0.0,0.0,1.0,0,1923,0.0007927884,-7.139161
64,1.0,28,10,1.0,0.0,0.0,1.0,2836,3196,0.0016276707,-6.4189763
65,1.0,35,10,1.0,0.0,0.0,1.0,0,4666,0.13002257,-1.9007592
66,1.0,27,11,1.0,0.0,0.0,1.0,0,549,0.11205707,-2.0698993
67,1.0,29,4,1.0,0.0,0.0,1.0,0,762,0.017295929,-4.039837
68,1.0,28,9,1.0,0.0,0.0,1.0,0,10694,0.0073954007,-4.899474
69,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.0031749848,-5.7492723
70,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0.021613084,-3.8126063
71,1.0,45,5,1.0,0.0,1.0,1.0,0,8546,0.0074454434,-4.8926797
72,1.0,29,13,1.0,0.0,0.0,0.0,0,7479,0.013080815,-4.3234415
73,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0.022077069,-3.7908914
74,1.0,46,13,1.0,0.0,0.0,0.0,0,647,0.00019324855,-8.55134
75,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0.039920956,-3.1801143
76,1.0,25,12,1.0,0.0,0.0,0.0,0,11965,0.96147513,3.2171648
77,1.0,28,15,1.0,0.0,0.0,0.0,0,9598,0.25236955,-1.0860143
78,1.0,31,9,1.0,0.0,0.0,1.0,1698,10363,0.0023449457,-6.0531454
79,1.0,25,11,0.0,0.0,0.0,1.0,0,18783,0.0035021887,-5.650859
80,1.0,22,12,1.0,0.0,0.0,0.0,0,18678,0.0041215722,-5.4873905
81,1.0,28,11,1.0,0.0,0.0,1.0,1284,60307,0.9233381,2.4885907
82,1.0,21,9,1.0,0.0,0.0,1.0,0,0,0.009536492,-4.6430473
83,1.0,40,11,1.0,0.0,0.0,1.0,0,23005,0.067178994,-2.6308527
84,1.0,22,11,1.0,0.0,0.0,1.0,0,6456,0.021662375,-3.810278
85,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.0033960151,-5.681751
86,1.0,27,9,1.0,0.0,1.0,1.0,934,1773,0.0019746067,-6.2254095
87,1.0,23,10,1.0,0.0,1.0,1.0,936,11233,0.0072456556,-4.920081
88,1.0,29,10,1.0,0.0,0.0,1.0,4398,0,0.0008988685,-7.0134745
89,1.0,18,12,1.0,0.0,0.0,0.0,0,2321,0.0037875369,-5.5722446
90,1.0,38,12,0.0,0.0,0.0,0.0,0,4941,0.15510449,-1.6951139
91,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0.05933769,-2.7633395
92,1.0,27,8,1.0,0.0,0.0,1.0,0,0,0.01643929,-4.091505
93,1.0,38,11,1.0,0.0,0.0,1.0,0,0,0.0008203545,-7.1049533
94,1.0,23,8,0.0,1.0,0.0,1.0,0,3881,0.4031293,-0.39244306
95,1.0,26,11,1.0,0.0,0.0,1.0,0,17230,0.07000041,-2.586683
96,1.0,42,9,1.0,0.0,1.0,1.0,3058,1294,0.005793945,-5.145131
97,1.0,21,12,0.0,0.0,0.0,0.0,0,8048,0.0002933552,-8.133833
98,1.0,25,8,1.0,0.0,0.0,1.0,0,0,0.004172984,-5.474942
99,1.0,31,11,1.0,0.0,1.0,1.0,0,14509,0.0043472997,-5.4338436
100,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.00856226,-4.751792
101,1.0,19,8,1.0,0.0,0.0,1.0,2657,9970,0.0015449022,-6.4712486
102,1.0,29,14,1.0,0.0,0.0,0.0,679,17814,0.0027844685,-5.88091
103,1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.03808747,-3.2290382
104,1.0,21,12,1.0,0.0,0.0,0.0,0,9983,0.031871036,-3.4136677
105,1.0,44,11,1.0,0.0,0.0,1.0,0,0,0.0023449457,-6.0531454
106,1.0,19,10,1.0,0.0,0.0,1.0,385,8124,0.9782853,3.8078125
107,1.0,25,12,0.0,0.0,0.0,0.0,0,5587,0.03361777,-3.3585048
108,1.0,18,10,1.0,0.0,0.0,1.0,798,9737,0.00075348455,-7.190048
109,1.0,18,9,1.0,0.0,0.0,1.0,0,4482,0.07806396,-2.4689474
110,1.0,19,9,1.0,0.0,0.0,1.0,798,17685,0.029828267,-3.4820166
111,1.0,18,9,1.0,0.0,0.0,1.0,3287,5010,0.0007331238,-7.2174625
112,1.0,26,11,1.0,0.0,1.0,1.0,1392,1460,0.15910839,-1.6648772
113,1.0,42,12,1.0,0.0,0.0,0.0,0,2456,0.096161686,-2.2406197
114,1.0,25,10,1.0,0.0,0.0,1.0,0,0,0.0061773383,-5.0806713
115,1.0,31,9,0.0,1.0,0.0,1.0,0,26817,0.0038382423,-5.558895
116,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.024446994,-3.6864972
117,1.0,26,10,1.0,0.0,0.0,1.0,0,9265,0.0553423,-2.837285
118,1.0,20,12,1.0,0.0,0.0,0.0,377,1652,0.037557255,-3.243608
119,1.0,19,10,0.0,0.0,0.0,1.0,5324,13829,0.0014903075,-6.5072813
120,1.0,25,11,1.0,0.0,0.0,1.0,0,485,0.002604006,-5.9480968
121,1.0,23,8,0.0,0.0,1.0,1.0,1713,4232,0.06955085,-2.5936093
122,1.0,31,12,0.0,0.0,0.0,0.0,2611,2484,0.02691435,-3.5878124
123,1.0,18,11,1.0,0.0,0.0,1.0,0,4814,0.9487914,2.9192812
124,1.0,19,11,1.0,0.0,0.0,1.0,0,7458,0.07423106,-2.523442
125,1.0,43,9,1.0,0.0,0.0,1.0,0,0,0.9524808,2.997936
126,1.0,27,13,1.0,0.0,0.0,0.0,0,34099,0.07895817,-2.4565873
127,1.0,26,11,0.0,0.0,0.0,1.0,2226,13385,0.011755375,-4.4316196
128,1.0,29,10,0.0,1.0,0.0,1.0,8853,5112,0.9509702,2.9650538
129,1.0,17,9,1.0,0.0,0.0,1.0,0,1953,0.012779385,-4.34706
130,1.0,30,11,1.0,0.0,0.0,1.0,0,0,0.014272967,-4.235012
131,1.0,17,10,1.0,0.0,0.0,1.0,156,10641,0.6026189,0.4163891
132,1.0,20,12,0.0,0.0,1.0,0.0,8644,11656,0.15492056,-1.6965181
133,1.0,17,9,1.0,0.0,0.0,1.0,375,3621,0.04189511,-3.1297882
134,1.0,18,12,1.0,0.0,0.0,0.0,562,0,0.02994975,-3.4778268
135,1.0,21,11,0.0,1.0,0.0,1.0,1395,0,0.010913959,-4.5067387
136,1.0,30,11,1.0,0.0,0.0,1.0,1913,0,0.0014453593,-6.537951
137,1.0,18,11,0.0,1.0,0.0,1.0,5491,2454,0.38111147,-0.48483318
138,1.0,20,12,1.0,0.0,0.0,0.0,9227,0,0.000776431,-7.160026
139,1.0,20,6,0.0,1.0,1.0,1.0,10802,4488,0.033520263,-3.3615103
140,1.0,20,10,1.0,0.0,0.0,1.0,11073,0,0.013045932,-4.326147
141,1.0,25,8,1.0,0.0,0.0,1.0,37431,2346,0.9980058,6.21552
142,1.0,17,9,0.0,0.0,0.0,1.0,1618,6011,0.050129797,-2.9417098
143,1.0,18,10,0.0,1.0,0.0,1.0,2589,0,0.16868706,-1.594961
144,1.0,19,9,0.0,1.0,0.0,1.0,6511,7913,0.01961038,-3.911891
145,1.0,19,11,1.0,0.0,0.0,1.0,192,661,0.026814437,-3.5916343
146,1.0,27,10,0.0,1.0,0.0,1.0,421,3075,0.0010731847,-6.836051
147,1.0,18,12,0.0,1.0,0.0,0.0,535,1115,0.0022754646,-6.083293
148,1.0,22,11,1.0,0.0,0.0,1.0,606,317,0.0193704,-3.9244487
149,1.0,20,9,1.0,0.0,0.0,1.0,660,12229,0.009290922,-4.669383
150,1.0,20,11,1.0,0.0,0.0,1.0,696,0,0.0021543098,-6.1381283
151,1.0,18,10,1.0,0.0,0.0,1.0,699,480,0.52070326,0.0828604
152,1.0,17,10,1.0,0.0,0.0,1.0,856,3251,0.0026827303,-5.918234
153,1.0,26,12,1.0,0.0,0.0,0.0,1088,11460,0.0016978977,-6.376665
154,1.0,22,10,1.0,0.0,0.0,1.0,1071,7315,0.47791794,-0.08838579
155,1.0,20,12,1.0,0.0,0.0,0.0,1160,702,0.005565492,-5.185589
156,1.0,18,8,1.0,0.0,0.0,1.0,1199,0,0.84911436,1.7276716
157,1.0,18,9,1.0,0.0,0.0,1.0,1285,15369,0.004075768,-5.498612
158,1.0,18,10,1.0,0.0,0.0,1.0,1371,12064,0.00070198544,-7.2608957
159,1.0,19,10,1.0,0.0,0.0,1.0,1374,13278,0.0023874694,-6.035131
160,1.0,18,9,0.0,1.0,0.0,1.0,1713,8836,0.012793975,-4.3459044
161,1.0,17,10,0.0,1.0,0.0,1.0,2202,4387,0.009498746,-4.6470513
162,1.0,19,11,1.0,0.0,0.0,1.0,1927,11965,0.0100188,-4.5932226
163,1.0,27,11,1.0,0.0,1.0,1.0,2142,2186,0.00075348455,-7.190048
164,1.0,19,10,1.0,0.0,0.0,1.0,3213,2975,0.8604251,1.8188254
165,1.0,19,9,0.0,1.0,0.0,1.0,3276,14271,0.005047169,-5.283868
166,1.0,27,10,1.0,0.0,0.0,1.0,3213,2094,0.013298354,-4.3067274
167,1.0,21,11,1.0,0.0,1.0,1.0,4167,11300,0.0065486203,-5.0219307
168,1.0,29,10,1.0,0.0,1.0,1.0,4923,130,0.02020455,-3.881436
169,1.0,34,11,0.0,1.0,0.0,1.0,4641,2877,0.0038449646,-5.5571384
170,1.0,25,10,0.0,0.0,0.0,1.0,4712,6103,0.00035433786,-7.9449053
171,1.0,31,13,0.0,0.0,0.0,0.0,5498,2329,0.07517432,-2.5097957
172,1.0,41,9,1.0,0.0,1.0,1.0,5783,0,0.005518726,-5.194074
