,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.6138216,0.46340495
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.42563748,-0.29967278
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.58391815,0.33887893
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.5810676,0.32715762
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.58183277,0.3303016
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.4208096,-0.31945083
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.4639603,-0.1444093
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.3908186,-0.4438726
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.6225,0.50017303
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.4235687,-0.30814043
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.4692856,-0.12301243
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.43800867,-0.24924771
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.4698098,-0.12090792
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.374806,-0.51165354
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.53096867,0.12403345
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.47876745,-0.08498131
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.45311508,-0.18809222
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.5795201,0.32080367
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.4207736,-0.31959847
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.38626623,-0.4630344
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.4137834,-0.3483466
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.47039786,-0.11854729
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.45726156,-0.17137195
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.42956433,-0.28362885
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.5709221,0.28561422
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.38880235,-0.45234928
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.5921289,0.37277302
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.61315465,0.46059218
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.37718567,-0.50151086
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.4771284,-0.09155031
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.4799792,-0.08012614
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,6551,0.38455954,-0.4702396
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.37923914,-0.4927789
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.59217215,0.3729522
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.536145,0.14483255
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.41264656,-0.3530353
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,6181,0.4406882,-0.23836954
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.44110116,-0.23669419
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.36738032,-0.5434718
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.5912972,0.36933059
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.52977616,0.11924576
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.6403323,0.5768066
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.4165694,-0.33687246
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.5204285,0.08175942
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.6396988,0.5740571
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.37425327,-0.51401293
46,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.55183303,0.20807971
47,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0,0.36635777,-0.54787403
48,1.0,25,5,1.0,0.0,0.0,1.0,0,0,12187,0.40720674,-0.3755246
49,1.0,23,12,1.0,0.0,0.0,0.0,0,0,4843,0.57431436,0.29947576
50,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0,0.39320976,-0.43383995
51,1.0,31,11,1.0,0.0,1.0,1.0,0,0,8087,0.41707185,-0.33480552
52,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0,0.6621588,0.6729294
53,1.0,25,12,1.0,0.0,0.0,0.0,0,0,2348,0.41468433,-0.34463376
54,1.0,30,11,1.0,0.0,1.0,1.0,0,0,590,0.4168439,-0.3357432
55,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.5184537,0.07384842
56,1.0,37,9,1.0,0.0,0.0,1.0,0,0,1067,0.4482864,-0.20759667
57,1.0,41,4,1.0,0.0,1.0,1.0,0,0,7284,0.4399634,-0.24131066
58,1.0,42,14,1.0,0.0,1.0,0.0,0,0,13167,0.4264639,-0.29629314
59,1.0,22,11,0.0,0.0,0.0,1.0,0,0,1048,0.4415735,-0.23477852
60,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.62417316,0.5072993
61,1.0,29,8,1.0,0.0,0.0,1.0,0,0,1923,0.51936245,0.07748856
62,1.0,35,10,1.0,0.0,0.0,1.0,0,0,4666,0.38439235,-0.470946
63,1.0,27,11,1.0,0.0,0.0,1.0,0,0,549,0.44061494,-0.23866673
64,1.0,29,4,1.0,0.0,0.0,1.0,0,0,762,0.542877,0.17193036
65,1.0,28,9,1.0,0.0,0.0,1.0,0,0,10694,0.45119795,-0.19583155
66,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0,0.5005602,0.002240887
67,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0,0.4085456,-0.369981
68,1.0,45,5,1.0,0.0,1.0,1.0,0,0,8546,0.45597953,-0.17653897
69,1.0,29,13,1.0,0.0,0.0,0.0,0,0,7479,0.39856276,-0.41145715
70,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0,0.42215434,-0.3139359
71,1.0,46,13,1.0,0.0,0.0,0.0,0,0,647,0.4484392,-0.2069789
72,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0,0.38175377,-0.48211098
73,1.0,25,12,1.0,0.0,0.0,0.0,0,0,11965,0.53195924,0.12801148
74,1.0,28,15,1.0,0.0,0.0,0.0,0,0,9598,0.36765715,-0.54228085
75,1.0,25,11,0.0,0.0,0.0,1.0,0,0,18783,0.4097224,-0.3651131
