,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.59188503,0.37176347
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.5880169,0.35577348
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.5630688,0.2536261
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.5780402,0.3147333
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.6091262,0.44364077
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.5731364,0.29465917
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.5843187,0.34052762
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.5743488,0.2996167
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.6355859,0.5562564
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.57531816,0.30358294
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.5747958,0.30144522
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.6002881,0.40666562
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.5663309,0.26689672
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.58060265,0.3252478
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.5563545,0.22637993
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.585491,0.3453561
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.5817736,0.3300583
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.5788588,0.31809035
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.61441094,0.46589184
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.5760345,0.3065154
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.58941793,0.36155963
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.6013084,0.41091976
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.62295866,0.5021253
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.58684856,0.35095257
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.5864742,0.34940875
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.57915306,0.31929764
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.5843745,0.34075737
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.5886878,0.35854334
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.5876447,0.35423708
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.58684856,0.35095257
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.5876447,0.35423708
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,6551,0.6790177,0.7492613
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.59298915,0.37633622
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.591459,0.36999997
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.5792642,0.3197537
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.6023443,0.41524252
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,6181,0.5849709,0.34321344
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.59356314,0.37871504
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.64776826,0.6092437
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.57773626,0.31348735
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.58905756,0.3600708
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.58302224,0.33519244
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.56435925,0.2588731
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.5793923,0.32027933
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.5965798,0.39123428
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.59298915,0.37633622
46,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.56435925,0.2588731
47,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0,0.5735299,0.29626784
48,1.0,25,5,1.0,0.0,0.0,1.0,0,0,12187,0.5849709,0.34321344
49,1.0,23,12,1.0,0.0,0.0,0.0,0,0,4843,0.5843187,0.34052762
50,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0,0.58902705,0.35994473
51,1.0,31,11,1.0,0.0,1.0,1.0,0,0,8087,0.5732431,0.2950953
52,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0,0.60031396,0.4067735
53,1.0,25,12,1.0,0.0,0.0,0.0,0,0,2348,0.5792642,0.3197537
54,1.0,30,11,1.0,0.0,1.0,1.0,0,0,590,0.5763359,0.30774975
55,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.5876447,0.35423708
56,1.0,37,9,1.0,0.0,0.0,1.0,0,0,1067,0.6145967,0.46667606
57,1.0,41,4,1.0,0.0,1.0,1.0,0,0,7284,0.64592165,0.60116
58,1.0,42,14,1.0,0.0,1.0,0.0,0,0,13167,0.594167,0.3812187
59,1.0,22,11,0.0,0.0,0.0,1.0,0,0,1048,0.6079235,0.43859208
60,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.56435925,0.2588731
61,1.0,29,8,1.0,0.0,0.0,1.0,0,0,1923,0.5930335,0.37652
62,1.0,35,10,1.0,0.0,0.0,1.0,0,0,4666,0.60048014,0.40746608
63,1.0,27,11,1.0,0.0,0.0,1.0,0,0,549,0.5780402,0.3147333
64,1.0,29,4,1.0,0.0,0.0,1.0,0,0,762,0.61506265,0.4686436
65,1.0,28,9,1.0,0.0,0.0,1.0,0,0,10694,0.5784885,0.3165717
66,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0,0.5780402,0.3147333
67,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0,0.5670626,0.2698767
68,1.0,45,5,1.0,0.0,1.0,1.0,0,0,8546,0.65590316,0.64509004
69,1.0,29,13,1.0,0.0,0.0,0.0,0,0,7479,0.57476676,0.3013265
70,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0,0.5757764,0.30545872
71,1.0,46,13,1.0,0.0,0.0,0.0,0,0,647,0.6334604,0.54709095
72,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0,0.54973125,0.19958492
73,1.0,25,12,1.0,0.0,0.0,0.0,0,0,11965,0.5792642,0.3197537
74,1.0,28,15,1.0,0.0,0.0,0.0,0,0,9598,0.59560376,0.38718042
75,1.0,25,11,0.0,0.0,0.0,1.0,0,0,18783,0.59988934,0.40500405
76,1.0,22,12,1.0,0.0,0.0,0.0,0,0,18678,0.5866961,0.3503237
77,1.0,21,9,1.0,0.0,0.0,1.0,0,0,0,0.57396996,0.2980672
78,1.0,40,11,1.0,0.0,0.0,1.0,0,0,23005,0.61377656,0.46321493
79,1.0,22,11,1.0,0.0,0.0,1.0,0,0,6456,0.5918729,0.37171313
80,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0,0.5792642,0.3197537
81,1.0,18,12,1.0,0.0,0.0,0.0,0,0,2321,0.59666,0.39156765
82,1.0,38,12,0.0,0.0,0.0,0.0,0,0,4941,0.6066981,0.43345383
83,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0,0.5817736,0.3300583
84,1.0,27,8,1.0,0.0,0.0,1.0,0,0,0,0.58404624,0.33940607
85,1.0,38,11,1.0,0.0,0.0,1.0,0,0,0,0.6052053,0.42720184
86,1.0,23,8,0.0,1.0,0.0,1.0,0,0,3881,0.5749489,0.3020718
