,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.41890007,-0.32729033
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.30147105,-0.8403026
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.599051,0.4015125
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.4452379,-0.21993063
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.4681425,-0.12760285
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.5630231,0.25344032
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.6435306,0.59072125
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.19834468,-1.3966724
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.3133156,-0.7846638
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.25331485,-1.0810105
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.5474863,0.1905194
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.26912364,-0.99907327
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.31001085,-0.8000686
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.2796121,-0.9463866
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.6007514,0.40859687
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.52687806,0.10761601
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.58102775,0.32699382
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.3057667,-0.8199856
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.6116725,0.454348
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.44510216,-0.22048025
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.25733688,-1.0598565
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.14567874,-1.7689035
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.4450682,-0.22061762
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.46980706,-0.12091895
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.29726684,-0.8603471
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.33068883,-0.7050712
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.26404712,-1.0250385
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.2638732,-1.0259337
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.26909488,-0.99921954
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.2923118,-0.8841826
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.6999079,0.8468593
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.32377556,-0.7364746
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.450033,-0.20053732
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.25418258,-1.076428
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.52674425,0.10707914
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.28031754,-0.94288695
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.40425083,-0.38778412
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.6178056,0.48024446
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.29286352,-0.88151705
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.26385647,-1.0260198
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.729259,0.99086636
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.744915,1.0716734
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.48951334,-0.041952785
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.6093819,0.4447149
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.9246543,2.5073333
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.24490072,-1.1259964
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.3418782,-0.6549355
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.53888243,0.15584438
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.25695902,-1.0618346
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.30727044,-0.81291145
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.48122078,-0.0751522
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.8205532,1.5200999
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.573839,0.29753166
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.13567844,-1.8516573
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.37636346,-0.5050124
