,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.15912117,-1.6647817
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.9825752,4.032281
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.12014863,-1.9910234
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.018374901,-3.9782238
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.025632331,-3.6379342
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.034648906,-3.3272257
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.97760963,3.7764797
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.080351725,-2.4375777
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.019395836,-3.9231105
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.013230514,-4.3119106
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.106345445,-2.1286266
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.046988495,-3.0097241
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.4587633,-0.16532229
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.019345367,-3.9257674
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.028808132,-3.5178664
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.079833366,-2.4446132
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.91182745,2.336155
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.056224808,-2.82053
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.9652292,3.3235881
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.66750795,0.69693536
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.1426654,-1.7933263
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.9797774,3.8805244
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.03240761,-3.3964176
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.97885007,3.8347416
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.85446745,1.7700787
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9705549,3.49534
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.028802134,-3.5180807
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.8665814,1.8710643
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.03246185,-3.394689
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.013190104,-4.3150105
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.02414786,-3.6991153
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.16114423,-1.649739
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.9658562,3.3424337
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.98300433,4.057655
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.025554169,-3.6410685
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.02556007,-3.6408315
