treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,0.9594325,3.1633742,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.81110173,1.4571849,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.44307843,-0.22867769,99
1.0,18,8,1.0,0.0,0.0,1.0,1199,0.98943627,4.5397086,0
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.96143734,3.216145,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,0.96431965,3.2968225,9371
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.8831596,2.0226967,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.9312588,2.6061885,0
1.0,38,12,0.0,0.0,0.0,0.0,0,0.580462,0.32467017,4941
1.0,27,11,1.0,0.0,0.0,1.0,2666,0.98477596,4.1695385,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.9594325,3.1633742,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.97371936,3.6122906,672
1.0,43,9,1.0,0.0,0.0,1.0,0,0.97057915,3.4961894,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.22073226,-1.2614043,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,0.98477596,4.1695385,549
1.0,17,9,0.0,1.0,0.0,1.0,74,0.915001,2.3762853,6210
1.0,20,9,0.0,1.0,0.0,1.0,8015,0.82086736,1.522235,5487
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.9641717,3.2925315,7976
1.0,30,11,1.0,0.0,0.0,1.0,0,0.98187476,3.9921587,0
1.0,33,11,1.0,0.0,0.0,1.0,7867,0.93816006,2.719371,6281
1.0,34,11,0.0,1.0,0.0,1.0,4641,0.41615087,-0.33859476,2877
1.0,24,12,1.0,0.0,0.0,0.0,18154,0.2984275,-0.85479724,0
1.0,31,9,1.0,0.0,0.0,1.0,1698,0.98112273,3.9507391,10363
1.0,18,11,0.0,1.0,0.0,1.0,5491,0.8407678,1.6639521,2454
1.0,28,11,1.0,0.0,1.0,1.0,6952,0.8617657,1.8300333,7318
1.0,41,14,0.0,0.0,0.0,0.0,0,0.5528431,0.2121647,5149
1.0,23,12,0.0,1.0,0.0,0.0,1117,0.77300286,1.2253454,559
1.0,21,11,0.0,1.0,0.0,1.0,6658,0.83542687,1.6245878,9381
1.0,22,12,0.0,1.0,1.0,0.0,7055,0.27521908,-0.96830195,10092
1.0,21,12,0.0,0.0,0.0,0.0,0,0.7802954,1.2673885,8048
1.0,27,11,1.0,0.0,0.0,1.0,14223,0.55760163,0.23143399,7661
1.0,28,15,1.0,0.0,0.0,0.0,0,0.8916969,2.1081922,9598
1.0,27,10,0.0,1.0,0.0,1.0,421,0.86682814,1.8732003,3075
1.0,29,10,1.0,0.0,1.0,1.0,4923,0.8325915,1.6041061,130
1.0,27,12,1.0,0.0,0.0,0.0,4310,0.8145497,1.4798484,0
1.0,22,10,1.0,0.0,1.0,1.0,5588,0.9160254,2.3895297,13228
1.0,22,11,0.0,0.0,0.0,1.0,0,0.89922774,2.1886733,1048
1.0,29,12,1.0,0.0,0.0,0.0,4878,0.7740568,1.2313616,10976
1.0,25,8,0.0,0.0,0.0,1.0,23096,0.12005551,-1.9919046,6421
1.0,20,12,0.0,0.0,1.0,0.0,8644,0.25764048,-1.0582685,11656
1.0,20,9,0.0,1.0,0.0,1.0,5875,0.84407294,1.6888505,1358
1.0,31,12,0.0,0.0,0.0,0.0,2611,0.5932998,0.37762353,2484
1.0,19,10,0.0,0.0,0.0,1.0,5324,0.8081282,1.437893,13829
1.0,26,12,1.0,0.0,1.0,0.0,5794,0.668538,0.7015799,1424
1.0,25,11,0.0,0.0,0.0,1.0,0,0.8877954,2.0684173,18783
1.0,31,9,0.0,1.0,0.0,1.0,0,0.8317312,1.5979466,26817
1.0,18,9,0.0,1.0,0.0,1.0,1713,0.915001,2.3762853,8836
1.0,41,9,1.0,0.0,1.0,1.0,5783,0.81309015,1.4702156,0
1.0,25,12,0.0,0.0,0.0,0.0,0,0.7241278,0.9650303,5587
1.0,17,10,0.0,1.0,0.0,1.0,2202,0.915001,2.3762853,4387
1.0,26,11,0.0,0.0,0.0,1.0,4676,0.6086006,0.44143382,1973
1.0,22,11,1.0,0.0,0.0,1.0,12170,0.6811075,0.75886625,8408
1.0,20,10,1.0,0.0,0.0,1.0,11073,0.69066554,0.8032326,0
1.0,24,15,1.0,0.0,0.0,0.0,13008,0.26635632,-1.0131885,14683
1.0,27,12,1.0,0.0,1.0,0.0,334,0.8390204,1.6509571,0
1.0,29,10,0.0,1.0,0.0,1.0,8853,0.61184204,0.45506173,5112
1.0,31,13,0.0,0.0,0.0,0.0,5498,0.3037274,-0.8296107,2329
1.0,19,8,0.0,0.0,0.0,1.0,3416,0.904332,2.2463126,9251
1.0,46,13,1.0,0.0,0.0,0.0,0,0.7851805,1.2961155,647
1.0,42,9,1.0,0.0,1.0,1.0,3058,0.9107959,2.3233922,1294
1.0,23,10,1.0,0.0,1.0,1.0,10495,0.41209155,-0.35532567,3385
1.0,18,8,0.0,1.0,1.0,1.0,0,0.7914852,1.333901,2787
1.0,27,10,0.0,1.0,0.0,1.0,0,0.86682814,1.8732003,11142
1.0,35,8,1.0,0.0,1.0,1.0,17976,0.16619214,-1.6128583,3786
1.0,23,12,0.0,0.0,0.0,0.0,3903,0.72049373,0.946912,796
1.0,46,8,1.0,0.0,1.0,1.0,0,0.73712486,1.0310781,3094
1.0,23,12,1.0,0.0,1.0,0.0,15079,0.12752132,-1.9230547,10283
1.0,26,11,0.0,0.0,0.0,1.0,22959,0.11263143,-2.0641396,2746
1.0,41,9,1.0,0.0,1.0,1.0,7212,0.78644013,1.3035994,3154
1.0,27,13,0.0,0.0,1.0,0.0,853,0.3964174,-0.42041525,0
1.0,17,9,0.0,0.0,0.0,1.0,1618,0.90814954,2.2912471,6011
1.0,25,10,0.0,0.0,0.0,1.0,4712,0.7212326,0.95058393,6103
1.0,27,12,1.0,0.0,1.0,0.0,7806,0.59439725,0.38217363,2777
1.0,19,9,0.0,0.0,0.0,1.0,0,0.9070717,2.2783933,13188
1.0,24,12,0.0,1.0,1.0,0.0,7212,0.258556,-1.0534873,6485
1.0,24,12,1.0,0.0,0.0,0.0,12982,0.45085344,-0.19722296,0
1.0,19,11,0.0,1.0,1.0,1.0,5463,0.6338298,0.5486821,6788
1.0,18,12,0.0,1.0,0.0,0.0,535,0.80086315,1.3916978,1115
1.0,21,12,0.0,0.0,0.0,0.0,7390,0.50908756,0.036354292,3557
1.0,23,8,0.0,0.0,1.0,1.0,1713,0.73124546,1.0009507,4232
1.0,33,12,0.0,0.0,1.0,0.0,0,0.320838,-0.74992335,12418
1.0,21,12,0.0,0.0,0.0,0.0,334,0.7802954,1.2673885,12558
1.0,42,14,1.0,0.0,1.0,0.0,0,0.7662427,1.1872154,13167
1.0,46,8,1.0,0.0,0.0,1.0,2594,0.902691,2.227489,0
1.0,26,10,1.0,0.0,1.0,1.0,8141,0.8916603,2.1078134,4635
1.0,19,11,1.0,0.0,0.0,1.0,10224,0.7743929,1.2332844,11293
1.0,23,10,1.0,0.0,0.0,1.0,15709,0.6305794,0.5347033,5665
1.0,49,8,0.0,0.0,1.0,1.0,7285,0.12056262,-1.9871131,16717
1.0,22,12,0.0,0.0,0.0,0.0,8455,0.46362713,-0.14574899,12590
1.0,18,10,0.0,1.0,0.0,1.0,12625,0.2753045,-0.9678738,0
1.0,35,9,1.0,0.0,1.0,1.0,13830,0.15439145,-1.7005652,12803
1.0,19,9,0.0,1.0,0.0,1.0,6511,0.83021945,1.5871834,7913
