treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
1.0,18,11,1.0,0.0,0.0,1.0,858,214,0.9844082,4.1452956,929
1.0,29,14,1.0,0.0,0.0,0.0,0,679,0.9339394,2.648839,17814
1.0,25,8,1.0,0.0,0.0,1.0,0,0,0.9869104,4.3227615,0
1.0,35,10,1.0,0.0,0.0,1.0,0,0,0.9816196,3.9779189,4666
1.0,20,9,1.0,0.0,0.0,1.0,6083,0,0.9729188,3.5814612,8881
1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.946691,2.876867,1574
1.0,20,12,1.0,0.0,0.0,0.0,0,377,0.96486616,3.3128247,1652
1.0,21,12,1.0,0.0,0.0,0.0,0,0,0.96486616,3.3128247,9983
1.0,27,12,1.0,0.0,0.0,0.0,2143,357,0.9244984,2.5050972,22163
1.0,18,10,1.0,0.0,0.0,1.0,0,798,0.9875143,4.3706083,9737
1.0,41,14,0.0,0.0,0.0,0.0,0,0,0.68438435,0.77399445,5149
1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9871481,4.341329,0
1.0,23,10,1.0,0.0,0.0,1.0,0,0,0.9872831,4.352026,7693
1.0,40,11,1.0,0.0,0.0,1.0,0,0,0.9829432,4.054001,23005
1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.98703545,4.3324876,9897
1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.96486616,3.3128247,3191
1.0,19,11,1.0,0.0,0.0,1.0,2305,2615,0.9773563,3.7649703,4146
1.0,37,9,1.0,0.0,0.0,1.0,0,0,0.98137087,3.9642239,1067
1.0,28,11,1.0,0.0,0.0,1.0,1929,6871,0.863351,1.8434056,0
1.0,40,12,1.0,0.0,0.0,0.0,0,0,0.9588918,3.149571,10804
1.0,26,11,1.0,0.0,0.0,1.0,0,0,0.98703545,4.3324876,17230
1.0,27,10,1.0,0.0,1.0,1.0,0,0,0.9428786,2.8037589,18739
1.0,23,8,0.0,1.0,0.0,1.0,0,0,0.8989039,2.1851046,3881
1.0,29,13,1.0,0.0,0.0,0.0,0,0,0.9553913,3.0641918,7479
1.0,42,9,1.0,0.0,1.0,1.0,0,3058,0.92454416,2.505753,1294
1.0,20,11,1.0,0.0,0.0,1.0,16318,1484,0.9281927,2.5592527,6943
1.0,24,10,1.0,0.0,1.0,1.0,11703,4078,0.5787382,0.31759575,0
1.0,20,9,0.0,1.0,0.0,1.0,12260,5875,0.332789,-0.69559765,1358
1.0,26,11,0.0,0.0,0.0,1.0,0,2226,0.9026328,2.2268262,13385
1.0,31,12,0.0,0.0,0.0,0.0,0,2611,0.74101263,1.0512384,2484
1.0,26,10,1.0,0.0,1.0,1.0,2027,0,0.89199024,2.1112337,0
1.0,21,12,1.0,0.0,0.0,0.0,6473,3332,0.9217955,2.4669962,9371
1.0,23,12,1.0,0.0,0.0,0.0,6269,3039,0.9293303,2.576447,8484
1.0,18,11,0.0,0.0,0.0,1.0,3678,919,0.7985907,1.3775095,4321
1.0,21,9,1.0,0.0,0.0,1.0,6416,5749,0.9126394,2.346296,743
1.0,22,12,1.0,0.0,0.0,0.0,5605,936,0.9293303,2.576447,0
1.0,37,11,1.0,0.0,1.0,1.0,0,0,0.9207493,2.4525716,9930
1.0,25,11,0.0,0.0,0.0,1.0,0,0,0.9026328,2.2268262,18783
1.0,27,10,0.0,1.0,0.0,1.0,0,0,0.9003107,2.2006814,11142
1.0,25,12,0.0,0.0,0.0,0.0,0,0,0.794555,1.3526039,5587
1.0,18,8,0.0,1.0,1.0,1.0,0,0,0.7637049,1.1731,2787
1.0,27,13,0.0,0.0,1.0,0.0,9381,853,0.21621649,-1.2878526,0
1.0,33,11,1.0,0.0,0.0,1.0,0,7867,0.9018019,2.2174077,6281
1.0,23,12,1.0,0.0,1.0,0.0,0,0,0.86353046,1.8449278,5911
1.0,23,8,0.0,0.0,1.0,1.0,0,1713,0.7459427,1.0770891,4232
1.0,33,12,1.0,0.0,1.0,0.0,20279,10941,0.030182127,-3.4698584,15952
1.0,22,12,0.0,0.0,0.0,0.0,6759,8455,0.07304012,-2.5409014,12590
1.0,22,11,0.0,0.0,0.0,1.0,0,0,0.9026328,2.2268262,1048
1.0,29,12,1.0,0.0,0.0,0.0,10881,1817,0.8841581,2.0324094,0
1.0,22,10,1.0,0.0,1.0,1.0,1468,5588,0.75432426,1.1218097,13228
1.0,21,12,0.0,0.0,0.0,0.0,0,0,0.794555,1.3526039,8048
1.0,46,8,1.0,0.0,1.0,1.0,0,0,0.88801754,2.0706491,3094
1.0,25,12,1.0,0.0,0.0,0.0,14426,2409,0.88452476,2.0359945,0
1.0,31,9,1.0,0.0,0.0,1.0,10717,5517,0.8032776,1.4069068,9558
1.0,29,12,1.0,0.0,0.0,0.0,9748,4878,0.57511437,0.3027489,10976
1.0,33,12,0.0,0.0,1.0,0.0,0,0,0.47925067,-0.08304501,12418
1.0,19,11,0.0,1.0,1.0,1.0,5424,5463,0.14762175,-1.7533772,6788
1.0,29,10,0.0,1.0,0.0,1.0,0,8853,0.3810496,-0.48509553,5112
1.0,22,12,0.0,1.0,1.0,0.0,492,7055,0.14382242,-1.7838985,10092
1.0,26,12,1.0,0.0,1.0,0.0,8408,5794,0.25728127,-1.0601474,1424
1.0,42,14,1.0,0.0,1.0,0.0,0,0,0.7964219,1.3640792,13167
1.0,19,10,0.0,0.0,0.0,1.0,0,5324,0.6522855,0.6291007,13829
1.0,21,12,0.0,0.0,0.0,0.0,3670,334,0.60634524,0.43197522,12558
1.0,23,12,0.0,1.0,0.0,0.0,9385,1117,0.5562321,0.22588398,559
1.0,35,9,1.0,0.0,1.0,1.0,13602,13830,0.12214644,-1.9722592,12803
1.0,38,12,0.0,0.0,0.0,0.0,0,0,0.7552971,1.1270665,4941
1.0,27,12,1.0,0.0,1.0,0.0,3670,334,0.70975035,0.89417183,0
0.0,21,8,1.0,0.0,0.0,1.0,0,895,0.9869104,4.3227615,2305
0.0,23,10,1.0,0.0,0.0,1.0,1469,5370,0.93565714,2.6770232,0
0.0,25,11,1.0,0.0,0.0,1.0,0,0,0.98703545,4.3324876,3694
0.0,20,8,1.0,0.0,0.0,1.0,1880,3652,0.97846174,3.816151,1018
0.0,19,10,1.0,0.0,0.0,1.0,4702,3437,0.9731914,3.5918574,2364
0.0,23,12,1.0,0.0,0.0,0.0,1077,3222,0.94565207,2.8564682,5910
0.0,25,12,1.0,0.0,0.0,0.0,0,0,0.96486616,3.3128247,0
0.0,23,12,1.0,0.0,0.0,0.0,0,0,0.96486616,3.3128247,4728
0.0,43,9,1.0,0.0,1.0,1.0,0,0,0.92454416,2.505753,0
0.0,23,9,1.0,0.0,0.0,1.0,0,0,0.98711,4.338331,218
0.0,31,9,0.0,0.0,1.0,1.0,0,0,0.68501055,0.7768951,0
0.0,23,11,1.0,0.0,0.0,1.0,0,0,0.98703545,4.3324876,0
0.0,23,11,1.0,0.0,0.0,1.0,0,0,0.98703545,4.3324876,0
0.0,19,11,1.0,0.0,0.0,1.0,1567,0,0.9780975,3.7990086,0
0.0,22,11,1.0,0.0,0.0,1.0,2351,0,0.9779434,3.7918408,879
0.0,24,10,1.0,0.0,0.0,1.0,3152,3902,0.96291596,3.2567794,7447
0.0,29,10,1.0,0.0,0.0,1.0,2037,2685,0.9755402,3.6859612,0
0.0,20,8,1.0,0.0,0.0,1.0,2938,1838,0.9755009,3.684314,1226
0.0,21,10,1.0,0.0,0.0,1.0,1567,8145,0.8560798,1.7831047,8275
0.0,24,12,1.0,0.0,0.0,0.0,783,0,0.9529998,3.009462,10344
0.0,30,9,1.0,0.0,0.0,1.0,1959,162,0.9752112,3.6722622,16809
0.0,42,10,1.0,0.0,0.0,1.0,7837,1718,0.94434583,2.8313355,0
0.0,27,12,1.0,0.0,0.0,0.0,10623,3222,0.9008737,2.2069705,8866
0.0,34,11,1.0,0.0,0.0,1.0,11755,2148,0.93773955,2.7121458,15516
0.0,25,10,1.0,0.0,0.0,1.0,2838,5370,0.92261535,2.478424,11437
0.0,29,11,1.0,0.0,1.0,1.0,783,0,0.9279638,2.5558238,23643
0.0,55,8,0.0,0.0,1.0,1.0,0,0,0.5778194,0.3138282,0
0.0,50,11,1.0,0.0,0.0,1.0,10188,17903,0.33249706,-0.69691277,14777
0.0,19,12,1.0,0.0,0.0,0.0,7837,3759,0.9037272,2.2393415,3694
0.0,21,12,1.0,0.0,0.0,0.0,1959,5460,0.73975044,1.0446719,1152
0.0,54,10,1.0,0.0,1.0,1.0,0,0,0.889423,2.084861,0
0.0,28,12,1.0,0.0,0.0,0.0,2938,2864,0.9159084,2.3880095,0
0.0,24,9,1.0,0.0,0.0,1.0,5877,5370,0.9126394,2.346296,13299
0.0,21,12,0.0,0.0,0.0,0.0,0,0,0.794555,1.3526039,0
0.0,22,9,1.0,0.0,0.0,1.0,3134,4345,0.9112737,2.329287,13299
0.0,23,12,1.0,0.0,0.0,0.0,11328,2685,0.91100323,2.3259463,29216
0.0,45,9,1.0,0.0,1.0,1.0,0,0,0.90374345,2.2395284,0
0.0,45,9,1.0,0.0,1.0,1.0,0,0,0.90374345,2.2395284,0
0.0,54,10,1.0,0.0,1.0,1.0,0,0,0.889423,2.084861,0
0.0,21,11,1.0,0.0,0.0,1.0,0,9846,0.793355,1.3452684,5615
0.0,22,12,1.0,0.0,1.0,0.0,1269,0,0.7621511,1.1645093,0
0.0,30,11,1.0,0.0,1.0,1.0,9228,8808,0.2162003,-1.2879481,17881
0.0,52,10,1.0,0.0,1.0,1.0,0,0,0.889423,2.084861,0
0.0,24,11,1.0,0.0,1.0,1.0,5427,0,0.87550837,1.9505663,1329
0.0,44,12,0.0,0.0,0.0,0.0,0,0,0.73955363,1.0436499,0
0.0,32,12,1.0,0.0,1.0,0.0,18613,16112,0.030182127,-3.4698584,17732
0.0,36,10,1.0,0.0,1.0,1.0,18417,16112,0.07314141,-2.5394063,22165
0.0,55,8,1.0,0.0,1.0,1.0,0,0,0.8844931,2.0356846,0
0.0,53,8,1.0,0.0,1.0,1.0,0,0,0.8844931,2.0356846,0
0.0,22,9,0.0,0.0,1.0,1.0,0,0,0.7526076,1.1125681,16846
0.0,43,12,1.0,0.0,1.0,0.0,715,1879,0.7905299,1.3281225,5910
0.0,35,9,1.0,0.0,0.0,1.0,1567,5370,0.8821808,2.0132458,5910
0.0,22,11,1.0,0.0,0.0,1.0,11069,5191,0.8815831,2.0075078,9605
0.0,35,10,1.0,0.0,1.0,1.0,3918,3795,0.80532557,1.4199181,7802
0.0,27,11,1.0,0.0,1.0,1.0,10897,3938,0.5757498,0.3053499,7684
0.0,34,12,0.0,0.0,1.0,0.0,0,0,0.47925067,-0.08304501,0
0.0,26,12,1.0,0.0,1.0,0.0,8616,8593,0.14797647,-1.7505609,10344
0.0,25,14,0.0,0.0,0.0,0.0,6857,1790,0.3813369,-0.48387754,0
0.0,25,12,0.0,0.0,1.0,0.0,0,5729,0.14427468,-1.7802305,26599
0.0,32,9,0.0,0.0,1.0,1.0,25470,1432,0.25536105,-1.070221,24803
0.0,37,9,0.0,0.0,0.0,1.0,940,3544,0.7885378,1.3161341,1152
0.0,27,12,1.0,0.0,1.0,0.0,9796,0,0.6566219,0.6482761,11821
0.0,23,11,1.0,0.0,1.0,1.0,11755,5818,0.6047922,0.42547312,10048
0.0,50,17,0.0,0.0,0.0,0.0,0,0,0.5559449,0.22472064,0
0.0,34,9,1.0,0.0,1.0,1.0,9796,8951,0.12284507,-1.9657596,10344
0.0,21,13,0.0,0.0,0.0,0.0,0,692,0.7611248,1.158856,2659
0.0,40,10,0.0,1.0,1.0,1.0,0,0,0.70436317,0.86816233,0
