,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.956815044013769,3.098117912790699
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.256096630594295,-1.0663563100497415
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.9929152141478182,4.942695629698284
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.9980187732290848,6.222055852869828
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.9978832729711437,6.155765267120441
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.9979461090580357,6.185963261257822
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.9961238932255772,5.549040399407631
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.9977349633633614,6.087896739349366
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.7278755915767674,0.9838707972651498
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.00031865374896472576,-8.05108676659433
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9978611817417771,6.1453607094627385
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.9959744841863323,5.511068583845898
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9977716660262919,6.104270249313733
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.9865070793509167,4.292005350130624
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9976268101612814,6.04114429495133
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9978778163584756,6.153185262153258
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9964013967785329,5.62360440907616
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.9980828973155824,6.255021308512351
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.9945564373637221,5.20786310327832
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.996388823759835,5.620104019130277
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.9980170754362155,6.2211975784667395
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.14000884823374388,-1.8152164782689748
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.289477646256076,-0.8979223300053789
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.9980187732290848,6.222055852869828
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9977574067851247,6.0978772859109105
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.9927531648628458,4.919917217229868
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.9980187732290848,6.222055852869828
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.29815667196345413,-0.8560911064886444
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.9976085792706169,6.033473357469076
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.9980187732290848,6.222055852869828
