,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.9359994177960892,2.682722674210272
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.3515830258069011,-0.6120880804557479
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.9882105091373685,4.428687211195314
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.9968037053357292,5.742561643771148
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.9965069921320503,5.653492938005931
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.9969203740786774,5.779862765761245
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.9929178330923192,4.943067993205336
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.9963584579237837,5.611699851103241
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.6672081124109518,0.6955846774448173
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.0042939787013056814,-5.446238315339362
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9966143069733674,5.684805221514892
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.9927112550345577,4.914108468507835
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9962979650744874,5.595163726231082
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.9650162404674758,3.3172609902518952
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9963614025154051,5.612511744731068
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9966036819671282,5.681661267049194
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9927735935891365,4.9227607616228655
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.9969097490724381,5.77640794942608
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.9899485024561858,4.589931291315602
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.9929183616340611,4.943143158248945
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.996792356943659,5.739006063324101
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.20633655973692455,-1.3471508718780294
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.3781567309083184,-0.49737934031880005
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.996792356943659,5.739006063324101
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9948363337251134,5.260931389326697
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.9879484849708899,4.406440175080427
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.9968048257839084,5.742913375226341
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.3556395822790726,-0.5943404157110485
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.9943483095906633,5.170132869435736
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.996792356943659,5.739006063324101
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.9943483095906633,5.170132869435736
