,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.7533604,1.1166155
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.62249553,0.500154
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.80531263,1.4198356
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.9630537,3.2606437
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.91537416,2.3810933
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.972369,3.5607977
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.87102544,1.910056
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.89802706,2.1754928
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.37104338,-0.52774334
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.03688436,-3.2623858
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9652051,3.322869
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.9111753,2.3280706
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.95869094,3.144487
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.85432965,1.768971
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9511918,2.9698172
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9652268,3.323517
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.8836264,2.0272286
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9723865,3.5614479
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.8096587,1.4477941
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.8581637,1.8001214
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.964406,3.2993357
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.16997115,-1.5858318
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.4801582,-0.07940887
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.964406,3.2993357
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.7406892,1.0495539
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9579384,3.1256475
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.8156556,1.4871864
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.964406,3.2993357
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.5818023,0.33017638
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.955874,3.0755775
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.964406,3.2993357
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.955874,3.0755775
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.7959621,1.3612458
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.77684927,1.2473989
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.8487061,1.7244889
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.88677955,2.0582595
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.8981344,2.1766655
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.7594958,1.1499172
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.963455,3.271982
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.56898737,0.2777208
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.6823203,0.7644556
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.9723865,3.5614479
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.90464073,2.2498865
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.60967743,0.44595653
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.9566618,3.094416
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.26733652,-1.0081784
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.95928067,3.1594808
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.8487061,1.7244889
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9566618,3.094416
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.9564052,3.0882444
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.963455,3.271982
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.87102544,1.910056
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.96995574,3.4745789
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.7906906,1.3290932
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.9446549,2.8372312
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.8981344,2.1766655
