,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.72028553,0.9458784
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.68034214,0.75534457
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.8071687,1.4317172
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.9395136,2.7429442
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.8516112,1.7472942
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.94989467,2.9422235
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.85491663,1.7736955
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.8681378,1.8845928
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.7866041,1.3045759
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.058499444,-2.7784576
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9426188,2.798945
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.8787261,1.9804219
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9364402,2.690105
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.8195255,1.5131359
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9322498,2.6217732
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.94405305,2.8257785
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.85270983,1.7560148
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.94866014,2.916583
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.7282269,0.9856451
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.83419687,1.6156683
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9460248,2.8637438
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.20358616,-1.3640296
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.53211457,0.12863535
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.9452334,2.8483515
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.83005023,1.5859833
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.94140756,2.7767706
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.7258809,0.97382337
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.94944555,2.9328272
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.6476911,0.60890543
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.9409825,2.769091
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.9452334,2.8483515
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9409825,2.769091
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.81794095,1.502459
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.7823262,1.2792743
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.8389152,1.6501789
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.86398834,1.8488187
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.8632773,1.8427813
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.69484097,0.82285
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.93671626,2.694752
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.62035286,0.4910462
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.6095423,0.4453887
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.94790536,2.9011927
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.86730117,1.8773041
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.64841175,0.6120652
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.93598163,2.6824257
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.31444404,-0.77942395
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.9497346,2.9388661
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.8389152,1.6501789
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.93598163,2.6824257
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.93947446,2.7422552
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.93671626,2.694752
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.85491663,1.7736955
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.91997,2.441939
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.71535695,0.9215457
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.93842393,2.7239285
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.8632773,1.8427813
56,1.0,30,11,1.0,0.0,1.0,1.0,0,590,0.7754099,1.2391148
57,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9409825,2.769091
58,1.0,37,9,1.0,0.0,0.0,1.0,0,1067,0.9050409,2.254534
59,1.0,41,4,1.0,0.0,1.0,1.0,0,7284,0.6902561,0.80131704
60,1.0,42,14,1.0,0.0,1.0,0.0,0,13167,0.38703334,-0.45979968
61,1.0,22,11,0.0,0.0,0.0,1.0,0,1048,0.67465997,0.7293379
62,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.93598163,2.6824257
63,1.0,29,8,1.0,0.0,0.0,1.0,0,1923,0.90226495,2.222648
64,1.0,28,10,1.0,0.0,0.0,1.0,2836,3196,0.9313745,2.6079972
65,1.0,35,10,1.0,0.0,0.0,1.0,0,4666,0.8449258,1.6953453
66,1.0,27,11,1.0,0.0,0.0,1.0,0,549,0.9395136,2.7429442
67,1.0,29,4,1.0,0.0,0.0,1.0,0,762,0.90369993,2.2390285
68,1.0,28,9,1.0,0.0,0.0,1.0,0,10694,0.9242658,2.50177
69,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.9395136,2.7429442
70,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0.64161664,0.58238775
71,1.0,45,5,1.0,0.0,1.0,1.0,0,8546,0.6542655,0.63784224
72,1.0,29,13,1.0,0.0,0.0,0.0,0,7479,0.7806646,1.2695436
73,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0.9409747,2.7689502
74,1.0,46,13,1.0,0.0,0.0,0.0,0,647,0.6845871,0.7749334
75,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0.9177656,2.4123685
76,1.0,25,12,1.0,0.0,0.0,0.0,0,11965,0.8632773,1.8427813
77,1.0,28,15,1.0,0.0,0.0,0.0,0,9598,0.70352113,0.864122
78,1.0,31,9,1.0,0.0,0.0,1.0,1698,10363,0.9367875,2.695954
79,1.0,25,11,0.0,0.0,0.0,1.0,0,18783,0.67829525,0.74594855
80,1.0,22,12,1.0,0.0,0.0,0.0,0,18678,0.8613049,1.8261704
81,1.0,28,11,1.0,0.0,0.0,1.0,1284,60307,0.9394079,2.741085
82,1.0,21,9,1.0,0.0,0.0,1.0,0,0,0.9522731,2.993356
83,1.0,40,11,1.0,0.0,0.0,1.0,0,23005,0.88851804,2.0756922
84,1.0,22,11,1.0,0.0,0.0,1.0,0,6456,0.9486423,2.9162173
85,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.8632773,1.8427813
86,1.0,27,9,1.0,0.0,1.0,1.0,934,1773,0.83666366,1.6336107
87,1.0,23,10,1.0,0.0,1.0,1.0,936,11233,0.85585046,1.7812444
88,1.0,29,10,1.0,0.0,0.0,1.0,4398,0,0.8721257,1.9198858
89,1.0,18,12,1.0,0.0,0.0,0.0,0,2321,0.8367008,1.6338824
90,1.0,38,12,0.0,0.0,0.0,0.0,0,4941,0.27142224,-0.98741865
91,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0.85270983,1.7560148
92,1.0,27,8,1.0,0.0,0.0,1.0,0,0,0.9375626,2.7091188
93,1.0,38,11,1.0,0.0,0.0,1.0,0,0,0.90800434,2.2895079
94,1.0,23,8,0.0,1.0,0.0,1.0,0,3881,0.6554402,0.64303946
95,1.0,26,11,1.0,0.0,0.0,1.0,0,17230,0.937363,2.705715
96,1.0,42,9,1.0,0.0,1.0,1.0,3058,1294,0.67371696,0.7250448
97,1.0,21,12,0.0,0.0,0.0,0.0,0,8048,0.42321846,-0.30957508
98,1.0,25,8,1.0,0.0,0.0,1.0,0,0,0.9477972,2.899004
99,1.0,31,11,1.0,0.0,1.0,1.0,0,14509,0.71535695,0.9215457
100,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9409825,2.769091
101,1.0,19,8,1.0,0.0,0.0,1.0,2657,9970,0.9575583,3.1162546
102,1.0,29,14,1.0,0.0,0.0,0.0,679,17814,0.7674501,1.1939687
103,1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.94944555,2.9328272
104,1.0,21,12,1.0,0.0,0.0,0.0,0,9983,0.86730117,1.8773041
105,1.0,44,11,1.0,0.0,0.0,1.0,0,0,0.8893033,2.0836446
106,1.0,19,10,1.0,0.0,0.0,1.0,385,8124,0.9590376,3.1532757
107,1.0,25,12,0.0,0.0,0.0,0.0,0,5587,0.41481423,-0.34409857
108,1.0,18,10,1.0,0.0,0.0,1.0,798,9737,0.9533492,3.0172906
109,1.0,18,9,1.0,0.0,0.0,1.0,0,4482,0.93990976,2.7499363
110,1.0,19,9,1.0,0.0,0.0,1.0,798,17685,0.9543255,3.0394645
111,1.0,18,9,1.0,0.0,0.0,1.0,3287,5010,0.9384914,2.7250967
112,1.0,26,11,1.0,0.0,1.0,1.0,1392,1460,0.8440121,1.6883882
113,1.0,42,12,1.0,0.0,0.0,0.0,0,2456,0.733287,1.0113639
