,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.7320794596024756,1.005198613944859
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.8344153367432797,1.6172486596042175
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.8628093044505054,1.8388218021771106
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.8972677932429944,2.1672286925628645
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.8549436890779408,1.7739135878219077
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.8886685629767429,2.0772126745122774
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.7873026133169606,1.3087422537934328
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.8942069574096012,2.1344524871195674
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.7820235606627237,1.277497888302263
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.1482789693319749,-1.748163616983969
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9695943266252415,3.4622485488753463
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.8796790822338925,1.9893946737981512
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9740243660290918,3.624277376134452
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.7006472440972459,0.8503818786384968
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9401484182256923,2.7541698938976067
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9702834333424556,3.4858835379242126
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9101300897552062,2.315224362121529
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.8864579622667791,2.0550605596459137
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.8734963613124141,1.9322328918416063
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.8515766440017849,1.7470208028415053
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.7646821955809334,1.1785233571380909
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.41742863428987625,-0.3333381003288257
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.7411242636126817,1.0518201441407502
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.8470494981791541,1.7116447808146764
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9841335633919189,4.1275556500220025
