,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.7087374,0.88925964
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.899089,2.1871428
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.83278763,1.6055139
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.97023994,3.4843762
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.89633507,2.1571503
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.970917,3.5080867
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.8508915,1.7416102
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.953286,3.0158708
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.72534484,0.97113085
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.109141774,-2.0995376
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9791783,3.8507185
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.91666394,2.3978596
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.97606885,3.7083523
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.82283217,1.5356548
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9684344,3.4236126
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9782478,3.806049
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.89613104,2.1549566
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9660614,3.3486748
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.7761167,1.2431781
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.86056757,1.8200121
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9659955,3.346666
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.31199163,-0.7908246
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.7741006,1.2316121
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.9685951,3.4288824
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.81636745,1.4919279
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.97958827,3.8710227
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.81946075,1.5126983
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.97188777,3.5430355
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.89452857,2.1378567
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.97958827,3.8710227
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.9685951,3.4288824
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.97958827,3.8710227
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.81921786,1.5110574
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.660332,0.6647742
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.8438035,1.686805
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.9183021,2.4194984
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.87217563,1.9203336
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.7133978,0.911944
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.9526345,3.0013375
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.47108072,-0.115806386
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.51300627,0.05203687
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.9686563,3.4308965
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.91830826,2.4195802
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.893211,2.123968
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.97606885,3.7083523
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.6819207,0.76261264
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.9768936,3.7442684
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.8438035,1.686805
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.97606885,3.7083523
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.98046255,3.9156914
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.9526345,3.0013375
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.8508915,1.7416102
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.9602474,3.1845157
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.8135484,1.4732337
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.97905,3.844443
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.87217563,1.9203336
56,1.0,30,11,1.0,0.0,1.0,1.0,0,590,0.8297968,1.5841877
57,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.97958827,3.8710227
58,1.0,37,9,1.0,0.0,0.0,1.0,0,1067,0.94185424,2.7848976
59,1.0,41,4,1.0,0.0,1.0,1.0,0,7284,0.5823701,0.33251056
