,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.66692686,0.6943183
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.7955776,1.3588798
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.76031893,1.154429
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.927031,2.541952
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.8306396,1.590167
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.93595445,2.6819723
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.7771276,1.2490053
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.8997805,2.1947882
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.7229333,0.95905864
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.10419501,-2.1514585
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.95075375,2.9604218
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.8531129,1.7592275
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9449475,2.8428416
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.74954134,1.0961676
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.93982285,2.7483988
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.95075375,2.9604218
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.8057017,1.4223188
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9231184,2.485491
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.6879568,0.79058444
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.7758434,1.2416058
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9231184,2.485491
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.3334834,-0.692472
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.7313959,1.0017164
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.92391837,2.4968169
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.8962917,2.1566834
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.95716333,3.1065795
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.712275,0.906459
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.92912614,2.5733428
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.77186275,1.2188593
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.95716333,3.1065795
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.92391837,2.4968169
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.95716333,3.1065795
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.78180933,1.2762415
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.7288383,0.98873675
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.7553881,1.1275587
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.8433323,1.6832341
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.7919728,1.3368583
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.6526304,0.63062155
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.8916341,2.1075425
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.4509632,-0.19677971
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.5189538,0.075851604
