treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,0.6458333333333334,0.6007738604289304,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.2894736842105263,-0.8979415932059585,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.9146341463414634,2.3715779644809976,99
1.0,18,8,1.0,0.0,0.0,1.0,1199,0.9990740740740741,6.983789965258178,0
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.9650793650793651,3.3191324286078516,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,0.9650793650793651,3.3191324286078516,9371
1.0,18,10,1.0,0.0,0.0,1.0,798,0.9990740740740741,6.983789965258178,9737
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.9650793650793651,3.3191324286078516,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.9990740740740741,6.983789965258178,0
1.0,18,10,1.0,0.0,0.0,1.0,1371,0.9990740740740741,6.983789965258178,12064
1.0,38,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,4941
1.0,23,10,1.0,0.0,0.0,1.0,2217,0.9990740740740741,6.983789965258178,0
1.0,27,11,1.0,0.0,0.0,1.0,2666,0.9990740740740741,6.983789965258178,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.6458333333333334,0.6007738604289304,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.9650793650793651,3.3191324286078516,672
1.0,43,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.0,-inf,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,549
1.0,18,9,1.0,0.0,0.0,1.0,1182,0.9990740740740741,6.983789965258178,5100
1.0,17,9,0.0,1.0,0.0,1.0,74,0.9146341463414634,2.3715779644809976,6210
1.0,17,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
1.0,22,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,6456
1.0,19,10,1.0,0.0,0.0,1.0,3473,0.9650793650793651,3.3191324286078516,5861
1.0,20,9,0.0,1.0,0.0,1.0,8015,0.9146341463414634,2.3715779644809976,5487
1.0,20,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,8881
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.9650793650793651,3.3191324286078516,7976
1.0,26,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,17230
1.0,20,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,3972
1.0,19,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,8173
1.0,30,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
1.0,33,11,1.0,0.0,0.0,1.0,7867,0.9650793650793651,3.3191324286078516,6281
1.0,34,11,0.0,1.0,0.0,1.0,4641,0.9146341463414634,2.3715779644809976,2877
1.0,29,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,9642
1.0,24,11,1.0,0.0,0.0,1.0,9180,0.2894736842105263,-0.8979415932059585,0
1.0,24,12,1.0,0.0,0.0,0.0,18154,0.0,-inf,0
1.0,27,9,1.0,0.0,1.0,1.0,934,0.6458333333333334,0.6007738604289304,1773
1.0,19,8,1.0,0.0,0.0,1.0,2937,0.9650793650793651,3.3191324286078516,7535
1.0,18,11,0.0,1.0,0.0,1.0,5491,0.9146341463414634,2.3715779644809976,2454
1.0,28,11,1.0,0.0,1.0,1.0,6952,0.6458333333333334,0.6007738604289304,7318
1.0,41,14,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,5149
1.0,23,12,0.0,1.0,0.0,0.0,1117,0.9146341463414634,2.3715779644809976,559
1.0,27,10,1.0,0.0,0.0,1.0,3213,0.9650793650793651,3.3191324286078516,2094
1.0,27,10,1.0,0.0,0.0,1.0,3550,0.9650793650793651,3.3191324286078516,0
1.0,21,11,0.0,1.0,0.0,1.0,6658,0.9146341463414634,2.3715779644809976,9381
1.0,22,12,0.0,1.0,1.0,0.0,7055,0.02666666666666667,-3.5973122605884456,10092
1.0,21,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,8048
1.0,27,11,1.0,0.0,0.0,1.0,14223,0.0,-inf,7661
1.0,24,11,1.0,0.0,1.0,1.0,1666,0.6458333333333334,0.6007738604289304,4032
1.0,27,10,0.0,1.0,0.0,1.0,421,0.9146341463414634,2.3715779644809976,3075
1.0,29,10,1.0,0.0,1.0,1.0,4923,0.6458333333333334,0.6007738604289304,130
1.0,26,11,0.0,0.0,0.0,1.0,2226,0.9146341463414634,2.3715779644809976,13385
1.0,27,12,1.0,0.0,0.0,0.0,4310,0.9650793650793651,3.3191324286078516,0
1.0,29,10,1.0,0.0,0.0,1.0,4398,0.9650793650793651,3.3191324286078516,0
1.0,22,10,1.0,0.0,1.0,1.0,5588,0.6458333333333334,0.6007738604289304,13228
1.0,22,11,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,1048
1.0,20,10,1.0,0.0,0.0,1.0,2777,0.9650793650793651,3.3191324286078516,5615
1.0,25,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,1574
1.0,29,12,1.0,0.0,0.0,0.0,4878,0.9650793650793651,3.3191324286078516,10976
1.0,25,8,0.0,0.0,0.0,1.0,23096,0.0,-inf,6421
1.0,20,12,0.0,0.0,1.0,0.0,8644,0.02666666666666667,-3.5973122605884456,11656
1.0,20,9,0.0,1.0,0.0,1.0,5875,0.9146341463414634,2.3715779644809976,1358
1.0,31,12,0.0,0.0,0.0,0.0,2611,0.9146341463414634,2.3715779644809976,2484
1.0,21,11,1.0,0.0,0.0,1.0,5310,0.9650793650793651,3.3191324286078516,7906
1.0,19,10,0.0,0.0,0.0,1.0,5324,0.9146341463414634,2.3715779644809976,13829
1.0,26,12,1.0,0.0,1.0,0.0,5794,0.6458333333333334,0.6007738604289304,1424
1.0,25,11,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,18783
1.0,31,9,0.0,1.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,26817
1.0,23,10,1.0,0.0,1.0,1.0,936,0.6458333333333334,0.6007738604289304,11233
1.0,18,9,0.0,1.0,0.0,1.0,1713,0.9146341463414634,2.3715779644809976,8836
1.0,41,9,1.0,0.0,1.0,1.0,5783,0.6458333333333334,0.6007738604289304,0
1.0,25,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,5587
1.0,17,10,0.0,1.0,0.0,1.0,2202,0.9146341463414634,2.3715779644809976,4387
1.0,26,11,0.0,0.0,0.0,1.0,4676,0.9146341463414634,2.3715779644809976,1973
1.0,22,11,1.0,0.0,0.0,1.0,12170,0.2894736842105263,-0.8979415932059585,8408
1.0,20,10,1.0,0.0,0.0,1.0,11073,0.2894736842105263,-0.8979415932059585,0
1.0,24,15,1.0,0.0,0.0,0.0,13008,0.2894736842105263,-0.8979415932059585,14683
1.0,27,12,1.0,0.0,1.0,0.0,334,0.6458333333333334,0.6007738604289304,0
1.0,29,10,0.0,1.0,0.0,1.0,8853,0.9146341463414634,2.3715779644809976,5112
1.0,31,13,0.0,0.0,0.0,0.0,5498,0.9146341463414634,2.3715779644809976,2329
1.0,19,8,0.0,0.0,0.0,1.0,3416,0.9146341463414634,2.3715779644809976,9251
1.0,22,11,1.0,0.0,0.0,1.0,7497,0.9650793650793651,3.3191324286078516,668
1.0,42,9,1.0,0.0,1.0,1.0,3058,0.6458333333333334,0.6007738604289304,1294
1.0,25,12,1.0,0.0,0.0,0.0,2746,0.9650793650793651,3.3191324286078516,2090
1.0,27,10,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,18739
1.0,23,12,1.0,0.0,1.0,0.0,0,0.6458333333333334,0.6007738604289304,5911
1.0,30,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,590
1.0,23,10,1.0,0.0,1.0,1.0,10495,0.0016666666666666668,-6.395261598115449,3385
1.0,19,11,1.0,0.0,0.0,1.0,6409,0.9650793650793651,3.3191324286078516,11648
1.0,18,8,0.0,1.0,1.0,1.0,0,0.02666666666666667,-3.5973122605884456,2787
1.0,17,10,1.0,0.0,0.0,1.0,5793,0.9650793650793651,3.3191324286078516,5522
1.0,20,10,1.0,0.0,0.0,1.0,5100,0.9650793650793651,3.3191324286078516,13626
1.0,27,10,0.0,1.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,11142
1.0,24,10,1.0,0.0,1.0,1.0,4078,0.6458333333333334,0.6007738604289304,0
1.0,23,12,1.0,0.0,0.0,0.0,3039,0.9650793650793651,3.3191324286078516,8484
1.0,37,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,9930
1.0,35,8,1.0,0.0,1.0,1.0,17976,0.0016666666666666668,-6.395261598115449,3786
1.0,18,9,1.0,0.0,0.0,1.0,3287,0.9650793650793651,3.3191324286078516,5010
1.0,26,12,1.0,0.0,0.0,0.0,6608,0.9650793650793651,3.3191324286078516,5811
1.0,23,12,0.0,0.0,0.0,0.0,3903,0.9146341463414634,2.3715779644809976,796
1.0,46,8,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,3094
1.0,19,10,1.0,0.0,0.0,1.0,3213,0.9650793650793651,3.3191324286078516,2975
1.0,23,12,1.0,0.0,1.0,0.0,15079,0.0016666666666666668,-6.395261598115449,10283
1.0,26,10,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,0
1.0,23,12,1.0,0.0,0.0,0.0,7841,0.9650793650793651,3.3191324286078516,7947
1.0,26,11,0.0,0.0,0.0,1.0,22959,0.0,-inf,2746
1.0,41,9,1.0,0.0,1.0,1.0,7212,0.6458333333333334,0.6007738604289304,3154
1.0,27,13,0.0,0.0,1.0,0.0,853,0.02666666666666667,-3.5973122605884456,0
1.0,17,9,0.0,0.0,0.0,1.0,1618,0.9146341463414634,2.3715779644809976,6011
1.0,25,13,1.0,0.0,0.0,0.0,3090,0.9650793650793651,3.3191324286078516,0
1.0,25,10,0.0,0.0,0.0,1.0,4712,0.9146341463414634,2.3715779644809976,6103
1.0,21,11,0.0,1.0,0.0,1.0,1395,0.9146341463414634,2.3715779644809976,0
1.0,27,12,1.0,0.0,1.0,0.0,7806,0.6458333333333334,0.6007738604289304,2777
1.0,21,11,1.0,0.0,1.0,1.0,4167,0.6458333333333334,0.6007738604289304,11300
1.0,23,11,1.0,0.0,0.0,1.0,8959,0.2894736842105263,-0.8979415932059585,1659
1.0,19,9,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,13188
1.0,19,10,1.0,0.0,0.0,1.0,6056,0.9650793650793651,3.3191324286078516,0
1.0,28,11,1.0,0.0,0.0,1.0,6871,0.9650793650793651,3.3191324286078516,0
1.0,24,12,0.0,1.0,1.0,0.0,7212,0.02666666666666667,-3.5973122605884456,6485
1.0,25,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,0
1.0,24,12,1.0,0.0,0.0,0.0,12982,0.2894736842105263,-0.8979415932059585,0
1.0,19,11,0.0,1.0,1.0,1.0,5463,0.02666666666666667,-3.5973122605884456,6788
1.0,18,12,0.0,1.0,0.0,0.0,535,0.9146341463414634,2.3715779644809976,1115
1.0,18,10,1.0,0.0,1.0,1.0,1958,0.6458333333333334,0.6007738604289304,10989
1.0,23,8,0.0,0.0,1.0,1.0,1713,0.02666666666666667,-3.5973122605884456,4232
1.0,33,12,0.0,0.0,1.0,0.0,0,0.02666666666666667,-3.5973122605884456,12418
1.0,31,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,14509
1.0,17,11,1.0,0.0,0.0,1.0,8497,0.9650793650793651,3.3191324286078516,9017
1.0,21,8,1.0,0.0,0.0,1.0,3695,0.9650793650793651,3.3191324286078516,4279
1.0,42,14,1.0,0.0,1.0,0.0,0,0.6458333333333334,0.6007738604289304,13167
1.0,22,9,1.0,0.0,0.0,1.0,3836,0.9650793650793651,3.3191324286078516,3462
1.0,26,10,1.0,0.0,1.0,1.0,8141,0.6458333333333334,0.6007738604289304,4635
1.0,22,11,1.0,0.0,0.0,1.0,8774,0.9650793650793651,3.3191324286078516,18295
1.0,19,11,1.0,0.0,0.0,1.0,10224,0.2894736842105263,-0.8979415932059585,11293
1.0,23,10,1.0,0.0,0.0,1.0,15709,0.0,-inf,5665
1.0,28,10,1.0,0.0,0.0,1.0,2836,0.9650793650793651,3.3191324286078516,3196
1.0,49,8,0.0,0.0,1.0,1.0,7285,0.02666666666666667,-3.5973122605884456,16717
1.0,31,11,1.0,0.0,1.0,1.0,0,0.6458333333333334,0.6007738604289304,8087
1.0,18,10,0.0,1.0,0.0,1.0,12625,0.2894736842105263,-0.8979415932059585,0
1.0,35,9,1.0,0.0,1.0,1.0,13830,0.0016666666666666668,-6.395261598115449,12803
1.0,27,11,1.0,0.0,1.0,1.0,2142,0.6458333333333334,0.6007738604289304,2186
1.0,33,12,1.0,0.0,1.0,0.0,10941,0.0016666666666666668,-6.395261598115449,15952
0.0,50,12,1.0,0.0,1.0,0.0,0,0.6458333333333334,0.6007738604289304,0
0.0,20,12,1.0,0.0,0.0,0.0,12532,0.2894736842105263,-0.8979415932059585,2955
0.0,21,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,0
0.0,25,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,0
0.0,23,12,1.0,0.0,0.0,0.0,3222,0.9650793650793651,3.3191324286078516,5910
0.0,21,12,1.0,0.0,0.0,0.0,5460,0.9650793650793651,3.3191324286078516,1152
0.0,23,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,4728
0.0,20,12,1.0,0.0,0.0,0.0,4475,0.9650793650793651,3.3191324286078516,17732
0.0,24,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,10344
0.0,28,15,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,12708
0.0,26,14,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,0
0.0,21,12,1.0,0.0,0.0,0.0,716,0.9990740740740741,6.983789965258178,22165
0.0,23,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,218
0.0,28,12,1.0,0.0,1.0,0.0,0,0.6458333333333334,0.6007738604289304,0
0.0,28,12,1.0,0.0,0.0,0.0,2864,0.9650793650793651,3.3191324286078516,0
0.0,25,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,3694
0.0,47,12,0.0,0.0,0.0,0.0,0,0.0,-inf,0
0.0,23,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
0.0,23,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
0.0,21,14,0.0,1.0,0.0,0.0,71,0.9146341463414634,2.3715779644809976,3657
0.0,21,8,1.0,0.0,0.0,1.0,895,0.9990740740740741,6.983789965258178,2305
0.0,19,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
0.0,24,12,1.0,0.0,0.0,0.0,4654,0.9650793650793651,3.3191324286078516,11821
0.0,21,13,0.0,0.0,0.0,0.0,692,0.9146341463414634,2.3715779644809976,2659
0.0,30,9,1.0,0.0,0.0,1.0,162,0.9990740740740741,6.983789965258178,16809
