,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.9122401847575058,2.3412996051747363
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.0764525993883792,-2.491551192506669
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.9971025944949296,5.841037984744994
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.9971025944949296,5.841037984744994
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.9971025944949296,5.841037984744994
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.9971025944949296,5.841037984744994
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.9971025944949296,5.841037984744994
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.9971025944949296,5.841037984744994
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.9971025944949296,5.841037984744994
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.0037425149700598802,-5.5842479059610115
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9971025944949296,5.841037984744994
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.9971025944949296,5.841037984744994
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9971025944949296,5.841037984744994
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.9122401847575058,2.3412996051747363
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9971025944949296,5.841037984744994
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9971025944949296,5.841037984744994
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9971025944949296,5.841037984744994
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.9971025944949296,5.841037984744994
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.9971025944949296,5.841037984744994
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.9971025944949296,5.841037984744994
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.9971025944949296,5.841037984744994
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.0764525993883792,-2.491551192506669
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.0764525993883792,-2.491551192506669
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.9971025944949296,5.841037984744994
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9971025944949296,5.841037984744994
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.9122401847575058,2.3412996051747363
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.9971025944949296,5.841037984744994
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.0764525993883792,-2.491551192506669
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.9971025944949296,5.841037984744994
