,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0.9,2.1972245773362196,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0.4128787878787879,-0.3520772346901029,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,8472
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,2164
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0.003770028275212064,-5.576895624750347,12418
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,8173
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,17094
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,0
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0.9,2.1972245773362196,18739
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,3023
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,3228
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,14581
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,7693
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,10804
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,10747
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0.11491442542787286,-2.0414966101157126,5149
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0.11491442542787286,-2.0414966101157126,6408
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,1991
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,0.9913175602344259,4.73773235907106,6281
25,1.0,18,10,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,11163
26,1.0,29,11,1.0,0.0,1.0,1.0,0,0.9,2.1972245773362196,9642
27,1.0,25,11,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,9897
28,1.0,27,10,0.0,1.0,0.0,1.0,0,0.4128787878787879,-0.3520772346901029,11142
29,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,16218
30,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,995
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,0
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,0.9,2.1972245773362196,26372
33,1.0,48,4,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,6551
34,1.0,25,11,1.0,0.0,1.0,1.0,0,0.9,2.1972245773362196,1574
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,0
36,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,3191
37,1.0,42,14,1.0,0.0,0.0,0.0,0,0.9913175602344259,4.73773235907106,20505
38,1.0,25,5,1.0,0.0,0.0,1.0,0,0.9913175602344259,4.73773235907106,6181
