,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,1.0,inf
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.8653846153846154,1.8607523407150068
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,1.0,inf
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,1.0,inf
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,1.0,inf
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,1.0,inf
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,1.0,inf
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,1.0,inf
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,1.0,inf
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.03731343283582089,-3.250374491927572
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,1.0,inf
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,1.0,inf
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,1.0,inf
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,1.0,inf
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,1.0,inf
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,1.0,inf
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,1.0,inf
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,1.0,inf
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,1.0,inf
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,1.0,inf
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,1.0,inf
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.0625,-2.70805020110221
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.8653846153846154,1.8607523407150068
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,1.0,inf
