,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,1,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.045454545454545456,0.9545454545454546,-3.044522437723423
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.038461538461538464,0.9615384615384616,-3.2188758248682006
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.0,1.0,-inf
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.0,1.0,-inf
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.0,1.0,-inf
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.0,1.0,-inf
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,-inf
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.0,1.0,-inf
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.0,1.0,-inf
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.9722222222222222,0.027777777777777776,3.555348061489413
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.0,1.0,-inf
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.0,1.0,-inf
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.045454545454545456,0.9545454545454546,-3.044522437723423
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.0,1.0,-inf
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.0,1.0,-inf
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.0,1.0,-inf
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.0,1.0,-inf
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.0,1.0,-inf
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.0,1.0,-inf
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,1.0,0.0,inf
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.038461538461538464,0.9615384615384616,-3.2188758248682006
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.0,1.0,-inf
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.0,1.0,-inf
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.045454545454545456,0.9545454545454546,-3.044522437723423
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.0,1.0,-inf
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.038461538461538464,0.9615384615384616,-3.2188758248682006
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.0,1.0,-inf
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.0,1.0,-inf
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,6551,0.0,1.0,-inf
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.045454545454545456,0.9545454545454546,-3.044522437723423
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,-inf
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.0,1.0,-inf
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.0,1.0,-inf
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,6181,0.0,1.0,-inf
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.045454545454545456,0.9545454545454546,-3.044522437723423
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.045454545454545456,0.9545454545454546,-3.044522437723423
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.0,1.0,-inf
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.038461538461538464,0.9615384615384616,-3.2188758248682006
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.0,1.0,-inf
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.9722222222222222,0.027777777777777776,3.555348061489413
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.0,1.0,-inf
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.045454545454545456,0.9545454545454546,-3.044522437723423
46,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
47,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
48,1.0,25,5,1.0,0.0,0.0,1.0,0,0,12187,0.0,1.0,-inf
49,1.0,23,12,1.0,0.0,0.0,0.0,0,0,4843,0.0,1.0,-inf
50,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
51,1.0,31,11,1.0,0.0,1.0,1.0,0,0,8087,0.045454545454545456,0.9545454545454546,-3.044522437723423
52,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
53,1.0,25,12,1.0,0.0,0.0,0.0,0,0,2348,0.0,1.0,-inf
54,1.0,30,11,1.0,0.0,1.0,1.0,0,0,590,0.045454545454545456,0.9545454545454546,-3.044522437723423
55,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.0,1.0,-inf
56,1.0,37,9,1.0,0.0,0.0,1.0,0,0,1067,0.0,1.0,-inf
