,treat,education*,black,hispanic,married,nodegree,propensity_score,propensity_logit,re78
0,1.0,11,1.0,0.0,1.0,1.0,1.0,0.0,9930
1,1.0,9,0.0,1.0,0.0,1.0,1.0,0.0,3595
2,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,24909
3,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,7506
4,1.0,8,1.0,0.0,0.0,1.0,1.0,0.0,289
5,1.0,9,1.0,0.0,0.0,1.0,1.0,0.0,4056
6,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,0
7,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,8472
8,1.0,16,1.0,0.0,0.0,0.0,0.75,1.0986122886681098,2164
9,1.0,12,0.0,0.0,1.0,0.0,0.004405286343612335,-5.420534999272285,12418
10,1.0,9,1.0,0.0,0.0,1.0,1.0,0.0,8173
11,1.0,13,1.0,0.0,0.0,0.0,1.0,0.0,17094
12,1.0,8,1.0,0.0,0.0,1.0,1.0,0.0,0
13,1.0,10,1.0,0.0,1.0,1.0,1.0,0.0,18739
14,1.0,7,1.0,0.0,0.0,1.0,1.0,0.0,3023
15,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0,3228
16,1.0,13,1.0,0.0,0.0,0.0,1.0,0.0,14581
17,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0,7693
18,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,10804
19,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,10747
20,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,0
21,1.0,14,0.0,0.0,0.0,0.0,0.0,0.0,5149
22,1.0,9,0.0,0.0,0.0,1.0,1.0,0.0,6408
23,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,1991
24,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,6281
25,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0,11163
26,1.0,11,1.0,0.0,1.0,1.0,1.0,0.0,9642
27,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,9897
28,1.0,10,0.0,1.0,0.0,1.0,1.0,0.0,11142
29,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0,16218
30,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,995
31,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0,0
32,1.0,11,1.0,0.0,1.0,1.0,1.0,0.0,26372
33,1.0,4,1.0,0.0,0.0,1.0,1.0,0.0,6551
34,1.0,11,1.0,0.0,1.0,1.0,1.0,0.0,1574
35,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,0
36,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,3191
37,1.0,14,1.0,0.0,0.0,0.0,1.0,0.0,20505
38,1.0,5,1.0,0.0,0.0,1.0,1.0,0.0,6181
39,1.0,12,1.0,0.0,1.0,0.0,1.0,0.0,5911
40,1.0,8,1.0,0.0,1.0,1.0,1.0,0.0,3094
41,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0,0
42,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,1254
43,1.0,9,0.0,0.0,0.0,1.0,1.0,0.0,13188
44,1.0,8,1.0,0.0,0.0,1.0,1.0,0.0,8061
45,1.0,8,0.0,1.0,1.0,1.0,0.0,0.0,2787
46,1.0,11,1.0,0.0,0.0,1.0,1.0,0.0,3972
47,1.0,11,1.0,0.0,1.0,1.0,1.0,0.0,0
48,1.0,8,1.0,0.0,0.0,1.0,1.0,0.0,0
49,1.0,9,1.0,0.0,0.0,1.0,1.0,0.0,0
50,1.0,5,1.0,0.0,0.0,1.0,1.0,0.0,12187
51,1.0,12,1.0,0.0,0.0,0.0,1.0,0.0,4843
