treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
1.0,24,10,1.0,0.0,1.0,1.0,11703,4078,0.8668502733619569,1.8733920075625499,0
1.0,20,9,0.0,1.0,0.0,1.0,12260,5875,0.5849370040859934,0.34307385001649765,1358
1.0,33,12,1.0,0.0,1.0,0.0,20279,10941,0.0,-inf,15952
1.0,22,12,0.0,0.0,0.0,0.0,6759,8455,0.0,-inf,12590
1.0,19,11,0.0,1.0,1.0,1.0,5424,5463,0.052973809332430025,-2.883529121389568,6788
1.0,29,10,0.0,1.0,0.0,1.0,0,8853,0.5472061066838548,0.189388485816118,5112
1.0,26,12,1.0,0.0,1.0,0.0,8408,5794,0.3395279414856246,-0.665398574047039,1424
1.0,19,10,0.0,0.0,0.0,1.0,0,5324,0.24897368252716248,-1.1040934961727522,13829
1.0,35,9,1.0,0.0,1.0,1.0,13602,13830,0.08164565015095576,-2.4201947744877383,12803
0.0,19,11,1.0,0.0,0.0,1.0,1381,5503,0.8640631066455963,1.8494550476430303,10842
0.0,29,12,1.0,0.0,1.0,0.0,11416,4037,0.5888272316562888,0.3591193286585135,8126
0.0,45,11,0.0,0.0,1.0,1.0,21516,25243,0.0,-inf,25564
0.0,38,12,0.0,0.0,1.0,0.0,23039,25130,0.0,-inf,25564
0.0,20,14,0.0,0.0,0.0,0.0,0,6398,0.05313027852650494,-2.880414531193168,25239
0.0,21,12,1.0,0.0,0.0,0.0,8799,5791,0.5454873244159253,0.18245376606622096,15374
0.0,19,12,1.0,0.0,0.0,0.0,3546,4638,0.3367267865026583,-0.677915113029367,13583
0.0,21,16,1.0,0.0,1.0,0.0,117,4445,0.24544636095730796,-1.1230479334614276,13333
0.0,30,12,1.0,0.0,0.0,0.0,7568,7778,0.08099507338422829,-2.4289031527797196,12078
