treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,0.9260936333153253,2.52817636848041,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.5715244407816469,0.2880735499282905,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.5661892474126443,0.2663199966487864,99
1.0,18,8,1.0,0.0,0.0,1.0,1199,0.9973811365893606,5.94239256943382,0
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.943035931449549,2.8066836924914784,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,0.8752575018287874,1.9482665329444273,9371
1.0,18,10,1.0,0.0,0.0,1.0,798,0.9966810319310436,5.704776878911953,9737
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.7815222051859324,1.2745591791970239,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.9589061510383518,3.149934758819395,0
1.0,18,10,1.0,0.0,0.0,1.0,1371,0.9966810319310436,5.704776878911953,12064
1.0,38,12,0.0,0.0,0.0,0.0,0,0.7286622168282265,0.9878457961306918,4941
1.0,23,10,1.0,0.0,0.0,1.0,2217,0.9932389711719604,4.989796218882911,0
1.0,27,11,1.0,0.0,0.0,1.0,2666,0.9942850676596023,5.158941495704434,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.9577853764345913,3.121857028922146,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.9537810993466636,3.0270453700302453,672
1.0,43,9,1.0,0.0,0.0,1.0,0,0.9855529058507435,4.22270951202605,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.291270202020202,-0.8892229852696258,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,0.9949049000109055,5.274367863285178,549
1.0,18,9,1.0,0.0,0.0,1.0,1182,0.9971019578928297,5.840817655892727,5100
1.0,17,9,0.0,1.0,0.0,1.0,74,0.9960578079091905,5.532068359149626,6210
1.0,17,9,1.0,0.0,0.0,1.0,0,0.99701769281779,5.812071292680305,0
1.0,22,11,1.0,0.0,0.0,1.0,0,0.9946077100741657,5.217378256392712,6456
1.0,19,10,1.0,0.0,0.0,1.0,3473,0.9874865943806111,4.368362402176186,5861
1.0,20,9,0.0,1.0,0.0,1.0,8015,0.9115594723475643,2.3328265164781112,5487
1.0,20,9,1.0,0.0,0.0,1.0,0,0.9960956733232483,5.541757968028109,8881
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.8892581683892703,2.0831859454952744,7976
1.0,26,11,1.0,0.0,0.0,1.0,0,0.99506768583182,5.307002477577832,17230
1.0,30,11,1.0,0.0,0.0,1.0,0,0.9878019146088376,4.394203182087223,0
1.0,33,11,1.0,0.0,0.0,1.0,7867,0.8458586022815533,1.7024818606952368,6281
1.0,34,11,0.0,1.0,0.0,1.0,4641,0.7319785266115822,1.0046840764162444,2877
1.0,29,11,1.0,0.0,1.0,1.0,0,0.9717982228640965,3.5397631983026088,9642
1.0,24,11,1.0,0.0,0.0,1.0,9180,0.45425665021217027,-0.1834864627487389,0
1.0,24,12,1.0,0.0,0.0,0.0,18154,0.14869984111468232,-1.7448349945586592,0
1.0,27,9,1.0,0.0,1.0,1.0,934,0.9114088635927814,2.330959791976351,1773
1.0,23,12,1.0,0.0,0.0,0.0,0,0.9602470630337195,3.1845068843628854,0
1.0,31,9,1.0,0.0,0.0,1.0,1698,0.98662604550782,4.300981966791299,10363
1.0,18,11,0.0,1.0,0.0,1.0,5491,0.9032365437168269,2.2337150670190677,2454
1.0,28,11,1.0,0.0,1.0,1.0,6952,0.5067018214470683,0.026808891339271695,7318
1.0,41,14,0.0,0.0,0.0,0.0,0,0.6793492220599032,0.7507827018188739,5149
1.0,23,12,0.0,1.0,0.0,0.0,1117,0.8628740872663546,1.8393692044516436,559
1.0,21,11,0.0,1.0,0.0,1.0,6658,0.9024286654210468,2.2245058988030593,9381
1.0,22,12,0.0,1.0,1.0,0.0,7055,0.4241921769520949,-0.3055873644088221,10092
1.0,21,12,0.0,0.0,0.0,0.0,0,0.7388062093447015,1.0397730281818955,8048
1.0,27,11,1.0,0.0,0.0,1.0,14223,0.11313641946209778,-2.05909682931747,7661
1.0,24,11,1.0,0.0,1.0,1.0,1666,0.9314295764829617,2.608859287214911,4032
1.0,28,15,1.0,0.0,0.0,0.0,0,0.9010099836242865,2.2084973377913806,9598
1.0,29,10,1.0,0.0,1.0,1.0,4923,0.6016211245186303,0.4122243849986342,130
1.0,26,11,0.0,0.0,0.0,1.0,2226,0.8927216277294887,2.1188477390753713,13385
1.0,27,12,1.0,0.0,0.0,0.0,4310,0.852551367385391,1.7547536006746602,0
1.0,29,10,1.0,0.0,0.0,1.0,4398,0.8741980193119719,1.9385978278313811,0
1.0,22,10,1.0,0.0,1.0,1.0,5588,0.6831370751874357,0.7682262686507609,13228
1.0,22,11,0.0,0.0,0.0,1.0,0,0.8720462784713914,1.9191738461555228,1048
1.0,29,12,1.0,0.0,0.0,0.0,4878,0.8744195454394356,1.9406136642167566,10976
1.0,25,8,0.0,0.0,0.0,1.0,23096,0.047595959595959594,-2.996241481746272,6421
1.0,20,12,0.0,0.0,1.0,0.0,8644,0.5054529857397505,0.021812807793108034,11656
1.0,31,12,0.0,0.0,0.0,0.0,2611,0.7405137877454403,1.0486406838148212,2484
1.0,19,10,0.0,0.0,0.0,1.0,5324,0.6185325460414719,0.48332427501142666,13829
