,treat,age,education*,black,married,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,1.0,0,0.7001576085785888,0.8480484901354257,9930
1,1.0,22,9,0.0,0.0,0,0.5411210508149514,0.16485655962154055,3595
2,1.0,30,12,1.0,0.0,0,0.9902086683613884,4.616418229461398,24909
3,1.0,27,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,7506
4,1.0,33,8,1.0,0.0,0,0.9951258908211444,5.318931897383778,289
5,1.0,22,9,1.0,0.0,0,0.9968239611831822,5.748939420619224,4056
6,1.0,23,12,1.0,0.0,0,0.9917605019278274,4.79054222013305,0
7,1.0,32,11,1.0,0.0,0,0.9951145786838346,5.316602356297184,8472
8,1.0,22,16,1.0,0.0,0,0.39085060443359776,-0.44373814941812656,2164
9,1.0,33,12,0.0,1.0,0,0.0004741865517493348,-7.653435445592028,12418
10,1.0,19,9,1.0,0.0,0,0.9966199514400546,5.686479428913802,8173
11,1.0,21,13,1.0,0.0,0,0.9915917334045133,4.770096123070733,17094
12,1.0,18,8,1.0,0.0,0,0.9964179524873795,5.628232232753513,0
13,1.0,27,10,1.0,1.0,0,0.8926451748420505,2.118049690090496,18739
14,1.0,17,7,1.0,0.0,0,0.9961431458951148,5.554039115585667,3023
15,1.0,19,10,1.0,0.0,0,0.9965778126109559,5.674047288450518,3228
16,1.0,27,13,1.0,0.0,0,0.991595577722938,4.770557311540226,14581
17,1.0,23,10,1.0,0.0,0,0.9967656743733182,5.730695267010275,7693
18,1.0,40,12,1.0,0.0,0,0.9901771646221558,4.613174065576914,10804
19,1.0,26,12,1.0,0.0,0,0.9916852561317793,4.781375466225968,10747
20,1.0,23,11,1.0,0.0,0,0.9967935553152272,5.739380934147802,0
21,1.0,41,14,0.0,0.0,0,0.03308787984731337,-3.3749405649018676,5149
22,1.0,38,9,0.0,0.0,0,0.6618803365432985,0.6716849123658724,6408
23,1.0,24,11,1.0,0.0,0,0.9967806482525289,5.735350715345426,1991
24,1.0,18,10,1.0,0.0,0,0.9963737119173939,5.615912841654864,11163
25,1.0,29,11,1.0,1.0,0,0.9869148693048628,4.323107259645724,9642
26,1.0,25,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,9897
27,1.0,27,10,0.0,0.0,0,0.5808029671104292,0.32607051720756564,11142
28,1.0,17,10,1.0,0.0,0,0.9962952484392971,5.594427446473825,16218
29,1.0,24,11,1.0,0.0,0,0.9967806482525289,5.735350715345426,995
30,1.0,17,10,1.0,0.0,0,0.9962952484392971,5.594427446473825,0
31,1.0,48,4,1.0,0.0,0,0.1330739305481339,-1.8740488588959976,6551
32,1.0,25,11,1.0,1.0,0,0.981768911222141,3.9862276446208265,1574
33,1.0,20,12,1.0,0.0,0,0.9911780097461652,4.721646647657463,0
34,1.0,25,12,1.0,0.0,0,0.9916852561317793,4.781375466225968,3191
35,1.0,42,14,1.0,0.0,0,0.9878770328759499,4.4004564664552195,20505
36,1.0,25,5,1.0,0.0,0,0.9966235082438736,5.687535845527985,6181
37,1.0,23,12,1.0,1.0,0,0.5153962863010869,0.0616046209383572,5911
38,1.0,46,8,1.0,1.0,0,0.6483586462897112,0.6118322350620192,3094
39,1.0,24,10,1.0,0.0,0,0.9967527673106199,5.726699609155577,0
40,1.0,21,12,1.0,0.0,0,0.9917766499085926,4.792520250892856,1254
41,1.0,19,9,0.0,0.0,0,0.26841502356004593,-1.0026790030484685,13188
42,1.0,17,8,1.0,0.0,0,0.9963394890092827,5.606485299308473,8061
43,1.0,18,8,0.0,1.0,0,0.5032288511950344,0.012915584317022633,2787
44,1.0,20,11,1.0,0.0,0,0.9960046379011503,5.518617700980228,3972
45,1.0,25,11,1.0,1.0,0,0.981768911222141,3.9862276446208265,0
46,1.0,17,8,1.0,0.0,0,0.9963394890092827,5.606485299308473,0
47,1.0,17,9,1.0,0.0,0,0.9963373872683958,5.605909188632068,0
48,1.0,25,5,1.0,0.0,0,0.9966235082438736,5.687535845527985,12187
49,1.0,23,12,1.0,0.0,0,0.9917605019278274,4.79054222013305,4843
50,1.0,28,8,1.0,0.0,0,0.9966838289199035,5.70562276896927,0
51,1.0,31,11,1.0,1.0,0,0.9334416524563873,2.640799487328008,8087
52,1.0,18,11,1.0,0.0,0,0.9959852548332371,5.513758578001972,0
53,1.0,25,12,1.0,0.0,0,0.9916852561317793,4.781375466225968,2348
54,1.0,30,11,1.0,1.0,0,0.9870270455508618,4.331830677454224,590
55,1.0,17,10,1.0,0.0,0,0.9962952484392971,5.594427446473825,0
56,1.0,37,9,1.0,0.0,0,0.995671901092746,5.438289392580881,1067
57,1.0,41,4,1.0,1.0,0,0.9185923733035012,2.4233735066557935,7284
58,1.0,42,14,1.0,1.0,0,0.08656976454591817,-2.356256386886113,13167
59,1.0,22,11,0.0,0.0,0,0.6104656786103465,0.4492700955160721,1048
60,1.0,17,8,1.0,0.0,0,0.9963394890092827,5.606485299308473,0
61,1.0,29,8,1.0,0.0,0,0.9965699091595941,5.671732546982665,1923
62,1.0,35,10,1.0,0.0,0,0.9956081057427181,5.423593084319363,4666
63,1.0,27,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,549
64,1.0,29,4,1.0,0.0,0,0.879390698036546,1.9866728670384948,762
65,1.0,28,9,1.0,0.0,0,0.9966817271790166,5.70498707556856,10694
66,1.0,27,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,0
67,1.0,23,7,0.0,0.0,0,0.41162871337035656,-0.357236426568933,0
68,1.0,45,5,1.0,1.0,0,0.9026252547634879,2.2267405791442343,8546
69,1.0,29,13,1.0,0.0,0,0.9901911053371626,4.614608367497102,7479
70,1.0,27,9,1.0,0.0,0,0.996812723078742,5.745395989327275,0
71,1.0,46,13,1.0,0.0,0,0.7499976681643437,1.098599852249942,647
72,1.0,18,6,1.0,0.0,0,0.9961846982196149,5.564912915124754,0
73,1.0,25,12,1.0,0.0,0,0.9916852561317793,4.781375466225968,11965
74,1.0,28,15,1.0,0.0,0,0.7789130345726168,1.259343269541787,9598
75,1.0,25,11,0.0,0.0,0,0.6087501741089727,0.44206166356008647,18783
76,1.0,22,12,1.0,0.0,0,0.9917766499085926,4.792520250892856,18678
77,1.0,21,9,1.0,0.0,0,0.9967443501948139,5.724102429352264,0
78,1.0,40,11,1.0,0.0,0,0.9956627645116848,5.436171449509927,23005
79,1.0,22,11,1.0,0.0,0,0.9968097032959926,5.744445959299877,6456
80,1.0,25,12,1.0,0.0,0,0.9916852561317793,4.781375466225968,0
81,1.0,18,12,1.0,0.0,0,0.7697550193040171,1.2069284319452787,2321
82,1.0,38,12,0.0,0.0,0,0.1826372752577829,-1.4985808844061448,4941
83,1.0,27,13,1.0,0.0,0,0.991595577722938,4.770557311540226,0
84,1.0,27,8,1.0,0.0,0,0.9968148248196289,5.746057731135981,0
85,1.0,38,11,1.0,0.0,0,0.9956576432055564,5.434986225860254,0
86,1.0,23,8,0.0,0.0,0,0.41054796938126265,-0.36170056562131736,3881
87,1.0,26,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,17230
88,1.0,21,12,0.0,0.0,0,0.1145756273862242,-2.0448319410049507,8048
89,1.0,25,8,1.0,0.0,0,0.9968148248196289,5.746057731135981,0
90,1.0,31,11,1.0,1.0,0,0.9334416524563873,2.640799487328008,14509
91,1.0,17,10,1.0,0.0,0,0.9962952484392971,5.594427446473825,0
92,1.0,25,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,0
93,1.0,21,12,1.0,0.0,0,0.9917766499085926,4.792520250892856,9983
94,1.0,44,11,1.0,0.0,0,0.9939794722235308,5.106541628769004,0
95,1.0,25,12,0.0,0.0,0,0.06292547725059976,-2.7008116869982404,5587
96,1.0,18,9,1.0,0.0,0,0.9964158507464925,5.627643552637435,4482
97,1.0,42,12,1.0,0.0,0,0.990248054516575,4.620488669994967,2456
98,1.0,25,10,1.0,0.0,0,0.9967705842496433,5.7322193987839105,0
99,1.0,31,9,0.0,0.0,0,0.5718732086873998,0.28949791057941604,26817
100,1.0,24,10,1.0,0.0,0,0.9967527673106199,5.726699609155577,0
101,1.0,26,10,1.0,0.0,0,0.9967705842496433,5.7322193987839105,9265
102,1.0,25,11,1.0,0.0,0,0.9967984651915524,5.740918285835402,485
103,1.0,18,11,1.0,0.0,0,0.9959852548332371,5.513758578001972,4814
104,1.0,19,11,1.0,0.0,0,0.996022914390128,5.523220971497982,7458
105,1.0,43,9,1.0,0.0,0,0.995424728151793,5.382503391207552,0
106,1.0,27,13,1.0,0.0,0,0.991595577722938,4.770557311540226,34099
107,1.0,17,9,1.0,0.0,0,0.9963373872683958,5.605909188632068,1953
108,1.0,30,11,1.0,0.0,0,0.9965535495315174,5.666958024123298,0
109,1.0,26,10,1.0,1.0,0,0.8932984774242927,2.1248853383730752,0
110,1.0,20,9,1.0,0.0,0,0.9966016749510769,5.681068488942125,8881
111,1.0,17,9,0.0,0.0,74,0.018369552360779494,-3.978520380311732,6210
112,1.0,20,12,1.0,0.0,165,0.9905420794067319,4.651399799766257,0
113,1.0,18,11,1.0,0.0,214,0.9946522714371981,5.225721297082187,929
114,1.0,27,12,1.0,1.0,334,0.5249659265743426,0.09994682373264165,0
115,1.0,21,12,0.0,0.0,334,0.2255616852181088,-1.233544341297059,12558
116,1.0,27,12,1.0,0.0,357,0.9910171633702792,4.703416137947516,22163
117,1.0,20,12,1.0,0.0,377,0.9905032908234552,4.647267852392881,1652
118,1.0,19,10,1.0,0.0,385,0.9952296790168071,5.34055994899322,8124
119,1.0,23,12,1.0,0.0,501,0.8894841036513631,2.0854822668704776,671
120,1.0,29,14,1.0,0.0,679,0.8221075471035358,1.5306920519097706,17814
121,1.0,18,10,1.0,0.0,798,0.9911999403104862,4.724157765735033,9737
122,1.0,19,9,1.0,0.0,798,0.9914763222152373,4.756347154324386,17685
123,1.0,27,13,0.0,1.0,853,0.4738400063853433,-0.10473561141290429,0
124,1.0,18,11,0.0,0.0,919,0.24279895174349714,-1.1373950619095816,4321
125,1.0,27,9,1.0,1.0,934,0.8914951876747957,2.106105514054795,1773
126,1.0,22,12,1.0,0.0,936,0.9766117198946496,3.7318541055692456,0
127,1.0,23,10,1.0,1.0,936,0.8946066623404607,2.1386847142071095,11233
128,1.0,23,12,0.0,0.0,1117,0.3196930108109035,-0.7551829568694477,559
129,1.0,20,11,1.0,0.0,1220,0.9908917352988865,4.689423070165294,1085
130,1.0,17,9,1.0,0.0,1253,0.9773746900318196,3.765800899557867,5445
131,1.0,28,11,1.0,0.0,1284,0.9920461065403875,4.82610803244352,60307
132,1.0,26,11,1.0,1.0,1392,0.9631144557457227,3.262352538390179,1460
133,1.0,20,11,1.0,0.0,1484,0.9908917352988865,4.689423070165294,6943
134,1.0,24,11,1.0,1.0,1666,0.9801088886464289,3.897390710060027,4032
135,1.0,31,9,1.0,0.0,1698,0.9909213284124895,4.692707264141467,10363
136,1.0,23,8,0.0,1.0,1713,0.4264514277703047,-0.2963441525715399,4232
137,1.0,18,10,1.0,0.0,1784,0.9911999403104862,4.724157765735033,11141
138,1.0,29,12,1.0,0.0,1817,0.969622502288138,3.463204695373994,0
139,1.0,26,11,0.0,0.0,2226,0.43743322952845315,-0.2515857541648074,13385
140,1.0,24,9,1.0,0.0,2288,0.992010787042993,4.821641729838129,4849
141,1.0,25,12,1.0,0.0,2409,0.9841386108979714,4.127878954246415,0
142,1.0,24,10,1.0,0.0,2421,0.9921138160378847,4.834725471745346,1660
143,1.0,46,8,1.0,0.0,2594,0.8427927527005948,1.6791561014733125,0
144,1.0,31,12,0.0,0.0,2611,0.04174961378143862,-3.1334189067962126,2484
145,1.0,19,11,1.0,0.0,2615,0.9909709739768476,4.698240742775662,4146
146,1.0,19,8,1.0,0.0,2657,0.9915393861451077,4.763836940302523,9970
147,1.0,27,11,1.0,0.0,2666,0.9921399205955358,4.838067437586613,0
148,1.0,26,11,1.0,1.0,2754,0.9087009326668225,2.297875460935665,26372
149,1.0,20,10,1.0,0.0,2777,0.9915190079152432,4.761410684555841,5615
150,1.0,28,10,1.0,0.0,2836,0.9920905999940071,4.8317625074435435,3196
151,1.0,24,12,1.0,0.0,2842,0.9874837456737459,4.368131890871789,6167
152,1.0,19,8,1.0,0.0,2937,0.9915393861451077,4.763836940302523,7535
153,1.0,23,12,1.0,0.0,3039,0.9877544546338931,4.3902719118879885,8484
154,1.0,42,9,1.0,1.0,3058,0.6392020628785829,0.5719025510693241,1294
155,1.0,25,13,1.0,0.0,3090,0.9371765425905871,2.702543147715922,0
156,1.0,18,9,1.0,0.0,3287,0.9909477638179154,4.695650003230757,5010
157,1.0,21,12,1.0,0.0,3332,0.963626447006435,3.2768617719516913,9371
158,1.0,27,10,1.0,0.0,3550,0.9915842944921616,4.76920429804016,0
159,1.0,21,8,1.0,0.0,3695,0.991235246808561,4.728213529861288,4279
160,1.0,22,9,1.0,0.0,3836,0.9912281245114832,4.7273940678575075,3462
161,1.0,31,4,1.0,0.0,4023,0.786434086039657,1.3035633967834255,7382
162,1.0,24,10,1.0,1.0,4078,0.7867970584779006,1.3057258587140845,0
163,1.0,29,10,1.0,0.0,4398,0.9855929878300538,4.225528433829962,0
164,1.0,29,12,1.0,0.0,4878,0.8159097683938729,1.48887774432998,10976
165,1.0,19,10,0.0,0.0,5324,0.24748903404232991,-1.1120492950905845,13829
166,1.0,19,11,0.0,1.0,5463,0.06506988461368308,-2.6650099433520786,6788
167,1.0,31,9,1.0,0.0,5517,0.9855016200626008,4.219113855761348,9558
168,1.0,22,10,1.0,1.0,5588,0.6365419822786739,0.5603865781139251,13228
169,1.0,21,9,1.0,0.0,5749,0.9897953440948256,4.574654121186855,743
170,1.0,17,10,1.0,0.0,5793,0.9796095881411129,3.8720893293975998,5522
171,1.0,26,12,1.0,1.0,5794,0.48389302956514746,-0.06445018204627033,1424
172,1.0,20,9,0.0,0.0,5875,0.41476095613297104,-0.34431804080808903,1358
173,1.0,19,10,1.0,0.0,6056,0.9895458142839906,4.550243619209546,0
174,1.0,26,10,1.0,0.0,6788,0.9896161715600281,4.557067524205613,672
175,1.0,28,11,1.0,0.0,6871,0.9889188076093341,4.491362940797199,0
176,1.0,22,12,0.0,1.0,7055,0.0006376280203773464,-7.357117653422814,10092
177,1.0,33,11,1.0,0.0,7867,0.9235748750175377,2.4919403706580012,6281
178,1.0,22,12,0.0,0.0,8455,0.028587547529584305,-3.525779926978303,12590
179,1.0,29,10,0.0,0.0,8853,0.5679315012205977,0.2734166773423619,5112
180,1.0,33,12,1.0,1.0,10941,0.24579888861395574,-1.1211453828028495,15952
181,1.0,25,14,1.0,1.0,11536,0.0021863029218843174,-6.12335462885935,36646
182,1.0,35,9,1.0,1.0,13830,0.0006936968579955021,-7.272781559348216,12803
183,1.0,35,8,1.0,1.0,17976,0.0005398507041493482,-7.523677933953377,3786
184,1.0,33,11,1.0,1.0,25142,0.045596139367343726,-3.0412638659248477,4181
185,0.0,45,11,0.0,1.0,25243,0.0,0.0,25564
186,0.0,21,14,0.0,0.0,5852,0.02928521496533217,-3.5009499119408227,13496
187,0.0,38,12,0.0,1.0,25130,0.0,0.0,25564
188,0.0,48,6,0.0,1.0,25243,0.0,0.0,25564
189,0.0,18,8,0.0,1.0,10727,0.009899999999999999,-4.605271190987925,9860
190,0.0,22,11,0.0,1.0,18449,0.0,0.0,25564
191,0.0,48,10,0.0,1.0,16354,0.0,0.0,18059
192,0.0,18,11,0.0,0.0,3620,0.09395215983987752,-2.2663063935141343,15739
193,0.0,48,9,0.0,1.0,25243,0.0,0.0,25564
194,0.0,45,12,0.0,1.0,0,0.0001579690092806678,-8.75295370648156,3924
