,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.76556984139442,1.18346273482523
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.7498434099392649,1.097777315960238
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.8338080918349046,1.612860076264703
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.994684612921848,5.231819878334378
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9791802036818784,3.850811414577861
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.9949821738616984,5.289728021545521
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.9761764588214299,3.7129691510783958
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9809463352281103,3.941258294370402
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.6080695338719991,0.43920479861822054
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.0019720152189067006,-6.226725343132155
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9945099477937931,5.199312336249712
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.9739536404193967,3.621485694356284
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9940816096225725,5.123754789301602
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.9427447423829795,2.801276084905867
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9930052171921802,4.9555713599985625
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9944035450762578,5.180009757281617
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.977074269524399,3.752302785743476
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9948757711441631,5.268637829692979
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.7281163497984628,0.9850866384083371
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.9746539531195343,3.649459711843429
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9947379850712901,5.24196535120098
