,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.7604111570463654,1.1549349832533047
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.6663932673921,0.6919171358892651
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.8610476233258092,1.8240185539720626
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.995842605700753,5.478700711044268
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9770565283858652,3.7515110747332026
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.9959229346201317,5.498292419734188
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.9797288396016448,3.878076633186148
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9788205486392435,3.833316888863205
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.3880164053182215,-0.45565785560009225
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.0021417535873529347,-6.143986301736434
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9957648359331394,5.460089053153029
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.9804776038042213,3.916477474386072
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9956071032294532,5.423363838995773
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.9652619959753145,3.324565258419863
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.995400647406578,5.377229763792913
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9957501829645095,5.45662047427035
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.9803598502572519,3.9103437711319713
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.995908281651502,5.494690150718906
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.742415155877428,1.0585594383977484
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.9797061386312896,3.8769342234716238
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.995842605700753,5.478700711044268
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.05984587605879831,-2.7542712984483337
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.4790265272648645,-0.08394314801302778
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.995842605700753,5.478700711044268
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.805081627539023,1.4183628047865258
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9956864866358781,5.441679697841327
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.9637211624129894,3.279567417476268
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.995842605700753,5.478700711044268
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.6365189378525392,0.5602869736768186
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.9956739080195258,5.438755212839814
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.995842605700753,5.478700711044268
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9956739080195258,5.438755212839814
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.9330218132383699,2.6340615845913784
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.6926104772628142,0.8123520122506431
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.9635887120818636,3.275785722142373
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.9762114509396201,3.714474880521123
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.9798125216100131,3.8822987183667452
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.9306742259868267,2.59709254122685
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.9956350210385538,5.4297673762360175
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.6477995115510091,0.6093806698125789
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.8347666382682611,1.6197934224356672
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.995908281651502,5.494690150718906
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.9797288396016448,3.878076633186148
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.5139982312533137,0.0560075610174861
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.995594524613101,5.420491897487174
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.2997436032679847,-0.848519095568267
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.9956845070137605,5.441218879951594
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.9635887120818636,3.275785722142373
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.995594524613101,5.420491897487174
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.9956885609881557,5.442162793066981
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.9956350210385538,5.4297673762360175
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.9797288396016448,3.878076633186148
