,treat,education*,black,black_education,married,nodegree,propensity_score,propensity_logit,re78
0,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,9930
1,1.0,9,0.0,0.0,0.0,1.0,0.9928265249366559,4.930165746503304,3595
2,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,24909
3,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,7506
4,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,289
5,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,4056
6,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,0
7,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,8472
8,1.0,16,1.0,16.0,0.0,0.0,0.09759638405663448,-2.224221443632531,2164
9,1.0,12,0.0,0.0,1.0,0.0,0.0,0.0,12418
10,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,8173
11,1.0,13,1.0,13.0,0.0,0.0,0.8980308726361357,2.1755343524724973,17094
12,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
13,1.0,10,1.0,10.0,1.0,1.0,0.0018569712201292397,-6.2869497972486545,18739
14,1.0,7,1.0,7.0,0.0,1.0,0.9050367728454919,2.2544858417722593,3023
15,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,3228
16,1.0,13,1.0,13.0,0.0,0.0,0.8980308726361357,2.1755343524724973,14581
17,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,7693
18,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,10804
19,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,10747
20,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
21,1.0,14,0.0,0.0,0.0,0.0,0.00027722772277227726,-8.19039401949071,5149
22,1.0,9,0.0,0.0,0.0,1.0,0.9928265249366559,4.930165746503304,6408
23,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,1991
24,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,11163
25,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,9642
26,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,9897
27,1.0,10,0.0,0.0,0.0,1.0,0.9950687002918077,5.307209194491442,11142
28,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,16218
29,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,995
30,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
31,1.0,4,1.0,4.0,0.0,1.0,0.11288504550664855,-2.061604568601838,6551
32,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,1574
33,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,0
34,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,3191
35,1.0,14,1.0,14.0,0.0,0.0,0.21809198518752967,-1.2768201813149715,20505
36,1.0,5,1.0,5.0,0.0,1.0,0.9082182736901578,2.2920715212331952,6181
37,1.0,12,1.0,12.0,1.0,0.0,0.14,-1.8152899666382492,5911
38,1.0,8,1.0,8.0,1.0,1.0,0.09185697122012926,-2.291169180219473,3094
39,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
40,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,1254
41,1.0,9,0.0,0.0,0.0,1.0,0.9928265249366559,4.930165746503304,13188
42,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,8061
43,1.0,8,0.0,0.0,1.0,1.0,0.036064833103689756,-3.2857057998001418,2787
44,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,3972
45,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,0
46,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
47,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
48,1.0,5,1.0,5.0,0.0,1.0,0.9082182736901578,2.2920715212331952,12187
49,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,4843
50,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
51,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,8087
52,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
53,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,2348
54,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,590
55,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
56,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,1067
57,1.0,4,1.0,4.0,1.0,1.0,0.009038226880984643,-4.69721294585675,7284
58,1.0,14,1.0,14.0,1.0,0.0,0.09480000000000001,-2.256386504498406,13167
59,1.0,11,0.0,0.0,0.0,1.0,0.9864442141769731,4.2872933204286,1048
60,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
61,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,1923
62,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,4666
63,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,549
64,1.0,4,1.0,4.0,0.0,1.0,0.11288504550664855,-2.061604568601838,762
65,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,10694
66,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
67,1.0,7,0.0,0.0,0.0,1.0,0.6320049933951674,0.5408279259891015,0
68,1.0,5,1.0,5.0,1.0,1.0,0.005523290557525147,-5.193242880479334,8546
69,1.0,13,1.0,13.0,0.0,0.0,0.8980308726361357,2.1755343524724973,7479
70,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
71,1.0,13,1.0,13.0,0.0,0.0,0.8980308726361357,2.1755343524724973,647
72,1.0,6,1.0,6.0,0.0,1.0,0.9615282258369447,3.218599086848365,0
73,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,11965
74,1.0,15,1.0,15.0,0.0,0.0,0.21229323165348216,-1.311157412062997,9598
75,1.0,11,0.0,0.0,0.0,1.0,0.9864442141769731,4.2872933204286,18783
76,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,18678
77,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
78,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,23005
79,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,6456
80,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,0
81,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,2321
82,1.0,12,0.0,0.0,0.0,0.0,0.8048069101497531,1.4166131124837416,4941
83,1.0,13,1.0,13.0,0.0,0.0,0.8980308726361357,2.1755343524724973,0
84,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
85,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
86,1.0,8,0.0,0.0,0.0,1.0,0.5705169746255829,0.28396070399018297,3881
87,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,17230
88,1.0,12,0.0,0.0,0.0,0.0,0.8048069101497531,1.4166131124837416,8048
89,1.0,8,1.0,8.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
90,1.0,11,1.0,11.0,1.0,1.0,0.10426110045111685,-2.150750629596441,14509
91,1.0,10,1.0,10.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
92,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
93,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,9983
94,1.0,11,1.0,11.0,0.0,1.0,0.9998409090909091,8.745875660279486,0
95,1.0,12,0.0,0.0,0.0,0.0,0.8048069101497531,1.4166131124837416,5587
96,1.0,9,1.0,9.0,0.0,1.0,0.9998409090909091,8.745875660279486,4482
97,1.0,12,1.0,12.0,0.0,0.0,1.0,0.0,2456
