,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.6707141255064532,0.7114167108188074
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.9979696370928534,6.197508303024688
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.9826037496517517,4.033951250007795
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.9977957149324204,6.115145336968266
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.9965210726587058,5.657546275089482
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.9979696370928534,6.197508303024688
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.9975027761927704,5.990075294181343
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.9966868671394337,5.70654242023348
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.5713573181762065,0.2873911277157097
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.19064923592045732,-1.4457971219101609
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9983371172206666,6.397538301824594
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.9915463999637286,4.764673354174101
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9985207109686681,6.514713306603214
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.8853289862211364,2.043892032925499
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9979825720949339,6.203912427592357
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9983617789348105,6.412504777807783
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9943884073908942,5.177293315447933
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.998294791850719,6.372361430336712
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.993707513807273,5.062086657870998
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.995637702724574,5.430384622493716
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.9978680308404022,6.148574993221464
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.9825891488220523,4.033097433581579
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.9974481570737976,5.968384360260472
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.9978548076999063,6.142378583706168
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9985635879011843,6.5441694279072715
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.9784748663368581,3.8167738406317415
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.9979313257764245,6.178776531711555
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.9981741198618777,6.3038655916478525
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.9985635879011843,6.5441694279072715
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.9978548076999063,6.142378583706168
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.9985635879011843,6.5441694279072715
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,6551,0.16923818048021774,-1.5910360599898785
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.9792278640319895,3.8531518955724224
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.9976232733112134,6.039651523207106
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.9975027761927704,5.990075294181343
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.9760340778809123,3.706864592051767
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,6181,0.9957517159034421,5.456982785863226
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.42763400704467175,-0.2915109285609231
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.11515357136333124,-2.0391474623213
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.9982332126293638,6.3368240764442225
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.9974414971969863,5.9657712527859115
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.9983371172206666,6.397538301824594
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.9985207109686681,6.514713306603214
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.8340201371343479,1.6143910743523886
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.9974134473919013,5.954839425719786
