,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.8035623748307194,1.4087098593224603
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.9849900303858873,4.183916898418133
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.9847783052150565,4.169694846264872
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.996450066827172,5.637270251089954
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9896271985044856,4.558141165427102
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.996556634975867,5.667856773987655
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.9734577656851842,3.6021172278276326
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9953525694814157,5.366782525357948
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.8355008120846666,1.6251256865011048
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.018527227774056895,-3.9698128506888533
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9973789050145524,5.94153857907285
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.9925620921697331,4.893699968294549
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9976505367163293,6.051216139235227
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.928786124133688,2.5681908055158966
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9978015434277387,6.11779884616232
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9973789050145524,5.94153857907285
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.9901841982519131,4.61389747427016
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9959129631199274,5.495839639047423
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.9314613750358114,2.6093572693973077
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.9858534019344948,4.244033488184165
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9958290582895963,5.475433774483488
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.569018041841229,0.27784591279762266
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.9063643383810444,2.2700300535760736
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.9959126298153892,5.495757756065576
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.7511912723342479,1.1049758702359869
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9973789050145524,5.94153857907285
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.9685069728476288,3.4259895213716915
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.9959126298153892,5.495757756065576
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.9355546236873227,2.675321547716972
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.9973789050145524,5.94153857907285
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.9959126298153892,5.495757756065576
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9973789050145524,5.94153857907285
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.969340306180962,3.4536668563450292
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.5558141348849017,0.22419085862648963
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.9670849354255914,3.380355882770486
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.9932418246000665,4.990221221332092
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.9858534019344948,4.244033488184165
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.9718997657971546,3.5434747666093767
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.9868529364796755,4.318322600556648
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.5705474898059534,0.2840852429349753
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.7543143139719745,1.121756123271034
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.9959965346457201,5.5165834536719816
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.9922787876370295,4.856032710183634
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.9578789600923348,3.12417404740269
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.9976505367163293,6.051216139235227
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.8008759992627916,1.3917783777234731
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.9967710967187123,5.732378613363761
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.9670849354255914,3.380355882770486
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9976505367163293,6.051216139235227
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.9973789050145524,5.94153857907285
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.9868529364796755,4.318322600556648
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.9734577656851842,3.6021172278276326
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.9969924119980036,5.803604729813083
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.973217117775165,3.5928442394269733
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.9967710967187123,5.732378613363761
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.9858534019344948,4.244033488184165
56,1.0,30,11,1.0,0.0,1.0,1.0,0,590,0.9768534814115287,3.7424922886714342
57,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9973789050145524,5.94153857907285
58,1.0,37,9,1.0,0.0,0.0,1.0,0,1067,0.9932253272817506,4.987766495665825
59,1.0,41,4,1.0,0.0,1.0,1.0,0,7284,0.8675073045148582,1.8790964164829775
60,1.0,42,14,1.0,0.0,1.0,0.0,0,13167,0.6301982013195083,0.5330671923078067
61,1.0,22,11,0.0,0.0,0.0,1.0,0,1048,0.9219807427761263,2.469568653275069
62,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9976505367163293,6.051216139235227
63,1.0,29,8,1.0,0.0,0.0,1.0,0,1923,0.9969924119980036,5.803604729813083
64,1.0,28,10,1.0,0.0,0.0,1.0,2836,3196,0.9960395614677293,5.527432217537381
65,1.0,35,10,1.0,0.0,0.0,1.0,0,4666,0.9943658382306557,5.173256803358163
66,1.0,27,11,1.0,0.0,0.0,1.0,0,549,0.996450066827172,5.637270251089954
67,1.0,29,4,1.0,0.0,0.0,1.0,0,762,0.9552571977491433,3.061050033008345
68,1.0,28,9,1.0,0.0,0.0,1.0,0,10694,0.9967207802962267,5.716865171950881
69,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.996450066827172,5.637270251089954
70,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0.9404354274732111,2.759282012084813
71,1.0,45,5,1.0,0.0,1.0,1.0,0,8546,0.8641483301558837,1.8501808048706319
72,1.0,29,13,1.0,0.0,0.0,0.0,0,7479,0.9928260662256165,4.930101341079449
73,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0.9966434607085978,5.693482623483907
74,1.0,46,13,1.0,0.0,0.0,0.0,0,647,0.870069263474691,1.9015713091587496
75,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0.9952887981806832,5.353089905655592
76,1.0,25,12,1.0,0.0,0.0,0.0,0,11965,0.9858534019344948,4.244033488184165
77,1.0,28,15,1.0,0.0,0.0,0.0,0,9598,0.7515317253681395,1.1067982544516168
78,1.0,31,9,1.0,0.0,0.0,1.0,1698,10363,0.9951752161231546,5.329152876837503
79,1.0,25,11,0.0,0.0,0.0,1.0,0,18783,0.8923328697874889,2.1147948954513645
80,1.0,22,12,1.0,0.0,0.0,0.0,0,18678,0.990045885475126,4.599765305236852
81,1.0,28,11,1.0,0.0,0.0,1.0,1284,60307,0.9968287287977046,5.750446450948929
82,1.0,21,9,1.0,0.0,0.0,1.0,0,0,0.9969836480975565,5.800686246853254
83,1.0,40,11,1.0,0.0,0.0,1.0,0,23005,0.9842506993023511,4.135084676179554
84,1.0,22,11,1.0,0.0,0.0,1.0,0,6456,0.9959488266800269,5.504689329633017
85,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.9858534019344948,4.244033488184165
86,1.0,27,9,1.0,0.0,1.0,1.0,934,1773,0.8019523912326165,1.3985417934400517
87,1.0,23,10,1.0,0.0,1.0,1.0,936,11233,0.9289274336907586,2.570329207695271
88,1.0,29,10,1.0,0.0,0.0,1.0,4398,0,0.9885546375168782,4.458659289593351
89,1.0,18,12,1.0,0.0,0.0,0.0,0,2321,0.9326318364417121,2.6278379655287263
90,1.0,38,12,0.0,0.0,0.0,0.0,0,4941,0.6385739198876683,0.5691799002621126
91,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0.9901841982519131,4.61389747427016
92,1.0,27,8,1.0,0.0,0.0,1.0,0,0,0.9969150924103747,5.778143901088274
93,1.0,38,11,1.0,0.0,0.0,1.0,0,0,0.9931685503192359,4.979363485127404
94,1.0,23,8,0.0,1.0,0.0,1.0,0,3881,0.9263663373690103,2.5321674752461374
95,1.0,26,11,1.0,0.0,0.0,1.0,0,17230,0.996450066827172,5.637270251089954
96,1.0,42,9,1.0,0.0,1.0,1.0,3058,1294,0.7951173245721985,1.3560521815266566
97,1.0,21,12,0.0,0.0,0.0,0.0,0,8048,0.867344174695529,1.8776778755085348
98,1.0,25,8,1.0,0.0,0.0,1.0,0,0,0.9963776553985919,5.617004861673439
99,1.0,31,11,1.0,0.0,1.0,1.0,0,14509,0.973217117775165,3.5928442394269733
100,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9973789050145524,5.94153857907285
101,1.0,19,8,1.0,0.0,0.0,1.0,2657,9970,0.997951879099233,6.188782318801047
102,1.0,29,14,1.0,0.0,0.0,0.0,679,17814,0.9586523549032476,3.14351303189382
103,1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.9959126298153892,5.495757756065576
104,1.0,21,12,1.0,0.0,0.0,0.0,0,9983,0.9922787876370295,4.856032710183634
105,1.0,44,11,1.0,0.0,0.0,1.0,0,0,0.964305412610925,3.296408998955759
106,1.0,19,10,1.0,0.0,0.0,1.0,385,8124,0.9976802473974561,6.063972288427627
107,1.0,25,12,0.0,0.0,0.0,0.0,0,5587,0.5440961422305429,0.1768440142221062
108,1.0,18,10,1.0,0.0,0.0,1.0,798,9737,0.9976802473974561,6.063972288427627
109,1.0,18,9,1.0,0.0,0.0,1.0,0,4482,0.9973789050145524,5.94153857907285
110,1.0,19,9,1.0,0.0,0.0,1.0,798,17685,0.9976802473974561,6.063972288427627
111,1.0,18,9,1.0,0.0,0.0,1.0,3287,5010,0.9969738419038165,5.797430672879892
112,1.0,26,11,1.0,0.0,1.0,1.0,1392,1460,0.9695069728476288,3.4592896273456213
113,1.0,42,12,1.0,0.0,0.0,0.0,0,2456,0.921229148939183,2.459165791768445
114,1.0,25,10,1.0,0.0,0.0,1.0,0,0,0.9959965346457201,5.5165834536719816
115,1.0,31,9,0.0,1.0,0.0,1.0,0,26817,0.8783944823760776,1.9773134455881654
116,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.9959965346457201,5.5165834536719816
117,1.0,26,10,1.0,0.0,0.0,1.0,0,9265,0.9965339716575029,5.661273861494831
118,1.0,20,12,1.0,0.0,0.0,0.0,377,1652,0.9938918192145397,5.091999381883726
119,1.0,19,10,0.0,0.0,0.0,1.0,5324,13829,0.9294323334836677,2.578001947438758
120,1.0,25,11,1.0,0.0,0.0,1.0,0,485,0.9959126298153892,5.495757756065576
121,1.0,23,8,0.0,0.0,1.0,1.0,1713,4232,0.5824614634931211,0.3328861831162865
122,1.0,31,12,0.0,0.0,0.0,0.0,2611,2484,0.759204054153543,1.1483207102079787
123,1.0,18,11,1.0,0.0,0.0,1.0,0,4814,0.9967710967187123,5.732378613363761
124,1.0,19,11,1.0,0.0,0.0,1.0,0,7458,0.9967710967187123,5.732378613363761
125,1.0,43,9,1.0,0.0,0.0,1.0,0,0,0.9808820122186513,3.937822518840543
126,1.0,27,13,1.0,0.0,0.0,0.0,0,34099,0.9901841982519131,4.61389747427016
127,1.0,26,11,0.0,0.0,0.0,1.0,2226,13385,0.8898056364820774,2.088757305240828
128,1.0,29,10,0.0,1.0,0.0,1.0,8853,5112,0.7091286476276574,0.8911558781222865
129,1.0,17,9,1.0,0.0,0.0,1.0,0,1953,0.9973789050145524,5.94153857907285
130,1.0,30,11,1.0,0.0,0.0,1.0,0,0,0.9954699307858335,5.3924776994671015
131,1.0,17,10,1.0,0.0,0.0,1.0,156,10641,0.9976802473974561,6.063972288427627
132,1.0,20,12,0.0,0.0,1.0,0.0,8644,11656,0.0724045654780949,-2.55032632705833
133,1.0,17,9,1.0,0.0,0.0,1.0,375,3621,0.9976802473974561,6.063972288427627
134,1.0,18,12,1.0,0.0,0.0,0.0,562,0,0.9332818310561852,2.638229911175195
135,1.0,21,11,0.0,1.0,0.0,1.0,1395,0,0.9500615373257546,2.945735257706508
136,1.0,30,11,1.0,0.0,0.0,1.0,1913,0,0.9957712731687371,5.4616166235632395
137,1.0,18,11,0.0,1.0,0.0,1.0,5491,2454,0.9615594231426563,3.219442774975423
138,1.0,20,12,1.0,0.0,0.0,0.0,9227,0,0.5718248868694948,0.28930054793829624
139,1.0,20,6,0.0,1.0,1.0,1.0,10802,4488,0.13333333333333333,-1.8718021769015916
140,1.0,20,10,1.0,0.0,0.0,1.0,11073,0,0.40554452362550003,-0.3824151539176164
141,1.0,25,8,1.0,0.0,0.0,1.0,37431,2346,0.22494091091980503,-1.2371015208413285
142,1.0,17,9,0.0,0.0,0.0,1.0,1618,6011,0.9666739422000105,3.3675216461957587
143,1.0,18,10,0.0,1.0,0.0,1.0,2589,0,0.9590497309862969,3.1535845510687714
144,1.0,19,9,0.0,1.0,0.0,1.0,6511,7913,0.9854822573260743,4.217759588619993
145,1.0,19,11,1.0,0.0,0.0,1.0,192,661,0.9970724391016161,5.83065380594125
146,1.0,27,10,0.0,1.0,0.0,1.0,421,3075,0.9335341633292664,2.642289477963549
147,1.0,18,12,0.0,1.0,0.0,0.0,535,1115,0.9572365209609791,3.1083660644115967
148,1.0,22,11,1.0,0.0,0.0,1.0,606,317,0.9962501690629307,5.58228764428588
149,1.0,20,9,1.0,0.0,0.0,1.0,660,12229,0.9976802473974561,6.063972288427627
150,1.0,20,11,1.0,0.0,0.0,1.0,696,0,0.9970724391016161,5.83065380594125
151,1.0,18,10,1.0,0.0,0.0,1.0,699,480,0.9976802473974561,6.063972288427627
152,1.0,17,10,1.0,0.0,0.0,1.0,856,3251,0.9976802473974561,6.063972288427627
153,1.0,26,12,1.0,0.0,0.0,0.0,1088,11460,0.986503396548968,4.291728710917722
154,1.0,22,10,1.0,0.0,0.0,1.0,1071,7315,0.9968579773587707,5.759741564023425
155,1.0,20,12,1.0,0.0,0.0,0.0,1160,702,0.9938918192145397,5.091999381883726
156,1.0,18,8,1.0,0.0,0.0,1.0,1199,0,0.997951879099233,6.188782318801047
157,1.0,18,9,1.0,0.0,0.0,1.0,1285,15369,0.9976802473974561,6.063972288427627
158,1.0,18,10,1.0,0.0,0.0,1.0,1371,12064,0.9976802473974561,6.063972288427627
159,1.0,19,10,1.0,0.0,0.0,1.0,1374,13278,0.9976802473974561,6.063972288427627
160,1.0,18,9,0.0,1.0,0.0,1.0,1713,8836,0.9877163976529634,4.3871303791960985
161,1.0,17,10,0.0,1.0,0.0,1.0,2202,4387,0.9877163976529634,4.3871303791960985
162,1.0,19,11,1.0,0.0,0.0,1.0,1927,11965,0.9970724391016161,5.83065380594125
163,1.0,27,11,1.0,0.0,1.0,1.0,2142,2186,0.9695069728476288,3.4592896273456213
164,1.0,19,10,1.0,0.0,0.0,1.0,3213,2975,0.9969738419038165,5.797430672879892
165,1.0,19,9,0.0,1.0,0.0,1.0,3276,14271,0.9699636958630277,3.474851855917138
166,1.0,27,10,1.0,0.0,0.0,1.0,3213,2094,0.9959622418801004,5.508019729976484
167,1.0,21,11,1.0,0.0,1.0,1.0,4167,11300,0.93201758702245,2.6181026456614944
168,1.0,29,10,1.0,0.0,1.0,1.0,4923,130,0.6710830808750969,0.7130877523931831
169,1.0,34,11,0.0,1.0,0.0,1.0,4641,2877,0.7305260885496897,0.9972933616918084
170,1.0,25,10,0.0,0.0,0.0,1.0,4712,6103,0.9140839291661941,2.364551494263736
171,1.0,31,13,0.0,0.0,0.0,0.0,5498,2329,0.710265978134555,0.8966761808295923
172,1.0,41,9,1.0,0.0,1.0,1.0,5783,0,0.5344622559607771,0.1380679361486707
173,1.0,21,11,0.0,1.0,0.0,1.0,6658,9381,0.9489868172887205,2.923310823495135
174,1.0,20,11,1.0,0.0,0.0,1.0,6426,16451,0.9351698688091301,2.668957707859529
175,1.0,24,12,0.0,1.0,1.0,0.0,7212,6485,0.780116649690179,1.2663462795183946
176,1.0,41,9,1.0,0.0,1.0,1.0,7212,3154,0.5920352782350803,0.37238552031852007
177,1.0,21,12,0.0,0.0,0.0,0.0,7390,3557,0.921339172429039,2.460682946047753
178,1.0,22,11,1.0,0.0,0.0,1.0,7497,668,0.78297511281626,1.283088876640507
179,1.0,20,9,0.0,1.0,0.0,1.0,8015,5487,0.9623601748686069,3.241326113857105
180,1.0,17,11,1.0,0.0,0.0,1.0,8497,9017,0.8500215225903415,1.734769869992477
181,1.0,24,11,1.0,0.0,0.0,1.0,9180,0,0.5671534965981149,0.27024681464833494
182,1.0,23,12,1.0,0.0,1.0,0.0,15079,10283,0.0008156906906906906,-7.1106593068386275
183,1.0,23,10,1.0,0.0,0.0,1.0,15709,5665,0.14549641421207948,-1.7703692571875067
184,1.0,26,11,0.0,0.0,0.0,1.0,22959,2746,0.11013299314116011,-2.089383357002693
185,1.0,21,13,1.0,0.0,0.0,0.0,24806,8803,0.03826495726495726,-3.2242044659341733
186,1.0,18,10,1.0,0.0,1.0,1.0,1958,10989,0.9269342946219951,2.540523573469575
187,1.0,22,10,1.0,0.0,0.0,1.0,653,11134,0.9968579773587707,5.759741564023425
188,1.0,17,10,1.0,0.0,0.0,1.0,1000,1433,0.9976802473974561,6.063972288427627
189,1.0,20,7,1.0,0.0,0.0,1.0,1569,5518,0.9942139969217536,5.146510733568857
190,1.0,17,9,1.0,0.0,0.0,1.0,1667,5594,0.9976802473974561,6.063972288427627
191,1.0,23,11,1.0,0.0,0.0,1.0,1961,3689,0.9961304006725001,5.550727204648718
192,1.0,32,10,1.0,0.0,0.0,1.0,2321,179,0.9958731777977172,5.486112249695307
193,1.0,19,12,1.0,0.0,0.0,0.0,2534,4551,0.9099484977228518,2.313006247817376
194,1.0,30,10,1.0,0.0,0.0,1.0,2615,0,0.995870778623093,5.485528648224095
195,1.0,25,12,1.0,0.0,0.0,0.0,2746,2090,0.9777120396563798,3.781168550934865
196,1.0,26,11,0.0,0.0,0.0,1.0,4676,1973,0.8579547204064275,1.7984054475261364
197,1.0,19,10,1.0,0.0,0.0,1.0,3473,5861,0.9969738419038165,5.797430672879892
198,1.0,19,8,0.0,0.0,0.0,1.0,3416,9251,0.9556920737434079,3.0712721792546347
199,1.0,20,10,1.0,0.0,0.0,1.0,5100,13626,0.9913070997711473,4.7365177482458725
200,1.0,21,11,1.0,0.0,0.0,1.0,5310,7906,0.990018320272597,4.596972062763306
201,1.0,23,12,1.0,0.0,0.0,0.0,7841,7947,0.8448662395918731,1.694890603336598
202,1.0,19,11,1.0,0.0,0.0,1.0,6409,11648,0.9351698688091301,2.668957707859529
203,1.0,22,11,1.0,0.0,0.0,1.0,8774,18295,0.7909860126205569,1.3308791094655439
204,1.0,23,12,1.0,0.0,0.0,0.0,7782,14416,0.8448662395918731,1.694890603336598
205,1.0,26,10,1.0,0.0,1.0,1.0,8141,4635,0.369720098986652,-0.5334177779113208
