,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.23729734474491926,-1.1675542766176938
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.9973107197902265,5.915788798364077
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.9731138980237732,3.5888916360046483
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.99626603952163,5.58654486906838
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9967726440332241,5.732859487997211
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.9973107197902265,5.915788798364077
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.9642542572971098,3.2949238354019275
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9961733356589688,5.561927779750276
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.6087431972789116,0.4420323705834277
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.02285781726180208,-3.7553390004337532
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9988218853131773,6.742661032047277
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.9955376919156249,5.40761684520499
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9990125179811737,6.919364300237911
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.8979655844458864,2.1748215791288175
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9986743742558032,6.624544166089045
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9983789305266741,6.423046794005535
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.9932924962865609,4.997798321922944
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9946423085386261,5.223849998820035
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.9011620371450433,2.2102033125118434
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.9870139096311877,4.330805319168838
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9892246723812889,4.519662436112029
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.9885065069252164,4.454414169565551
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.9934513973144528,5.021933443687134
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.9947548677770367,5.245195891897064
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.884896694891522,2.0396408788388114
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9983789305266741,6.423046794005535
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.9088443617177284,2.2996055038903243
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.9962015233925975,5.569349476277054
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.9974451184446123,5.967191263535734
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.9983789305266741,6.423046794005535
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.9947548677770367,5.245195891897064
