treat,age,agesq,education,educsq,black,hispanic,married,nodegree,re75,u75,propensity_score,propensity_logit,re78
1.0,25,625,10,100,1.0,0.0,0.0,1.0,0,1,0.601949267164903,0.4135937013493138,0
1.0,21,441,12,144,0.0,0.0,0.0,0.0,334,0,0.4347966756136588,-0.26230702314558474,12558
1.0,41,1681,14,196,0.0,0.0,0.0,0.0,0,1,0.40610032263376966,-0.38011018261500523,5149
1.0,33,1089,11,121,1.0,0.0,0.0,1.0,7867,0,0.30532676202579817,-0.8220590197913112,6281
1.0,17,289,10,100,1.0,0.0,0.0,1.0,156,0,0.476028365274865,-0.095960107282367,10641
1.0,19,361,11,121,1.0,0.0,0.0,1.0,1927,0,0.32319727149504823,-0.7391169553079399,11965
1.0,21,441,9,81,1.0,0.0,0.0,1.0,0,1,0.4695613818652577,-0.12190521677592843,0
1.0,27,729,11,121,1.0,0.0,1.0,1.0,2142,0,0.4004374423080559,-0.40364276347461614,2186
1.0,29,841,8,64,1.0,0.0,0.0,1.0,0,1,0.40957126461296084,-0.36573802663954924,1923
1.0,24,576,12,144,1.0,0.0,0.0,0.0,2842,0,0.539531037069547,0.15845485757301558,6167
1.0,25,625,8,64,0.0,0.0,0.0,1.0,23096,0,0.4160234602292763,-0.3391191569428012,6421
1.0,21,441,11,121,1.0,0.0,0.0,1.0,2217,0,0.33505554863360415,-0.6854071704913184,4082
1.0,25,625,11,121,1.0,0.0,1.0,1.0,0,1,0.4678207885857778,-0.12889500396760242,0
1.0,28,784,11,121,1.0,0.0,1.0,1.0,6952,0,0.4263412053246994,-0.2967948080644777,7318
1.0,17,289,9,81,1.0,0.0,0.0,1.0,1667,0,0.28537396907942264,-0.9179588798551106,5594
1.0,20,400,12,144,1.0,0.0,0.0,0.0,9227,0,0.5051839515675572,0.020736549305698147,0
1.0,17,289,10,100,1.0,0.0,0.0,1.0,856,0,0.4090658333049866,-0.36782851341463285,3251
1.0,42,1764,14,196,1.0,0.0,0.0,0.0,0,1,0.5000029278271215,1.1711308486264518e-05,20505
1.0,28,784,15,225,1.0,0.0,0.0,0.0,0,1,0.4179125581867479,-0.3313484604108854,9598
1.0,28,784,8,64,1.0,0.0,0.0,1.0,1182,0,0.28537396907942264,-0.9179588798551106,7779
1.0,21,441,11,121,0.0,1.0,0.0,1.0,17983,0,0.4297019162910147,-0.28306742763819703,15191
1.0,30,900,11,121,1.0,0.0,0.0,1.0,0,1,0.41986151176927067,-0.32334192482982094,0
1.0,17,289,8,64,1.0,0.0,0.0,1.0,0,1,0.42857983866680355,-0.2876477313132332,0
1.0,26,676,12,144,1.0,0.0,1.0,0.0,5794,0,0.45291110740176377,-0.18891542321308288,1424
1.0,22,484,12,144,1.0,0.0,0.0,0.0,0,1,0.31540868059329275,-0.774952849572431,18678
1.0,22,484,10,100,1.0,0.0,0.0,1.0,653,0,0.5421934083576224,0.169175973840282,11134
1.0,26,676,11,121,0.0,0.0,0.0,1.0,22959,0,0.45489686304664373,-0.1809043002418496,2746
1.0,31,961,9,81,1.0,0.0,0.0,1.0,1698,0,0.40599789617144283,-0.3805348834107206,10363
1.0,21,441,11,121,1.0,0.0,1.0,1.0,4167,0,0.34498344968419314,-0.6411640590229554,11300
1.0,27,729,11,121,1.0,0.0,0.0,1.0,2666,0,0.36398680273345696,-0.5581017027912268,0
1.0,26,676,10,100,1.0,0.0,0.0,1.0,0,1,0.4746315134087225,-0.10156115387969777,9265
1.0,22,484,11,121,0.0,0.0,0.0,1.0,0,1,0.5447481044043267,0.17947261160970712,1048
1.0,30,900,12,144,1.0,0.0,0.0,0.0,0,1,0.42969970380665773,-0.2830764560483746,24909
1.0,24,576,10,100,1.0,0.0,1.0,1.0,4078,0,0.4161710832403799,-0.3385115556483656,0
1.0,25,625,11,121,1.0,0.0,0.0,1.0,0,1,0.4059087592248208,-0.38090450819278127,485
1.0,28,784,10,100,1.0,0.0,0.0,1.0,2836,0,0.43278358963647223,-0.27050309695711694,3196
1.0,24,576,11,121,1.0,0.0,0.0,1.0,0,1,0.45077266977210984,-0.1975492820949604,995
1.0,41,1681,9,81,1.0,0.0,1.0,1.0,7212,0,0.34475152444708657,-0.6421905771335477,3154
1.0,23,529,12,144,1.0,0.0,0.0,0.0,0,1,0.5350275078983896,0.14033991513992553,0
1.0,21,441,12,144,1.0,0.0,0.0,0.0,3332,0,0.3998744430050311,-0.40598828963625966,9371
1.0,31,961,9,81,1.0,0.0,0.0,1.0,5517,0,0.5862164717037031,0.3483461684359522,9558
1.0,23,529,10,100,1.0,0.0,0.0,1.0,0,1,0.48455344295307845,-0.061805895390425226,7693
1.0,18,324,11,121,1.0,0.0,0.0,1.0,0,1,0.29332831678033455,-0.879273661095824,0
1.0,19,361,8,64,1.0,0.0,0.0,1.0,2937,0,0.4184450900767985,-0.3291597207573728,7535
1.0,25,625,11,121,1.0,0.0,0.0,1.0,0,1,0.4443372348274206,-0.2235777607440493,9897
1.0,18,324,10,100,1.0,0.0,0.0,1.0,1371,0,0.42671124964684337,-0.2952819629574083,12064
1.0,17,289,10,100,1.0,0.0,0.0,1.0,1000,0,0.4064245573961086,-0.37876599961862595,1433
1.0,20,400,11,121,1.0,0.0,0.0,1.0,0,1,0.35024313031366716,-0.617970674921089,3972
1.0,19,361,9,81,1.0,0.0,0.0,1.0,798,0,0.5926761234630599,0.3750394491916391,17685
1.0,25,625,12,144,1.0,0.0,0.0,0.0,2746,0,0.4071318027743935,-0.37583513715995875,2090
1.0,18,324,10,100,0.0,1.0,0.0,1.0,12625,0,0.33092646899472367,-0.7039977632585889,0
1.0,37,1369,9,81,1.0,0.0,0.0,1.0,0,1,0.3529486286846516,-0.606103172062293,1067
1.0,27,729,9,81,1.0,0.0,0.0,1.0,0,1,0.5488618520994667,0.19607316709064632,0
1.0,21,441,12,144,1.0,0.0,0.0,0.0,0,1,0.3935108298266212,-0.4325782826820752,9983
1.0,23,529,11,121,1.0,0.0,0.0,1.0,1961,0,0.47503551908845487,-0.09994102662900815,3689
1.0,26,676,10,100,1.0,0.0,1.0,1.0,0,1,0.420049983318136,-0.32256820959533977,0
1.0,27,729,11,121,1.0,0.0,0.0,1.0,0,1,0.44187895645329706,-0.23353987238080792,549
1.0,19,361,11,121,0.0,1.0,1.0,1.0,5463,0,0.5643960304830324,0.25902268301700637,6788
1.0,21,441,11,121,1.0,0.0,0.0,1.0,2158,0,0.3905552025737524,-0.4449790514450822,0
1.0,20,400,10,100,1.0,0.0,0.0,1.0,5100,0,0.4448909346253174,-0.2213354472316928,13626
1.0,26,676,10,100,1.0,0.0,1.0,1.0,8141,0,0.35324665593099824,-0.604798436686271,4635
1.0,22,484,12,144,1.0,0.0,0.0,0.0,936,0,0.34175195351896503,-0.6554966388157673,0
1.0,20,400,12,144,1.0,0.0,0.0,0.0,1160,0,0.4151279259560373,-0.3428064184251189,702
1.0,17,289,10,100,1.0,0.0,0.0,1.0,0,1,0.2770134747016061,-0.9593244346404283,0
1.0,18,324,11,121,0.0,1.0,0.0,1.0,5491,0,0.3303197423510479,-0.7067392695066635,2454
1.0,23,529,12,144,1.0,0.0,0.0,0.0,7782,0,0.45379650473779237,-0.18534273814662186,14416
1.0,29,841,10,100,1.0,0.0,1.0,1.0,4923,0,0.46069018566590764,-0.15756443183691718,130
1.0,22,484,11,121,1.0,0.0,0.0,1.0,7497,0,0.3769932843218918,-0.502329924489416,668
1.0,18,324,10,100,1.0,0.0,0.0,1.0,699,0,0.44092332705321174,-0.23741562588216955,480
1.0,25,625,12,144,1.0,0.0,0.0,0.0,0,1,0.28012889200546764,-0.9438223534689397,0
1.0,29,841,11,121,1.0,0.0,1.0,1.0,0,1,0.3529486286846516,-0.606103172062293,9642
1.0,24,576,12,144,1.0,0.0,0.0,0.0,12982,0,0.5422159668099136,0.16926685517374834,0
1.0,19,361,11,121,1.0,0.0,0.0,1.0,0,1,0.4548138219941789,-0.18123919456473972,7458
1.0,17,289,9,81,0.0,0.0,0.0,1.0,1618,0,0.47588805059392725,-0.09652266666461033,6011
1.0,26,676,12,144,1.0,0.0,0.0,0.0,6608,0,0.44865986222075954,-0.2060868731451077,5811
1.0,23,529,12,144,0.0,0.0,0.0,0.0,3903,0,0.4242451015826632,-0.30537068856960603,796
1.0,42,1764,14,196,1.0,0.0,1.0,0.0,0,1,0.420049983318136,-0.32256820959533977,13167
1.0,18,324,10,100,1.0,0.0,1.0,1.0,1958,0,0.453889953815442,-0.1849657290424995,10989
1.0,32,1024,10,100,1.0,0.0,0.0,1.0,2321,0,0.40070096821992107,-0.4025452579176972,179
1.0,26,676,11,121,1.0,0.0,1.0,1.0,1392,0,0.5348319417228459,0.13955381398449582,1460
1.0,31,961,12,144,0.0,0.0,0.0,0.0,2611,0,0.32675313478642687,-0.7229071291853162,2484
1.0,20,400,9,81,1.0,0.0,0.0,1.0,0,1,0.418360645372303,-0.32950674156203713,8881
1.0,27,729,11,121,1.0,0.0,0.0,1.0,0,1,0.4431275130951221,-0.22847871679068849,0
1.0,23,529,12,144,1.0,0.0,0.0,0.0,3039,0,0.5189172523413731,0.07570514586850279,8484
1.0,33,1089,12,144,1.0,0.0,1.0,0.0,10941,0,0.5556320000050892,0.2234531566625063,15952
1.0,22,484,10,100,1.0,0.0,0.0,1.0,1071,0,0.295434894389823,-0.8691322519763971,7315
1.0,27,729,12,144,1.0,0.0,1.0,0.0,334,0,0.4071499825607718,-0.37575982023930043,0
1.0,23,529,12,144,1.0,0.0,1.0,0.0,15079,0,0.5597917133330076,0.2403167803728733,10283
1.0,18,324,11,121,0.0,0.0,0.0,1.0,919,0,0.4163749554526671,-0.33767254009444303,4321
1.0,27,729,13,169,0.0,0.0,1.0,0.0,853,0,0.46213780396917165,-0.15173926254983353,0
1.0,38,1444,11,121,1.0,0.0,0.0,1.0,0,1,0.47461549211123777,-0.10162540457084171,0
1.0,18,324,9,81,1.0,0.0,0.0,1.0,1182,0,0.5665297859870735,0.26770657466305864,5100
1.0,27,729,8,64,1.0,0.0,0.0,1.0,7218,0,0.4471978676742976,-0.2119989761052388,7976
1.0,26,676,11,121,1.0,0.0,1.0,1.0,2754,0,0.5180597824065704,0.07227056918244211,26372
1.0,18,324,9,81,1.0,0.0,0.0,1.0,0,1,0.5000447375625039,0.00017895025049304413,4482
1.0,18,324,11,121,1.0,0.0,0.0,1.0,0,1,0.46705730463577727,-0.13196194685750642,4814
