treat,age,agesq,education*,educsq,black,hispanic,married,nodegree,re74,re75,u75,u74,educ_re74,propensity_score,propensity_logit,re78
1.0,18,324,11,121,1.0,0.0,0.0,1.0,858,214,0,0,9438,0.9887950089913983,4.48012773434224,929
1.0,29,841,14,196,1.0,0.0,0.0,0.0,0,679,0,1,0,0.9461417747903561,2.8660372905443783,17814
1.0,25,625,8,64,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9997287428107396,8.21217185528905,0
1.0,20,400,12,144,1.0,0.0,0.0,0.0,0,377,0,1,0,0.981989227546537,3.998610289860953,1652
1.0,21,441,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9888051909777391,4.481047145759223,9983
1.0,27,729,12,144,1.0,0.0,0.0,0.0,2143,357,0,0,25716,0.9925951660576868,4.898189870768871,22163
1.0,18,324,10,100,1.0,0.0,0.0,1.0,0,798,0,1,0,0.993364835428368,5.008714532808676,9737
1.0,41,1681,14,196,0.0,0.0,0.0,0.0,0,0,1,1,0,0.9086029593376022,2.2966951102873367,5149
1.0,25,625,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9940801317403933,5.123503623636833,3191
1.0,19,361,11,121,1.0,0.0,0.0,1.0,2305,2615,0,0,25355,0.9519791588804575,2.986908035954279,4146
1.0,28,784,11,121,1.0,0.0,0.0,1.0,1929,6871,0,0,21219,0.8205625781348427,1.52016365347743,0
1.0,40,1600,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9907989737407698,4.679196634076087,10804
1.0,20,400,10,100,1.0,0.0,0.0,1.0,5005,2777,0,0,50050,0.9711510525145111,3.5164085100759612,5615
1.0,29,841,13,169,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9883696313700507,4.4424370861034905,7479
1.0,22,484,9,81,1.0,0.0,0.0,1.0,2192,3836,0,0,19728,0.9850767222878587,4.189797272337764,3462
1.0,20,400,11,121,1.0,0.0,0.0,1.0,16318,1484,0,0,179498,0.9366888027042054,2.6942889001456236,6943
1.0,24,576,10,100,1.0,0.0,1.0,1.0,11703,4078,0,0,117030,0.9269021650596052,2.540049272147503,0
1.0,20,400,9,81,0.0,1.0,0.0,1.0,12260,5875,0,0,110340,0.6931345160433073,0.8148145986399853,1358
1.0,20,400,12,144,1.0,0.0,0.0,0.0,989,165,0,0,11868,0.9827690900024411,4.043669325337143,0
1.0,31,961,12,144,0.0,0.0,0.0,0.0,0,2611,0,1,0,0.9741093111545027,3.6276401264231484,2484
1.0,18,324,9,81,1.0,0.0,0.0,1.0,0,3287,0,1,0,0.9827885852628341,4.044821214860468,5010
1.0,21,441,12,144,1.0,0.0,0.0,0.0,6473,3332,0,0,77676,0.8571881304009664,1.7921292496685592,9371
1.0,23,529,12,144,1.0,0.0,0.0,0.0,6269,3039,0,0,75228,0.9139293350551126,2.362584610260662,8484
1.0,42,1764,14,196,1.0,0.0,0.0,0.0,0,0,1,1,0,0.8979331473212323,2.1744676023300658,20505
1.0,18,324,11,121,0.0,0.0,0.0,1.0,3678,919,0,0,40458,0.9749435206506958,3.6612470910383763,4321
1.0,21,441,13,169,1.0,0.0,0.0,0.0,0,0,1,1,0,0.970052932168788,3.4779192216158377,17094
