treat,age,agesq,education*,educsq,black,hispanic,married,nodegree,re75,u75,propensity_score,propensity_logit,re78
1.0,26,676,11,121,1.0,0.0,1.0,1.0,2754,0,0.9820557179395846,4.002376529970096,26372
1.0,20,400,12,144,1.0,0.0,0.0,0.0,9227,0,0.9188460167906001,2.426770175854448,0
1.0,21,441,13,169,0.0,0.0,0.0,0.0,8616,0,0.2037038734157157,-1.3633037966371082,99
1.0,18,324,8,64,1.0,0.0,0.0,1.0,1199,0,0.998403964917967,6.43863548886957,0
1.0,31,961,9,81,1.0,0.0,0.0,1.0,5517,0,0.9939228539096817,5.09712439914482,9558
1.0,21,441,12,144,1.0,0.0,0.0,0.0,3332,0,0.9846557830670897,4.1615534652774535,9371
1.0,18,324,10,100,1.0,0.0,0.0,1.0,798,0,0.9977288520800073,6.085196152792958,9737
1.0,20,400,12,144,1.0,0.0,0.0,0.0,6085,0,0.9652538363206469,3.3243219413685443,9750
1.0,29,841,12,144,1.0,0.0,0.0,0.0,1817,0,0.9902509985070698,4.620793576056008,0
1.0,18,324,10,100,1.0,0.0,0.0,1.0,1371,0,0.9973260247663085,5.921511505549373,12064
1.0,38,1444,12,144,0.0,0.0,0.0,0.0,0,1,0.8957440448698402,2.150805725359254,4941
1.0,23,529,10,100,1.0,0.0,0.0,1.0,2217,0,0.9973587373735844,5.933853451660934,0
1.0,27,729,11,121,1.0,0.0,0.0,1.0,2666,0,0.9960954943621378,5.5417119528030945,0
1.0,26,676,11,121,1.0,0.0,1.0,1.0,1392,0,0.987768683285806,4.391448937554498,1460
1.0,26,676,10,100,1.0,0.0,0.0,1.0,6788,0,0.9905649550181119,4.653844495632808,672
1.0,21,441,11,121,0.0,1.0,0.0,1.0,17983,0,0.32768428819527023,-0.7186774305716962,15191
1.0,17,289,9,81,0.0,1.0,0.0,1.0,74,0,0.9905868807319385,4.656193193253699,6210
1.0,20,400,9,81,0.0,1.0,0.0,1.0,8015,0,0.9310852572055561,2.603480720105037,5487
1.0,27,729,8,64,1.0,0.0,0.0,1.0,7218,0,0.9932166361025986,4.986475674526582,7976
1.0,33,1089,11,121,1.0,0.0,0.0,1.0,7867,0,0.977228144764722,3.7591947864746214,6281
