treat,age,agesq,education*,educsq,black,hispanic,married,nodegree,re74,re75,u75,u74,educ_re74,propensity_score,propensity_logit,re78
1.0,18,324,11,121,1.0,0.0,0.0,1.0,858,214,0,0,9438,0.9533464859741568,3.017230159614179,929
1.0,29,841,14,196,1.0,0.0,0.0,0.0,0,679,0,1,0,0.843357009012897,1.6834210933306328,17814
1.0,25,625,8,64,1.0,0.0,0.0,1.0,0,0,1,1,0,0.992046871182181,4.826204942113411,0
1.0,35,1225,10,100,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9673677744397805,3.389278434086928,4666
1.0,20,400,9,81,1.0,0.0,0.0,1.0,6083,0,1,0,54747,0.9617606797656788,3.2249013343579946,8881
1.0,25,625,11,121,1.0,0.0,1.0,1.0,0,0,1,1,0,0.9750573042292631,3.665915218182595,1574
1.0,20,400,12,144,1.0,0.0,0.0,0.0,0,377,0,1,0,0.9421801432995466,2.7908642330067166,1652
1.0,21,441,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.952488506437864,2.9981063886963297,9983
1.0,27,729,12,144,1.0,0.0,0.0,0.0,2143,357,0,0,25716,0.936821329123302,2.696525822025973,22163
1.0,18,324,10,100,1.0,0.0,0.0,1.0,0,798,0,1,0,0.9682162360474943,3.4164998548057137,9737
1.0,41,1681,14,196,0.0,0.0,0.0,0.0,0,0,1,1,0,0.5001866827640504,0.0007467310909003424,5149
1.0,17,289,8,64,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9859428640225726,4.250468240092736,0
1.0,23,529,10,100,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9833446784909894,4.0782299225348675,7693
1.0,40,1600,11,121,1.0,0.0,0.0,1.0,0,0,1,1,0,0.8787118730471872,1.9802881249863842,23005
1.0,25,625,11,121,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9756490444282345,3.6905318441676105,9897
1.0,25,625,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9591677992260124,3.1565950279167505,3191
1.0,19,361,11,121,1.0,0.0,0.0,1.0,2305,2615,0,0,25355,0.8955916313233186,2.1491747084942348,4146
1.0,37,1369,9,81,1.0,0.0,0.0,1.0,0,0,1,1,0,0.96852547780775,3.4265963896951908,1067
1.0,28,784,11,121,1.0,0.0,0.0,1.0,1929,6871,0,0,21219,0.7560903306350765,1.1313629047801304,0
1.0,40,1600,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.8094362616134044,1.4463513087355273,10804
1.0,26,676,11,121,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9756298168163186,3.6897228440383696,17230
1.0,23,529,11,121,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9745095998284342,3.643632452504879,0
