,treat,age,agesq,education*,black,hispanic,married,nodegree,propensity_score,propensity_logit,re78
0,1.0,37,1369,11,1.0,0.0,1.0,1.0,0.8436371024353577,1.6855428565923802,9930
1,1.0,22,484,9,0.0,1.0,0.0,1.0,0.8381046843742247,1.6441930878532531,3595
2,1.0,30,900,12,1.0,0.0,0.0,0.0,0.9626138931575158,3.2483532291079507,24909
3,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9878130166043315,4.395124978010075,7506
4,1.0,33,1089,8,1.0,0.0,0.0,1.0,0.9906261763816805,4.660416161309045,289
5,1.0,22,484,9,1.0,0.0,0.0,1.0,0.9853131368221065,4.206006063190509,4056
6,1.0,23,529,12,1.0,0.0,0.0,0.0,0.9482569454490415,2.908335293471042,0
7,1.0,32,1024,11,1.0,0.0,0.0,1.0,0.9875197195510191,4.371046631179225,8472
8,1.0,22,484,16,1.0,0.0,0.0,0.0,0.9109379887577325,2.325141942880627,2164
9,1.0,33,1089,12,0.0,0.0,1.0,0.0,0.037746978646644516,-3.238371995401384,12418
10,1.0,19,361,9,1.0,0.0,0.0,1.0,0.976795840877295,3.7399461297460497,8173
11,1.0,21,441,13,1.0,0.0,0.0,0.0,0.9265702054899386,2.5351600447903655,17094
12,1.0,18,324,8,1.0,0.0,0.0,1.0,0.975031579136103,3.664857998372739,0
13,1.0,27,729,10,1.0,0.0,1.0,1.0,0.9084181491095908,2.2944716715718725,18739
14,1.0,17,289,7,1.0,0.0,0.0,1.0,0.9726676990383285,3.571973313608944,3023
15,1.0,19,361,10,1.0,0.0,0.0,1.0,0.9740195702440912,3.624087843190239,3228
16,1.0,27,729,13,1.0,0.0,0.0,0.0,0.9566259984753172,3.093552290479207,14581
17,1.0,23,529,10,1.0,0.0,0.0,1.0,0.9853694953011995,4.2099079810019,7693
18,1.0,40,1600,12,1.0,0.0,0.0,0.0,0.9021536183002011,2.2213860989698473,10804
19,1.0,26,676,12,1.0,0.0,0.0,0.0,0.9593335964165465,3.160836586229739,10747
20,1.0,23,529,11,1.0,0.0,0.0,1.0,0.9836018020452352,4.094049694446104,0
21,1.0,41,1681,14,0.0,0.0,0.0,0.0,0.086282430016379,-2.359895533877154,5149
22,1.0,38,1444,9,0.0,0.0,0.0,1.0,0.45948790947819534,-0.1624043768659626,6408
23,1.0,24,576,11,1.0,0.0,0.0,1.0,0.9851678271278328,4.196013345422817,1991
24,1.0,18,324,10,1.0,0.0,0.0,1.0,0.9687243852018322,3.4331414252611268,11163
25,1.0,29,841,11,1.0,0.0,1.0,1.0,0.9022405858267311,2.222371706455174,9642
26,1.0,25,625,11,1.0,0.0,0.0,1.0,0.9863487707581158,4.280180443009049,9897
27,1.0,27,729,10,0.0,1.0,0.0,1.0,0.8753561421135623,1.9491702892286171,11142
28,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9617421809998605,3.224398453941535,16218
29,1.0,24,576,11,1.0,0.0,0.0,1.0,0.9851678271278328,4.196013345422817,995
30,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9617421809998605,3.224398453941535,0
31,1.0,48,2304,4,1.0,0.0,0.0,1.0,0.8923701471521736,2.1151829576104775,6551
32,1.0,25,625,11,1.0,0.0,1.0,1.0,0.8873215106521097,2.063668850015041,1574
33,1.0,20,400,12,1.0,0.0,0.0,0.0,0.9238373624706238,2.4956650201980177,0
34,1.0,25,625,12,1.0,0.0,0.0,0.0,0.9566638966767995,3.0944660420339907,3191
35,1.0,42,1764,14,1.0,0.0,0.0,0.0,0.8278858636876311,1.5707174591448567,20505
36,1.0,25,625,5,1.0,0.0,0.0,1.0,0.9931411306039416,4.975330162343869,6181
37,1.0,23,529,12,1.0,0.0,1.0,0.0,0.6663724951361546,0.6918237004770357,5911
38,1.0,46,2116,8,1.0,0.0,1.0,1.0,0.5169307560464365,0.06774892579240266,3094
39,1.0,24,576,10,1.0,0.0,0.0,1.0,0.9867689768067651,4.311871631978621,0
40,1.0,21,441,12,1.0,0.0,0.0,0.0,0.9340737270786085,2.6510183313461706,1254
41,1.0,19,361,9,0.0,0.0,0.0,1.0,0.3991420520693441,-0.4090411733278938,13188
42,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9694129814815837,3.456115027053147,8061
43,1.0,18,324,8,0.0,1.0,1.0,1.0,0.24722517777728376,-1.1134665699585273,2787
44,1.0,20,400,11,1.0,0.0,0.0,1.0,0.9754306520740287,3.681379421173072,3972
45,1.0,25,625,11,1.0,0.0,1.0,1.0,0.8873215106521097,2.063668850015041,0
46,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9694129814815837,3.456115027053147,0
47,1.0,17,289,9,1.0,0.0,0.0,1.0,0.9657843273018194,3.340256740497339,0
48,1.0,25,625,5,1.0,0.0,0.0,1.0,0.9931411306039416,4.975330162343869,12187
49,1.0,23,529,12,1.0,0.0,0.0,0.0,0.9482569454490415,2.908335293471042,4843
50,1.0,28,784,8,1.0,0.0,0.0,1.0,0.9916198771823318,4.7734772750922865,0
51,1.0,31,961,11,1.0,0.0,1.0,1.0,0.8997945439801197,2.194943814332355,8087
52,1.0,18,324,11,1.0,0.0,0.0,1.0,0.9650169881892613,3.317283138705325,0
53,1.0,25,625,12,1.0,0.0,0.0,0.0,0.9566638966767995,3.0944660420339907,2348
54,1.0,30,900,11,1.0,0.0,1.0,1.0,0.9018150081498917,2.217556037089003,590
55,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9617421809998605,3.224398453941535,0
56,1.0,37,1369,9,1.0,0.0,0.0,1.0,0.9842303230587229,4.133771022697996,1067
57,1.0,41,1681,4,1.0,0.0,1.0,1.0,0.8582729510312109,1.8010191561800846,7284
58,1.0,42,1764,14,1.0,0.0,1.0,0.0,0.34393794454842636,-0.6457941338491474,13167
59,1.0,22,484,11,0.0,0.0,0.0,1.0,0.45643628503695644,-0.17469781299503842,1048
60,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9694129814815837,3.456115027053147,0
61,1.0,29,841,8,1.0,0.0,0.0,1.0,0.9917270614644422,4.7864581591165996,1923
62,1.0,35,1225,10,1.0,0.0,0.0,1.0,0.9860592366765564,4.2588992689507705,4666
63,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9878130166043315,4.395124978010075,549
64,1.0,29,841,4,1.0,0.0,0.0,1.0,0.9947793098381948,5.2498913053397995,762
65,1.0,28,784,9,1.0,0.0,0.0,1.0,0.9906001662826284,4.657618988536462,10694
66,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9878130166043315,4.395124978010075,0
67,1.0,23,529,7,0.0,0.0,0.0,1.0,0.600727082183372,0.40849553759537627,0
68,1.0,45,2025,5,1.0,0.0,1.0,1.0,0.6692697953542815,0.7048843090736711,8546
69,1.0,29,841,13,1.0,0.0,0.0,0.0,0.9584058026825569,3.1373106119183145,7479
70,1.0,27,729,9,1.0,0.0,0.0,1.0,0.9903092126233342,4.626841551121676,0
71,1.0,46,2116,13,1.0,0.0,0.0,0.0,0.6536479072434249,0.6351129715881265,647
72,1.0,18,324,6,1.0,0.0,0.0,1.0,0.9800929714174682,3.8965745714843534,0
73,1.0,25,625,12,1.0,0.0,0.0,0.0,0.9566638966767995,3.0944660420339907,11965
74,1.0,28,784,15,1.0,0.0,0.0,0.0,0.9474800684551985,2.892613154782393,9598
75,1.0,25,625,11,0.0,0.0,0.0,1.0,0.532751323121799,0.13119313993510318,18783
76,1.0,22,484,12,1.0,0.0,0.0,0.0,0.9420553119445839,2.7885750891038437,18678
77,1.0,21,441,9,1.0,0.0,0.0,1.0,0.9831837327357482,4.068449305432844,0
78,1.0,40,1600,11,1.0,0.0,0.0,1.0,0.967925708016758,3.4071004999449097,23005
79,1.0,22,484,11,1.0,0.0,0.0,1.0,0.9815540000879848,3.97428949007891,6456
