,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.9821291234104409,4.006550408280156
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.8053897826362422,1.4203276894509578
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.9518694738917493,2.9845113038956557
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.9818499455620052,3.9907649317070115
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.9861243816109473,4.263649267105407
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.9741456054060523,3.6290801945332314
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.9283559668703676,2.5617053714428066
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.9865172426633745,4.2927691691733365
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,2164,0.9321797933306072,2.6206655233644667
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.15350667770059534,-1.7073582439247523
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.9691677846216786,3.447877652053438
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.9220652408971548,2.4707439263100097
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.9663540164615958,3.3576365547064437
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.9668404165322695,3.3727016834937884
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,3023,0.9632931876485771,3.2673954573594473
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.9700470832292705,3.477717901907169
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.9444410688622119,2.833149011269593
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.9763237381045342,3.7193212918802208
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.9731041673235921,3.588519778828297
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.9395115635874887,2.742907913922598
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.9770037996658915,3.749161541733962
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.17920748564328098,-1.5217260822078142
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.4303853375476287,-0.2802791602003313
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.9783224549384457,3.8095623892272243
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9682413745655939,3.417317054413908
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.9713447179673375,3.523343628334048
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.9795670768664845,3.8699632367204853
