,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.9251946718131969,2.515115056496519
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.8376024943327196,1.6404965690860407
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.8802757664680092,1.9950441850644545
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.9806780821111244,3.927004159451523
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9858688867182026,4.24514438871638
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.9843127846533072,4.139097645628094
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.8802757664680092,1.9950441850644545
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9806780821111244,3.927004159451523
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.8279057763810611,1.5708572127113039
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.10849169751557196,-2.106241100739198
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9843127846533072,4.139097645628094
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.868641177271862,1.8889974419761677
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9858688867182026,4.24514438871638
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.9322111614955381,2.6211617995848036
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.987272626259042,4.351191131804668
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.982588352764448,4.033050902539808
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.868641177271862,1.8889974419761677
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.982588352764448,4.033050902539808
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.8802757664680092,1.9950441850644545
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.8802757664680092,1.9950441850644545
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9806780821111244,3.927004159451523
