,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.9251946709951792,2.5151150446770743
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.8376024935004919,1.6404965629678239
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.8802757654447635,1.9950441753553512
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.9806780821511174,3.92700416156213
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9858688868258203,4.245144396441196
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.9843127847436904,4.139097651481504
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.8802757654447635,1.9950441753553512
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9806780821511174,3.92700416156213
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.8279057739311979,1.570857195516603
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.1084916941044276,-2.106241136006985
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9843127847436904,4.139097651481504
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.8686411759504838,1.888997430395664
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9858688868258203,4.245144396441196
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.9322111608668863,2.6211617896367603
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.9872726263796221,4.351191141400879
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9825883528325742,4.03305090652182
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.8686411759504838,1.888997430395664
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9825883528325742,4.03305090652182
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.8802757654447635,1.9950441753553512
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.8802757654447635,1.9950441753553512
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9806780821511174,3.92700416156213
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.2877277463794658,-0.9064455090412962
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.8099524836755139,1.4497014570042355
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.9806780821511174,3.92700416156213
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.9466582343869935,2.876218515797516
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9825883528325742,4.03305090652182
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.9251946709951792,2.5151150446770743
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.9806780821511174,3.92700416156213
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.8226564430681572,1.534449818008137
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.9825883528325742,4.03305090652182
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.9806780821511174,3.92700416156213
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9825883528325742,4.03305090652182
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.9243849718824295,2.503473573054913
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.9907086015902365,4.669331376279952
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.9251946709951792,2.5151150446770743
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.8802757654447635,1.9950441753553512
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.8802757654447635,1.9950441753553512
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.8560608335125912,1.7829506854359765
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.9896798644947993,4.563284631320249
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.6417930616737355,0.5831550584702886
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.9444466447228754,2.833255279556133
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.9825883528325742,4.03305090652182
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.8802757654447635,1.9950441753553512
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.8099524836755139,1.4497014570042355
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.9858688868258203,4.245144396441196
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.582891380419348,0.33465419104244765
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.9806780821511174,3.92700416156213
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.9251946709951792,2.5151150446770743
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9858688868258203,4.245144396441196
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.9843127847436904,4.139097651481504
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.9896798644947993,4.563284631320249
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.8802757654447635,1.9950441753553512
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.9858688868258203,4.245144396441196
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.9251946709951792,2.5151150446770743
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.9806780821511174,3.92700416156213
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.8802757654447635,1.9950441753553512
56,1.0,30,11,1.0,0.0,1.0,1.0,0,590,0.9251946709951792,2.5151150446770743
57,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9825883528325742,4.03305090652182
58,1.0,37,9,1.0,0.0,0.0,1.0,0,1067,0.9843127847436904,4.139097651481504
59,1.0,41,4,1.0,0.0,1.0,1.0,0,7284,0.962939620853132,3.257442259394882
60,1.0,42,14,1.0,0.0,1.0,0.0,0,13167,0.5917154658941125,0.3710615685509149
61,1.0,22,11,0.0,0.0,0.0,1.0,0,1048,0.7751473718832347,1.237607967084862
