,treat,age,agesq,education*,black,hispanic,married,nodegree,propensity_score,propensity_logit,re78
0,1.0,37,1369,11,1.0,0.0,1.0,1.0,0.439370782532783,-0.24371609184879267,9930
1,1.0,22,484,9,0.0,1.0,0.0,1.0,0.9703499557353262,3.488193167191892,3595
2,1.0,30,900,12,1.0,0.0,0.0,0.0,0.8927051312800842,2.1186754995297927,24909
3,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9677722117223968,3.402167670739964,7506
4,1.0,33,1089,8,1.0,0.0,0.0,1.0,0.966989283992658,3.3773551774392034,289
5,1.0,22,484,9,1.0,0.0,0.0,1.0,0.9778866128858588,3.7892105486677403,4056
6,1.0,23,529,12,1.0,0.0,0.0,0.0,0.9176641019757041,2.4110242241073983,0
7,1.0,32,1024,11,1.0,0.0,0.0,1.0,0.9564551985019693,3.0894436212026544,8472
8,1.0,22,484,16,1.0,0.0,0.0,0.0,0.8732602616957381,1.9300979557028002,2164
9,1.0,33,1089,12,0.0,0.0,1.0,0.0,0.030984855098443898,-3.442781701285434,12418
10,1.0,19,361,9,1.0,0.0,0.0,1.0,0.9778997582520719,3.789818620822745,8173
11,1.0,21,441,13,1.0,0.0,0.0,0.0,0.9095756531714079,2.308464621093649,17094
12,1.0,18,324,8,1.0,0.0,0.0,1.0,0.9801580061882946,3.899913198123621,0
13,1.0,27,729,10,1.0,0.0,1.0,1.0,0.6634373809491809,0.6786502513757574,18739
14,1.0,17,289,7,1.0,0.0,0.0,1.0,0.9820681258647983,4.003080873292372,3023
15,1.0,19,361,10,1.0,0.0,0.0,1.0,0.9750611395806724,3.666072929975951,3228
16,1.0,27,729,13,1.0,0.0,0.0,0.0,0.8967647807302157,2.1617835320090077,14581
17,1.0,23,529,10,1.0,0.0,0.0,1.0,0.9747020473632926,3.651408362838359,7693
18,1.0,40,1600,12,1.0,0.0,0.0,0.0,0.7525479301733192,1.1122477831882818,10804
19,1.0,26,676,12,1.0,0.0,0.0,0.0,0.911112376193518,2.3272933263668905,10747
20,1.0,23,529,11,1.0,0.0,0.0,1.0,0.9714646904843584,3.527662671991561,0
21,1.0,41,1681,14,0.0,0.0,0.0,0.0,0.14691781027199793,-1.7589825799552337,5149
22,1.0,38,1444,9,0.0,0.0,0.0,1.0,0.5617038979442845,0.24808012500225515,6408
23,1.0,24,576,11,1.0,0.0,0.0,1.0,0.970877218511263,3.5066792748768503,1991
24,1.0,18,324,10,1.0,0.0,0.0,1.0,0.9747270250491157,3.6524218164300324,11163
25,1.0,29,841,11,1.0,0.0,1.0,1.0,0.6107808450500345,0.4505956471104123,9642
26,1.0,25,625,11,1.0,0.0,0.0,1.0,0.9700776078699715,3.478768975630012,9897
27,1.0,27,729,10,0.0,1.0,0.0,1.0,0.9617604828516476,3.224895980110916,11142
28,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9742151183093356,3.631843800751991,16218
29,1.0,24,576,11,1.0,0.0,0.0,1.0,0.970877218511263,3.5066792748768503,995
30,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9742151183093356,3.631843800751991,0
31,1.0,48,2304,4,1.0,0.0,0.0,1.0,0.8570776371303686,1.7912269404137906,6551
32,1.0,25,625,11,1.0,0.0,1.0,1.0,0.6528308341513007,0.631505865419009,1574
33,1.0,20,400,12,1.0,0.0,0.0,0.0,0.9192657979236718,2.4324130026587807,0
34,1.0,25,625,12,1.0,0.0,0.0,0.0,0.9138936090723841,2.362130527745851,3191
35,1.0,42,1764,14,1.0,0.0,0.0,0.0,0.6411474847085741,0.5803480326408857,20505
36,1.0,25,625,5,1.0,0.0,0.0,1.0,0.9855320119474552,4.221243120710788,6181
37,1.0,23,529,12,1.0,0.0,1.0,0.0,0.39263753140639446,-0.4362388861036051,5911
38,1.0,46,2116,8,1.0,0.0,1.0,1.0,0.23442567111538742,-1.183487738745089,3094
39,1.0,24,576,10,1.0,0.0,0.0,1.0,0.9741794531521114,3.6304249657236465,0
40,1.0,21,441,12,1.0,0.0,0.0,0.0,0.9192507537122434,2.4322103119404437,1254
41,1.0,19,361,9,0.0,0.0,0.0,1.0,0.7866451260711105,1.3048203727336596,13188
42,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9797538196072761,3.8793351824455815,8061
43,1.0,18,324,8,0.0,1.0,1.0,1.0,0.6795343536098841,0.7516327064367776,2787
44,1.0,20,400,11,1.0,0.0,0.0,1.0,0.9720516682972239,3.549051450542939,3972
45,1.0,25,625,11,1.0,0.0,1.0,1.0,0.6528308341513007,0.631505865419009,0
46,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9797538196072761,3.8793351824455815,0
47,1.0,17,289,9,1.0,0.0,0.0,1.0,0.9771477768742578,3.7555894915987866,0
48,1.0,25,625,5,1.0,0.0,0.0,1.0,0.9855320119474552,4.221243120710788,12187
49,1.0,23,529,12,1.0,0.0,0.0,0.0,0.9176641019757041,2.4110242241073983,4843
50,1.0,28,784,8,1.0,0.0,0.0,1.0,0.9764480685937951,3.72471373763714,0
51,1.0,31,961,11,1.0,0.0,1.0,1.0,0.5789779350877932,0.318579125163362,8087
52,1.0,18,324,11,1.0,0.0,0.0,1.0,0.9714927710580991,3.528676125583239,0
53,1.0,25,625,12,1.0,0.0,0.0,0.0,0.9138936090723841,2.362130527745851,2348
54,1.0,30,900,11,1.0,0.0,1.0,1.0,0.5958133901078343,0.38805083720295025,590
55,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9742151183093356,3.631843800751991,0
56,1.0,37,1369,9,1.0,0.0,0.0,1.0,0.9453723341882578,2.8510384000558013,1067
57,1.0,41,1681,4,1.0,0.0,1.0,1.0,0.5272485322742277,0.10910222342817337,7284
