,treat,age,education*,black,married,hispanic,married_u75,nodegree,re74,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,1.0,0.0,1.0,1.0,0,0,0.8684953193244913,1.887719750812902,9930
1,1.0,22,9,0.0,0.0,1.0,0.0,1.0,0,0,0.9329836740382396,2.633451441563905,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9465761554815916,2.8745942546446197,24909
3,1.0,27,11,1.0,0.0,0.0,0.0,1.0,0,0,0.989794012858461,4.5745223309111225,7506
4,1.0,33,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9731745861005545,3.5912137788069205,289
5,1.0,22,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9895056406784243,4.546367560213537,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9665137232994601,3.362559793341274,0
7,1.0,32,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9855993347951122,4.2259755175563525,8472
8,1.0,22,16,1.0,0.0,0.0,0.0,0.0,0,0,0.9850159616926621,4.185672324116888,2164
9,1.0,33,12,0.0,1.0,0.0,1.0,0.0,0,0,0.19985295522874813,-1.3872136444595768,12418
10,1.0,19,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9914691231038117,4.755495648226402,8173
11,1.0,21,13,1.0,0.0,0.0,0.0,0.0,0,0,0.9756442321774893,3.690329310709346,17094
12,1.0,18,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9904048327273829,4.63685421887119,0
13,1.0,27,10,1.0,1.0,0.0,1.0,1.0,0,0,0.9165571599238802,2.39646258549625,18739
14,1.0,17,7,1.0,0.0,0.0,0.0,1.0,0,0,0.989209209315653,4.518212789515976,3023
15,1.0,19,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9929233050396797,4.94384644025257,3228
16,1.0,27,13,1.0,0.0,0.0,0.0,0.0,0,0,0.963458229646967,3.2720731346836343,14581
17,1.0,23,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9906687292167158,4.665008989568758,7693
18,1.0,40,12,1.0,0.0,0.0,0.0,0.0,0,0,0.8982107864156783,2.1775006279351055,10804
19,1.0,26,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9590437278016892,3.153431705328426,10747
20,1.0,23,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9922582817701254,4.85335978159493,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0.0,0,0,0.6038473916674043,0.42152199161384857,5149
22,1.0,38,9,0.0,0.0,0.0,0.0,1.0,0,0,0.7970644175613898,1.368046899775686,6408
23,1.0,24,11,1.0,0.0,0.0,0.0,1.0,0,0,0.991703993534995,4.783650418923981,1991
24,1.0,18,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9933966688167996,5.01355580292351,11163
25,1.0,29,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9202240176815014,2.445394652180514,9642
26,1.0,25,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9911103751509904,4.71394105625302,9897
27,1.0,27,10,0.0,0.0,1.0,0.0,1.0,0,0,0.9222455279907502,2.473255420235313,11142
28,1.0,17,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9938385655299597,5.083265165594443,16218
29,1.0,24,11,1.0,0.0,0.0,0.0,1.0,0,0,0.991703993534995,4.783650418923981,995
30,1.0,17,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9938385655299597,5.083265165594443,0
31,1.0,48,4,1.0,0.0,0.0,0.0,1.0,0,0,0.8571931397353092,1.792170170637986,6551
32,1.0,25,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9384414725304387,2.724232102864317,1574
33,1.0,20,12,1.0,0.0,0.0,0.0,0.0,0,0,0.972660109727679,3.5716878813541304,0
34,1.0,25,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9616958896723825,3.2231410679993733,3191
35,1.0,42,14,1.0,0.0,0.0,0.0,0.0,0,0,0.9179476938355904,2.4147834866455353,20505
36,1.0,25,5,1.0,0.0,0.0,0.0,1.0,0,0,0.9729813173471294,3.5838363040960273,6181
37,1.0,23,12,1.0,1.0,0.0,1.0,0.0,0,0,0.7978403591857085,1.3728508399525734,5911
38,1.0,46,8,1.0,1.0,0.0,1.0,1.0,0,0,0.6671411487175027,0.6952831106958464,3094
39,1.0,24,10,1.0,0.0,0.0,0.0,1.0,0,0,0.990001779633182,4.595299626897803,0
40,1.0,21,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9707440116930413,3.501978518683176,1254
41,1.0,19,9,0.0,0.0,0.0,0.0,1.0,0,0,0.9365841052777889,2.692524790523759,13188
42,1.0,17,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9910451391122336,4.706563581542147,8061
43,1.0,18,8,0.0,1.0,1.0,1.0,1.0,0,0,0.6757326427783686,0.7342291468328398,2787
44,1.0,20,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9937100220435867,5.062487869607796,3972
45,1.0,25,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9384414725304387,2.724232102864317,0
46,1.0,17,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9910451391122336,4.706563581542147,0
47,1.0,17,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9925710522595669,4.894914373568297,0
48,1.0,25,5,1.0,0.0,0.0,0.0,1.0,0,0,0.9729813173471294,3.5838363040960273,12187
49,1.0,23,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9665137232994601,3.362559793341274,4843
50,1.0,28,8,1.0,0.0,0.0,0.0,1.0,0,0,0.980918322068268,3.9397605921616687,0
51,1.0,31,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9093707548341807,2.3059759268386095,8087
52,1.0,18,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9945240940607963,5.201906594949669,0
53,1.0,25,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9616958896723825,3.2231410679993733,2348
54,1.0,30,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9149542945457249,2.3756852895095615,590
55,1.0,17,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9938385655299597,5.083265165594443,0
56,1.0,37,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9707084509364666,3.5007271201492727,1067
57,1.0,41,4,1.0,1.0,0.0,1.0,1.0,0,0,0.5721006066412988,0.29042675594594003,7284
58,1.0,42,14,1.0,1.0,0.0,1.0,0.0,0,0,0.6046969011753321,0.42507453325683187,13167
59,1.0,22,11,0.0,0.0,0.0,0.0,1.0,0,0,0.9458383347810828,2.860098286563233,1048
60,1.0,17,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9910451391122336,4.706563581542147,0
61,1.0,29,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9795688380043125,3.8700512294907226,1923
62,1.0,35,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9787203895997374,3.8284966375173477,4666
63,1.0,27,11,1.0,0.0,0.0,0.0,1.0,0,0,0.989794012858461,4.5745223309111225,549
64,1.0,29,4,1.0,0.0,0.0,0.0,1.0,0,0,0.9575742616541462,3.1166480613860568,762
65,1.0,28,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9841422386758909,4.12811138418784,10694
66,1.0,27,11,1.0,0.0,0.0,0.0,1.0,0,0,0.989794012858461,4.5745223309111225,0
67,1.0,23,7,0.0,0.0,0.0,0.0,1.0,0,0,0.8846259820743269,2.0369857557876228,0
68,1.0,45,5,1.0,1.0,0.0,1.0,1.0,0,0,0.5498191703543251,0.19994009728830098,8546
69,1.0,29,13,1.0,0.0,0.0,0.0,0.0,0,0,0.9582197905701683,3.1326544093417357,7479
70,1.0,27,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9851942140563832,4.197820746858789,0
71,1.0,46,13,1.0,0.0,0.0,0.0,0.0,0,0,0.8751841908168168,1.9475952439355646,647
72,1.0,18,6,1.0,0.0,0.0,0.0,1.0,0,0,0.9860764554761193,4.26015263481886,0
73,1.0,25,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9616958896723825,3.2231410679993733,11965
74,1.0,28,15,1.0,0.0,0.0,0.0,0.0,0,0,0.9728556120280196,3.579065356065017,9598
75,1.0,25,11,0.0,0.0,0.0,0.0,1.0,0,0,0.9340707629991413,2.6509701985503815,18783
76,1.0,22,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9686979468595095,3.43226915601223,18678
77,1.0,21,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9902053586829099,4.616076922884496,0
78,1.0,40,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9751152527443272,3.668300616188754,23005
79,1.0,22,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9927758056472423,4.923069144265868,6456
80,1.0,25,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9616958896723825,3.2231410679993733,0
81,1.0,18,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9761331050885214,3.711106606696032,2321
82,1.0,38,12,0.0,0.0,0.0,0.0,0.0,0,0,0.5631481204237122,0.2539484955743713,4941
83,1.0,27,13,1.0,0.0,0.0,0.0,0.0,0,0,0.963458229646967,3.2720731346836343,0
84,1.0,27,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9821802937924665,4.009469954832621,0
85,1.0,38,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9782833337894798,3.8077193415306523,0
86,1.0,23,8,0.0,0.0,1.0,0.0,1.0,0,0,0.9149314145465105,2.3753912868667872,3881
87,1.0,26,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9904746885559056,4.644231693582079,17230
88,1.0,21,12,0.0,0.0,0.0,0.0,0.0,0,0,0.8083009350185567,1.43900766098054,8048
89,1.0,25,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9844632545387947,4.148888680174528,0
90,1.0,31,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9093707548341807,2.3059759268386095,14509
91,1.0,17,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9938385655299597,5.083265165594443,0
92,1.0,25,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9911103751509904,4.71394105625302,0
