,treat,age,education*,black,hispanic,married,nodegree,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,9930,0.788303678303701,1.3147305912632885
1,1.0,22,9,0.0,1.0,0.0,1.0,0,3595,0.9785730178539076,3.8214444305091417
2,1.0,30,12,1.0,0.0,0.0,0.0,0,24909,0.9314780382486941,2.609618309612339
3,1.0,27,11,1.0,0.0,0.0,1.0,0,7506,0.9871334058079387,4.340170838180314
4,1.0,33,8,1.0,0.0,0.0,1.0,0,289,0.9605728569306187,3.1930753429566883
5,1.0,22,9,1.0,0.0,0.0,1.0,0,4056,0.9842038432561535,4.132066366994749
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.954459776512222,3.0425495332506247
7,1.0,32,11,1.0,0.0,0.0,1.0,0,8472,0.9825521030362275,4.030934249867259
8,1.0,22,16,1.0,0.0,0.0,0.0,0,2164,0.9843124962765791,4.139078969910525
9,1.0,33,12,0.0,0.0,1.0,0.0,0,12418,0.1042547382098776,-2.150818756413966
10,1.0,19,9,1.0,0.0,0.0,1.0,0,8173,0.9868436660242192,4.317608319982583
11,1.0,21,13,1.0,0.0,0.0,0.0,0,17094,0.9684741729236618,3.4249146983251695
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9840274961896985,4.120785107895872
13,1.0,27,10,1.0,0.0,1.0,1.0,0,18739,0.842179284012528,1.6745332381400881
14,1.0,17,7,1.0,0.0,0.0,1.0,0,3023,0.980620351152615,3.923961895809161
15,1.0,19,10,1.0,0.0,0.0,1.0,0,3228,0.9898117416469321,4.576278849731903
16,1.0,27,13,1.0,0.0,0.0,0.0,0,14581,0.9549476249212796,3.053830792349495
17,1.0,23,10,1.0,0.0,0.0,1.0,0,7693,0.9869893318015037,4.328889579081456
18,1.0,40,12,1.0,0.0,0.0,0.0,0,10804,0.879864234374751,1.9911451329862186
19,1.0,26,12,1.0,0.0,0.0,0.0,0,10747,0.9456797851766825,2.857007580262788
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9899248806562712,4.587560108830779
21,1.0,41,14,0.0,0.0,0.0,0.0,0,5149,0.4945272752235419,-0.021891773366160074
22,1.0,38,9,0.0,0.0,0.0,1.0,0,6408,0.806196874927842,1.4254851498066825
23,1.0,24,11,1.0,0.0,0.0,1.0,0,1991,0.9892889739188953,4.525712791168166
24,1.0,33,11,1.0,0.0,0.0,1.0,7867,6281,0.9401650733932272,2.7544659224080728
25,1.0,18,10,1.0,0.0,0.0,1.0,0,11163,0.9904169126447275,4.6381261673945
26,1.0,29,11,1.0,0.0,1.0,1.0,0,9642,0.8593025380315108,1.809509132564185
27,1.0,25,11,1.0,0.0,0.0,1.0,0,9897,0.9886133926113573,4.4638654735055425
28,1.0,27,10,0.0,1.0,0.0,1.0,0,11142,0.973930580536401,3.6205770692249764
29,1.0,17,10,1.0,0.0,0.0,1.0,0,16218,0.9909864645110321,4.699973485057122
30,1.0,24,11,1.0,0.0,0.0,1.0,0,995,0.9892889739188953,4.525712791168166
31,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9909864645110321,4.699973485057122
32,1.0,26,11,1.0,0.0,1.0,1.0,2754,26372,0.8277620546073398,1.5698488151846908
33,1.0,48,4,1.0,0.0,0.0,1.0,0,6551,0.7739381731961447,1.2306834590202185
34,1.0,25,11,1.0,0.0,1.0,1.0,0,1574,0.8866428103290701,2.0568984032146336
35,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.9618778315453597,3.228091486238464
36,1.0,25,12,1.0,0.0,0.0,0.0,0,3191,0.9487706701206744,2.9188548979254025
37,1.0,42,14,1.0,0.0,0.0,0.0,0,20505,0.9156602076430155,2.3847915571596374
38,1.0,25,5,1.0,0.0,0.0,1.0,0,6181,0.9484287487151942,2.9118422950096163
39,1.0,23,12,1.0,0.0,1.0,0.0,0,5911,0.6537541888158199,0.6355824629597074
40,1.0,46,8,1.0,0.0,1.0,1.0,0,3094,0.4955234053827143,-0.01790685694818615
41,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.9861707317474078,4.267042261418842
42,1.0,21,12,1.0,0.0,0.0,0.0,0,1254,0.9595440372952451,3.166244168575852
43,1.0,19,9,0.0,0.0,0.0,1.0,0,13188,0.9308991673731516,2.6005841853963125
44,1.0,17,8,1.0,0.0,0.0,1.0,0,8061,0.9849710280429649,4.182632425558487
45,1.0,18,8,0.0,1.0,1.0,1.0,0,2787,0.8254182917305645,1.553497403839782
46,1.0,20,11,1.0,0.0,0.0,1.0,0,3972,0.9916167586236951,4.773102061818625
47,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.8866428103290701,2.0568984032146336
48,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9849710280429649,4.182632425558487
49,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.9883565871961183,4.441302955307799
50,1.0,25,5,1.0,0.0,0.0,1.0,0,12187,0.9484287487151942,2.9118422950096163
51,1.0,23,12,1.0,0.0,0.0,0.0,0,4843,0.954459776512222,3.0425495332506247
52,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.9707534791496338,3.5023119312697477
53,1.0,31,11,1.0,0.0,1.0,1.0,0,8087,0.8436729321703774,1.6858144972389615
54,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.9925849191977706,4.8967966971438415
55,1.0,25,12,1.0,0.0,0.0,0.0,0,2348,0.9487706701206744,2.9188548979254025
56,1.0,30,11,1.0,0.0,1.0,1.0,0,590,0.8516576457348195,1.7476618149015735
57,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9909864645110321,4.699973485057122
58,1.0,37,9,1.0,0.0,0.0,1.0,0,1067,0.9609978950954401,3.2043566020555603
59,1.0,41,4,1.0,0.0,1.0,1.0,0,7284,0.3222715042921427,-0.7433523876324135
60,1.0,42,14,1.0,0.0,1.0,0.0,0,13167,0.49445634889108403,-0.02217551313127799
61,1.0,22,11,0.0,0.0,0.0,1.0,0,1048,0.932879134244387,2.631780686466262
62,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9849710280429649,4.182632425558487
63,1.0,29,8,1.0,0.0,0.0,1.0,0,1923,0.968945499165387,3.4404646136071344
64,1.0,28,10,1.0,0.0,0.0,1.0,2836,3196,0.9729274805552878,3.5817903768389248
65,1.0,35,10,1.0,0.0,0.0,1.0,0,4666,0.9730570689065352,3.5867217671301117
66,1.0,27,11,1.0,0.0,0.0,1.0,0,549,0.9871334058079387,4.340170838180314
67,1.0,29,4,1.0,0.0,0.0,1.0,0,762,0.9172671861515045,2.4057824946098476
68,1.0,28,9,1.0,0.0,0.0,1.0,0,10694,0.9772678924982945,3.760982461019069
69,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.9871334058079387,4.340170838180314
70,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0.8943963853543749,2.136456460688077
71,1.0,45,5,1.0,0.0,1.0,1.0,0,8546,0.3247403971672803,-0.7320711285335402
72,1.0,29,13,1.0,0.0,0.0,0.0,0,7479,0.9493162266550322,2.9301361570242754
73,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0.978602046399274,3.822829778681679
74,1.0,46,13,1.0,0.0,0.0,0.0,0,647,0.8674653854993043,1.8787317567598676
75,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0.9734920262082801,3.6034440483972228
76,1.0,25,12,1.0,0.0,0.0,0.0,0,11965,0.9487706701206744,2.9188548979254025
77,1.0,28,15,1.0,0.0,0.0,0.0,0,9598,0.9709519191892273,3.5093245341855277
78,1.0,31,9,1.0,0.0,0.0,1.0,1698,10363,0.9648815515363643,3.313278759634818
79,1.0,25,11,0.0,0.0,0.0,1.0,0,18783,0.9202859612125462,2.446238733478427
80,1.0,22,12,1.0,0.0,0.0,0.0,0,18678,0.9570737469436825,3.1043968509132336
81,1.0,28,11,1.0,0.0,0.0,1.0,1284,60307,0.9833749692900777,4.080081067666718
82,1.0,21,9,1.0,0.0,0.0,1.0,0,0,0.9851371152332457,4.193913684657351
