,treat,age,agesq,education*,black,hispanic,married,nodegree,propensity_score,propensity_logit,re78
0,1.0,37,1369,11,1.0,0.0,1.0,1.0,0.4002607263140053,-0.40437886636457676,9930
1,1.0,22,484,9,0.0,1.0,0.0,1.0,0.9761656760597821,3.7125055979751105,3595
2,1.0,30,900,12,1.0,0.0,0.0,0.0,0.8575662468146008,1.7952214301296328,24909
3,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9654942528626169,3.331514255496214,7506
4,1.0,33,1089,8,1.0,0.0,0.0,1.0,0.9583668148984994,3.1363330331936705,289
5,1.0,22,484,9,1.0,0.0,0.0,1.0,0.9772049318890329,3.7581521846912467,4056
6,1.0,23,529,12,1.0,0.0,0.0,0.0,0.9011432035546147,2.2099918810503114,0
7,1.0,32,1024,11,1.0,0.0,0.0,1.0,0.950130533640157,2.947190460111274,8472
8,1.0,22,484,16,1.0,0.0,0.0,0.0,0.8661807341726236,1.8676034596861852,2164
9,1.0,33,1089,12,0.0,0.0,1.0,0.0,0.025947326268930603,-3.6253968116353437,12418
10,1.0,19,361,9,1.0,0.0,0.0,1.0,0.9787566663805131,3.8302399242701903,8173
11,1.0,21,441,13,1.0,0.0,0.0,0.0,0.8985414492234569,2.181122488394405,17094
12,1.0,18,324,8,1.0,0.0,0.0,1.0,0.980867851765037,3.937067669010668,0
13,1.0,27,729,10,1.0,0.0,1.0,1.0,0.6469304570137853,0.6055737602714945,18739
14,1.0,17,289,7,1.0,0.0,0.0,1.0,0.982673244674872,4.038024801245512,3023
15,1.0,19,361,10,1.0,0.0,0.0,1.0,0.9766994087439114,3.735700201044758,3228
16,1.0,27,729,13,1.0,0.0,0.0,0.0,0.8714302363213972,1.913664146618281,14581
17,1.0,23,529,10,1.0,0.0,0.0,1.0,0.9741144017377761,3.627841989928247,7693
18,1.0,40,1600,12,1.0,0.0,0.0,0.0,0.6690054178810809,0.7036901515500743,10804
19,1.0,26,676,12,1.0,0.0,0.0,0.0,0.8876996815015467,2.0674567914038025,10747
20,1.0,23,529,11,1.0,0.0,0.0,1.0,0.9716206109611666,3.5333022667028198,0
21,1.0,41,1681,14,0.0,0.0,0.0,0.0,0.12334255179958319,-1.9611508625897849,5149
22,1.0,38,1444,9,0.0,0.0,0.0,1.0,0.5366916904017438,0.14703106836430513,6408
23,1.0,24,576,11,1.0,0.0,0.0,1.0,0.9704495711373397,3.4916611826596133,1991
24,1.0,33,1089,11,1.0,0.0,0.0,1.0,0.945458796419846,2.852713863517392,6281
25,1.0,18,324,10,1.0,0.0,0.0,1.0,0.9769774235047655,3.7479882225598145,11163
26,1.0,29,841,11,1.0,0.0,1.0,1.0,0.5926464071555894,0.3749163564089837,9642
27,1.0,25,625,11,1.0,0.0,0.0,1.0,0.9690561860242095,3.4441494861107795,9897
28,1.0,27,729,10,0.0,1.0,0.0,1.0,0.9670865750107598,3.3804073920055138,11142
29,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9771213263427675,3.7544056315692367,16218
30,1.0,24,576,11,1.0,0.0,0.0,1.0,0.9704495711373397,3.4916611826596133,995
31,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9771213263427675,3.7544056315692367,0
32,1.0,26,676,11,1.0,0.0,1.0,1.0,0.6388293867126899,0.5702869586061654,26372
33,1.0,48,2304,4,1.0,0.0,0.0,1.0,0.8010499436298971,1.3928694765115166,6551
34,1.0,25,625,11,1.0,0.0,1.0,1.0,0.6510526055560328,0.6236692676606324,1574
35,1.0,20,400,12,1.0,0.0,0.0,0.0,0.9088514824585109,2.2996914581461456,0
36,1.0,25,625,12,1.0,0.0,0.0,0.0,0.8929121907648222,2.120839100458269,3191
37,1.0,42,1764,14,1.0,0.0,0.0,0.0,0.5562254660059347,0.22585709931574524,20505
38,1.0,25,625,5,1.0,0.0,0.0,1.0,0.9822138296564239,4.011387825463329,6181
39,1.0,23,529,12,1.0,0.0,1.0,0.0,0.35194780960604055,-0.6104883373998343,5911
40,1.0,46,2116,8,1.0,0.0,1.0,1.0,0.19053021145407825,-1.4465686789892866,3094
41,1.0,24,576,10,1.0,0.0,0.0,1.0,0.9730434101171177,3.586200905885037,0
42,1.0,21,441,12,1.0,0.0,0.0,0.0,0.9068412357682498,2.2756622116198306,1254
43,1.0,19,361,9,0.0,0.0,0.0,1.0,0.8169651480856304,1.4959198532201046,13188
44,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9809879106580419,3.9434850780200934,8061
45,1.0,18,324,8,0.0,1.0,1.0,1.0,0.74477580093418,1.0709408638443898,2787
46,1.0,20,400,11,1.0,0.0,0.0,1.0,0.973992074392269,3.623001843798656,3972
47,1.0,25,625,11,1.0,0.0,1.0,1.0,0.6510526055560328,0.6236692676606324,0
48,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9809879106580419,3.9434850780200934,0
49,1.0,17,289,9,1.0,0.0,0.0,1.0,0.9791421275310191,3.8489453547946684,0
50,1.0,25,625,5,1.0,0.0,0.0,1.0,0.9822138296564239,4.011387825463329,12187
51,1.0,23,529,12,1.0,0.0,0.0,0.0,0.9011432035546147,2.2099918810503114,4843
52,1.0,28,784,8,1.0,0.0,0.0,1.0,0.9720776946880313,3.550009891106762,0
53,1.0,31,961,11,1.0,0.0,1.0,1.0,0.5536220516613292,0.2153162257493765,8087
54,1.0,18,324,11,1.0,0.0,0.0,1.0,0.974752304291011,3.65344849933439,0
55,1.0,25,625,12,1.0,0.0,0.0,0.0,0.8929121907648222,2.120839100458269,2348
56,1.0,30,900,11,1.0,0.0,1.0,1.0,0.5739661446407236,0.29805159733199516,590
57,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9771213263427675,3.7544056315692367,0
58,1.0,37,1369,9,1.0,0.0,0.0,1.0,0.9311942636750994,2.6051807985364195,1067
59,1.0,41,1681,4,1.0,0.0,1.0,1.0,0.43213562813127376,-0.27314311530851093,7284
60,1.0,42,1764,14,1.0,0.0,1.0,0.0,0.06948526995859991,-2.5946231191344005,13167
61,1.0,22,484,11,0.0,0.0,0.0,1.0,0.7746493195155006,1.2347526671903108,1048
62,1.0,17,289,8,1.0,0.0,0.0,1.0,0.9809879106580419,3.9434850780200934,0
63,1.0,29,841,8,1.0,0.0,0.0,1.0,0.9700847700106472,3.4790157445354075,1923
64,1.0,28,784,10,1.0,0.0,0.0,1.0,0.9664609494148185,3.360930444655909,3196
65,1.0,35,1225,10,1.0,0.0,0.0,1.0,0.9393853153039213,2.740688556038166,4666
66,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9654942528626169,3.331514255496214,549
67,1.0,29,841,4,1.0,0.0,0.0,1.0,0.9793095316838921,3.857174637437107,762
68,1.0,28,784,9,1.0,0.0,0.0,1.0,0.9693938546811571,3.455470167881339,10694
69,1.0,27,729,11,1.0,0.0,0.0,1.0,0.9654942528626169,3.331514255496214,0
70,1.0,23,529,7,0.0,0.0,0.0,1.0,0.8287992452482922,1.5771410885544377,0
71,1.0,45,2025,5,1.0,0.0,1.0,1.0,0.27048664483729434,-0.9921549501459346,8546
72,1.0,29,841,13,1.0,0.0,0.0,0.0,0.8553936396900211,1.7775464659811955,7479
73,1.0,27,729,9,1.0,0.0,0.0,1.0,0.9712680767937945,3.5205937019470617,0
74,1.0,46,2116,13,1.0,0.0,0.0,0.0,0.4188349812427129,-0.32755773909335045,647
75,1.0,18,324,6,1.0,0.0,0.0,1.0,0.9841115545528587,4.126147115461514,0
76,1.0,25,625,12,1.0,0.0,0.0,0.0,0.8929121907648222,2.120839100458269,11965
77,1.0,28,784,15,1.0,0.0,0.0,0.0,0.8401656577554787,1.6594611661017031,9598
78,1.0,31,961,9,1.0,0.0,0.0,1.0,0.9617597440095508,3.2248758906503703,10363
79,1.0,25,625,11,0.0,0.0,0.0,1.0,0.7520973077661238,1.1098294150606949,18783
80,1.0,22,484,12,1.0,0.0,0.0,0.0,0.9042843770182561,2.245762352587886,18678
81,1.0,28,784,11,1.0,0.0,0.0,1.0,0.9632576442245638,3.2663907214304864,60307
82,1.0,21,441,9,1.0,0.0,0.0,1.0,0.9778615470541601,3.7880520437231904,0
83,1.0,40,1600,11,1.0,0.0,0.0,1.0,0.883602941605586,2.0270005372025817,23005
84,1.0,22,484,11,1.0,0.0,0.0,1.0,0.9725904807149625,3.56907273824039,6456
85,1.0,25,625,12,1.0,0.0,0.0,0.0,0.8929121907648222,2.120839100458269,0
86,1.0,27,729,9,1.0,0.0,1.0,1.0,0.6682129324400901,0.7001134834969197,1773
87,1.0,23,529,10,1.0,0.0,1.0,1.0,0.6915470290433725,0.8073617714780984,11233
88,1.0,29,841,10,1.0,0.0,0.0,1.0,0.9640819483160087,3.2899362980845526,0
89,1.0,18,324,12,1.0,0.0,0.0,0.0,0.9113424965988255,2.3301381136818806,2321
90,1.0,38,1444,12,0.0,0.0,0.0,0.0,0.2033707430212889,-1.3653587637390538,4941
91,1.0,27,729,13,1.0,0.0,0.0,0.0,0.8714302363213972,1.913664146618281,0
92,1.0,27,729,8,1.0,0.0,0.0,1.0,0.9737920103199195,3.615133425172489,0
93,1.0,38,1444,11,1.0,0.0,0.0,1.0,0.908234958210023,2.2922716929635376,0
94,1.0,23,529,8,0.0,1.0,0.0,1.0,0.9774954219201661,3.7712748496629667,3881
95,1.0,26,676,11,1.0,0.0,0.0,1.0,0.9674147374450405,3.3907671770563073,17230
96,1.0,42,1764,9,1.0,0.0,1.0,1.0,0.2904594144864342,-0.8931538405801908,1294
97,1.0,21,441,12,0.0,0.0,0.0,0.0,0.48533973841923667,-0.05865785943025231,8048
98,1.0,25,625,8,1.0,0.0,0.0,1.0,0.9765182211111169,3.727768655787058,0
99,1.0,31,961,11,1.0,0.0,1.0,1.0,0.5536220516613292,0.2153162257493765,14509
100,1.0,17,289,10,1.0,0.0,0.0,1.0,0.9771213263427675,3.7544056315692367,0
101,1.0,19,361,8,1.0,0.0,0.0,1.0,0.9806358856631314,3.924779647495609,9970
102,1.0,29,841,14,1.0,0.0,0.0,0.0,0.8433022630426855,1.6830067427557704,17814
103,1.0,25,625,11,1.0,0.0,0.0,1.0,0.9690561860242095,3.4441494861107795,0
104,1.0,21,441,12,1.0,0.0,0.0,0.0,0.9068412357682498,2.2756622116198306,9983
105,1.0,44,1936,11,1.0,0.0,0.0,1.0,0.8062790029315992,1.4260108756131036,0
106,1.0,19,361,10,1.0,0.0,0.0,1.0,0.9766994087439114,3.735700201044758,8124
107,1.0,25,625,12,0.0,0.0,0.0,0.0,0.4468315296837776,-0.21348097059181356,5587
108,1.0,18,324,10,1.0,0.0,0.0,1.0,0.9769774235047655,3.7479882225598145,9737
109,1.0,18,324,9,1.0,0.0,0.0,1.0,0.9790106621462334,3.842527945785242,4482
110,1.0,19,361,9,1.0,0.0,0.0,1.0,0.9787566663805131,3.8302399242701903,17685
111,1.0,18,324,9,1.0,0.0,0.0,1.0,0.9790106621462334,3.842527945785242,5010
112,1.0,26,676,11,1.0,0.0,1.0,1.0,0.6388293867126899,0.5702869586061654,1460
113,1.0,42,1764,12,1.0,0.0,0.0,0.0,0.6022709771191355,0.4149365457665963,2456
114,1.0,25,625,10,1.0,0.0,0.0,1.0,0.9717687737340321,3.5386892093362023,0
115,1.0,31,961,9,0.0,1.0,0.0,1.0,0.9600451137866896,3.179229303934245,26817
116,1.0,24,576,10,1.0,0.0,0.0,1.0,0.9730434101171177,3.586200905885037,0
117,1.0,26,676,10,1.0,0.0,0.0,1.0,0.9702668023558355,3.485306900281735,9265
118,1.0,20,400,12,1.0,0.0,0.0,0.0,0.9088514824585109,2.2996914581461456,1652
