treat,age,black,hispanic,married,nodegree,re74,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,u74,educ_re74,hisp_u74,black_u74,married_u74,married_re74,nodegree_u74,nodegree_re74,agesq,educsq,ageboxcox,lnre78,lnre75,lnre74,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16
0,23,1,0,0,1,0,0,0,10,1,0,0,1,0,0,1,10,23,10,0,1,0,0,1,0,0,1,0,529,100,0.9549026515456931,-inf,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
0,26,0,0,0,0,0,0,12383,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,676,144,0.9598877816879293,9.424079843215099,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
0,22,1,0,0,1,0,0,0,9,1,0,0,1,0,0,1,9,22,9,0,1,0,0,1,0,0,1,0,484,81,0.9529384923193408,-inf,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,18,1,0,0,1,0,0,10740,9,1,0,0,1,0,0,1,9,18,9,0,1,0,0,1,0,0,1,0,324,81,0.9428969602292465,9.281730368062856,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,45,1,0,0,1,0,0,11796,11,1,0,0,1,0,0,1,11,45,11,0,1,0,0,1,0,0,1,0,2025,121,0.9760148868153693,9.375515769935166,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
0,18,1,0,0,1,0,0,9227,9,1,0,0,1,0,0,1,9,18,9,0,1,0,0,1,0,0,1,0,324,81,0.9428969602292465,9.129889247578555,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,24,0,0,0,1,0,0,10569,8,1,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,1,0,576,64,0.9567029759406541,9.265680467009346,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
0,34,1,0,1,1,0,0,6040,11,1,0,0,1,1,0,1,11,34,11,0,1,0,0,1,1,0,1,0,1156,121,0.9688771760228692,8.706159290928861,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
0,24,0,1,0,1,0,0,3880,4,1,0,1,0,0,0,1,4,0,0,1,1,0,1,0,0,0,1,0,576,16,0.9567029759406541,8.263590432617319,-inf,-inf,1,0,0,0,0,0,0,0,0,0,0,0,0
0,36,1,0,0,1,0,0,0,10,1,0,0,1,0,0,1,10,36,10,0,1,0,0,1,0,0,1,0,1296,100,0.9704997207458745,-inf,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
0,21,1,0,0,0,0,0,5775,14,1,0,0,1,0,0,0,0,21,14,0,1,0,0,1,0,0,0,0,441,196,0.950787076792791,8.661293535389994,-inf,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0
0,28,1,0,0,1,0,0,0,9,1,0,0,1,0,0,1,9,28,9,0,1,0,0,1,0,0,1,0,784,81,0.9626171988577635,-inf,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,27,1,0,1,1,0,0,0,7,1,0,0,1,1,0,1,7,27,7,0,1,0,0,1,1,0,1,0,729,49,0.9613030849621761,-inf,-inf,-inf,0,0,0,1,0,0,0,0,0,0,0,0,0
0,19,0,0,0,1,0,0,0,11,1,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,1,0,361,121,0.9458041228797351,-inf,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
0,20,1,0,0,1,0,0,0,8,1,0,0,1,0,0,1,8,20,8,0,1,0,0,1,0,0,1,0,400,64,0.9484202966655324,-inf,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
0,34,1,0,0,0,0,0,2113,12,1,0,0,1,0,0,0,0,34,12,0,1,0,0,1,0,0,0,0,1156,144,0.9688771760228692,7.655864017616056,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
0,24,1,0,0,1,0,0,7618,10,1,0,0,1,0,0,1,10,24,10,0,1,0,0,1,0,0,1,0,576,100,0.9567029759406541,8.938269147038548,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
0,22,0,1,0,1,0,0,9920,8,1,0,1,0,0,0,1,8,0,0,1,1,0,1,0,0,0,1,0,484,64,0.9529384923193408,9.20230820027892,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
0,25,1,0,0,1,0,0,4196,11,1,0,0,1,0,0,1,11,25,11,0,1,0,0,1,0,0,1,0,625,121,0.9583591378395542,8.341886969516187,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
0,39,1,0,0,1,0,0,0,9,1,0,0,1,0,0,1,9,39,9,0,1,0,0,1,0,0,1,0,1521,81,0.9726212233655854,-inf,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,19,1,0,1,1,0,0,16658,9,1,0,0,1,1,0,1,9,19,9,0,1,0,0,1,1,0,1,0,361,81,0.9458041228797351,9.720645860495285,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,44,1,0,0,1,0,0,9722,9,1,0,0,1,0,0,1,9,44,9,0,1,0,0,1,0,0,1,0,1936,81,0.9755136115933472,9.1821466376054,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
0,27,1,0,0,1,0,0,3783,8,1,0,0,1,0,0,1,8,27,8,0,1,0,0,1,0,0,1,0,729,64,0.9613030849621761,8.23827262463303,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
0,25,1,0,0,1,0,0,3515,8,1,0,0,1,0,0,1,8,25,8,0,1,0,0,1,0,0,1,0,625,64,0.9583591378395542,8.164794804244766,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
0,31,1,0,0,1,0,0,17014,10,1,0,0,1,0,0,1,10,31,10,0,1,0,0,1,0,0,1,0,961,100,0.9660503875578612,9.74179181353583,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
0,34,1,0,1,1,0,0,0,10,1,0,0,1,1,0,1,10,34,10,0,1,0,0,1,1,0,1,0,1156,100,0.9688771760228692,-inf,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
