treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,educsq,ageboxcox,lnre78,lnre75,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16
1,37,1,0,1,1,0,9930,11,1,0,0,1,1,0,1,11,37,11,0,1369,121,0.771270555358959,9.203315757039219,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,0,1,0,1,0,3595,9,1,0,1,0,0,0,1,9,0,0,1,484,81,0.7641038566896158,8.187299270155147,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,30,1,0,0,0,0,24909,12,1,0,0,1,0,0,0,0,30,12,0,900,144,0.7689378349730367,10.122984462930141,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,1,0,0,1,0,7506,11,1,0,0,1,0,0,1,11,27,11,0,729,121,0.7675064085921748,8.923457979694966,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,33,1,0,0,1,0,289,8,1,0,0,1,0,0,1,8,33,8,0,1089,64,0.7700760388896652,5.666426688112432,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,22,1,0,0,1,0,4056,9,1,0,0,1,0,0,1,9,22,9,0,484,81,0.7641038566896158,8.30795254527102,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,1,0,0,0,0,0,12,1,0,0,1,0,0,0,0,23,12,0,529,144,0.7649202325815845,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,32,1,0,0,1,0,8472,11,1,0,0,1,0,0,1,11,32,11,0,1024,121,0.7697236723994276,9.044521887281242,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,1,0,0,0,0,2164,16,1,0,0,1,0,0,0,0,22,16,0,484,256,0.7641038566896158,7.679713639966372,-inf,0,0,0,0,0,0,0,0,0,0,0,0,1
1,33,0,0,1,0,0,12418,12,1,0,0,0,1,0,0,0,0,0,0,1089,144,0.7700760388896652,9.426902311924838,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,19,1,0,0,1,0,8173,9,1,0,0,1,0,0,1,9,19,9,0,361,81,0.7610559845010243,9.00859131751613,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,21,1,0,0,0,0,17094,13,1,0,0,1,0,0,0,0,21,13,0,441,169,0.7631981010781591,9.746482803725963,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,18,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,18,8,0,324,64,0.7597790079157395,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,27,1,0,1,1,0,18739,10,1,0,0,1,1,0,1,10,27,10,0,729,100,0.7675064085921748,9.838362192575666,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,17,1,0,0,1,0,3023,7,1,0,0,1,0,0,1,7,17,7,0,289,49,0.7583290653802051,8.014004994779459,-inf,0,0,0,1,0,0,0,0,0,0,0,0,0
1,19,1,0,0,1,0,3228,10,1,0,0,1,0,0,1,10,19,10,0,361,100,0.7610559845010243,8.07961802938984,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,27,1,0,0,0,0,14581,13,1,0,0,1,0,0,0,0,27,13,0,729,169,0.7675064085921748,9.587474590316285,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,23,1,0,0,1,0,7693,10,1,0,0,1,0,0,1,10,23,10,0,529,100,0.7649202325815845,8.948066103458935,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,40,1,0,0,0,0,10804,12,1,0,0,1,0,0,0,0,40,12,0,1600,144,0.771989609780023,9.287671714912506,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,26,1,0,0,0,0,10747,12,1,0,0,1,0,0,0,0,26,12,0,676,144,0.7669447053037863,9.282381924841154,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,23,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,23,11,0,529,121,0.7649202325815845,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,41,0,0,0,0,0,5149,14,1,0,0,0,0,0,0,0,0,0,0,1681,196,0.7722027491359185,8.546557800046141,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0
