treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,educsq,ageboxcox,lnre78,lnre75,education_1,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17,education_18
1.0,37,1.0,0.0,1.0,1.0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1369,121,4.935568135070046,9.203315757039219,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,484,81,4.031805260868567,8.187299270155147,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,900,144,4.561636201904492,10.122984462930141,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,121,4.378603334624191,8.923457979694966,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1089,64,4.729971912479329,5.666426688112432,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,484,81,4.031805260868567,8.30795254527102,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,529,144,4.106087574170275,-inf,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1024,121,4.67533385715455,9.044521887281242,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,0.0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,484,256,4.031805260868567,7.679713639966372,-inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,33,0.0,0.0,1.0,0.0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1089,144,4.729971912479329,9.426902311924838,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
