treat,age,black,hispanic,married,nodegree,re74,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,u74,educ_re74,hisp_u74,black_u74,married_u74,married_re74,nodegree_u74,nodegree_re74,agesq,educsq,ageboxcox,lnre78,lnre75,lnre74,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17
1.0,37,1.0,0.0,1.0,1.0,0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,1369,121,3.2767044410997412,9.203315757039219,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,484,81,2.8438752934370206,8.187299270155147,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,900,144,3.103578458323443,10.122984462930141,-inf,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,729,121,3.0158501920602214,8.923457979694966,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1089,64,3.18250399159683,5.666426688112432,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,484,81,2.8438752934370206,8.30795254527102,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,529,144,2.8813672520662377,-inf,-inf,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1024,121,3.157067208030971,9.044521887281242,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,0.0,0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,484,256,2.8438752934370206,7.679713639966372,-inf,-inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,33,0.0,0.0,1.0,0.0,0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1089,144,3.18250399159683,9.426902311924838,-inf,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,0,8173,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,19.0,9.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,361,81,2.719577455217427,9.00859131751613,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,0,17094,13,1,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,441,169,2.804541172060041,9.746482803725963,-inf,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,18.0,8.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,324,64,2.6734843812998137,-inf,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
