treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,educsq,ageboxcox,lnre78,lnre75,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17
1.0,37,1.0,0.0,1.0,1.0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1369,121,3.0656274830995436,9.203315757039219,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,484,81,2.6852857884380423,8.187299270155147,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,900,144,2.914411802019027,10.122984462930141,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,121,2.8373194164728255,8.923457979694966,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1089,64,2.9835005611354375,5.666426688112432,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,484,81,2.6852857884380423,8.30795254527102,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,529,144,2.7185327881881753,-inf,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1024,121,2.9612618143079734,9.044521887281242,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,0.0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,484,256,2.6852857884380423,7.679713639966372,-inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,33,0.0,0.0,1.0,0.0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1089,144,2.9835005611354375,9.426902311924838,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,8173,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,19.0,9.0,0.0,361,81,2.5746536781438683,9.00859131751613,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,17094,13,1,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,441,169,2.6503439093087704,9.746482803725963,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,18.0,8.0,0.0,324,64,2.5334692314452525,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,1.0,1.0,0,18739,10,1,0,0.0,1.0,1.0,0.0,1.0,10.0,27.0,10.0,0.0,729,100,2.8373194164728255,9.838362192575666,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,3023,7,1,0,0.0,1.0,0.0,0.0,1.0,7.0,17.0,7.0,0.0,289,49,2.489703659218868,8.014004994779459,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,3228,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,19.0,10.0,0.0,361,100,2.5746536781438683,8.07961802938984,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,0.0,0,14581,13,1,0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,13.0,0.0,729,169,2.8373194164728255,9.587474590316285,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,7693,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,23.0,10.0,0.0,529,100,2.7185327881881753,8.948066103458935,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,40,1.0,0.0,0.0,0.0,0,10804,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,12.0,0.0,1600,144,3.12109037130695,9.287671714912506,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,26,1.0,0.0,0.0,0.0,0,10747,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,12.0,0.0,676,144,2.8095199364738797,9.282381924841154,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,23.0,11.0,0.0,529,121,2.7185327881881753,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,41,0.0,0.0,0.0,0.0,0,5149,14,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681,196,3.1385730784775028,8.546557800046141,-inf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,38,0.0,0.0,0.0,1.0,0,6408,9,1,0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1444,81,3.0846450426912884,8.765302488748196,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,1991,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,24.0,11.0,0.0,576,121,2.7502356495289546,7.596392304064196,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,7867,6281,11,0,86537,0.0,0.0,0.0,7867.0,0.0,11.0,33.0,11.0,0.0,1089,121,2.9835005611354375,8.74528448245438,8.970432074329242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,11163,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,18.0,10.0,0.0,324,100,2.5334692314452525,9.320360017014732,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,29,1.0,0.0,1.0,1.0,0,9642,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,29.0,11.0,0.0,841,121,2.889688641163886,9.173883834965567,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,9897,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,25.0,11.0,0.0,625,121,2.780526107090586,9.199986959896691,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,0.0,1.0,0.0,1.0,0,11142,10,1,0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,729,100,2.8373194164728255,9.31847703058076,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,16218,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,17.0,10.0,0.0,289,100,2.489703659218868,9.693877015504503,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,995,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,24.0,11.0,0.0,576,121,2.7502356495289546,6.902742737158593,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,17.0,10.0,0.0,289,100,2.489703659218868,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,26,1.0,0.0,1.0,1.0,2754,26372,11,0,30294,0.0,0.0,0.0,2754.0,0.0,11.0,26.0,11.0,0.0,676,121,2.8095199364738797,10.18005812023319,7.9208096792886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,48,1.0,0.0,0.0,1.0,0,6551,4,1,0,0.0,1.0,0.0,0.0,1.0,4.0,48.0,4.0,0.0,2304,16,3.24923239012838,8.787372988731876,-inf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,25,1.0,0.0,1.0,1.0,0,1574,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,25.0,11.0,0.0,625,121,2.780526107090586,7.3613754289773485,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,20,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,400,144,2.613533596593013,-inf,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,25,1.0,0.0,0.0,0.0,0,3191,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,12.0,0.0,625,144,2.780526107090586,8.068089626278244,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,42,1.0,0.0,0.0,0.0,0,20505,14,1,0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,1764,196,3.1555956891389783,9.92842403782616,-inf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,6181,5,1,0,0.0,1.0,0.0,0.0,1.0,5.0,25.0,5.0,0.0,625,25,2.780526107090586,8.729235349659273,-inf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,1.0,0.0,0,5911,12,1,0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,12.0,0.0,529,144,2.7185327881881753,8.684570300824369,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,46,1.0,0.0,1.0,1.0,0,3094,8,1,0,0.0,1.0,1.0,0.0,1.0,8.0,46.0,8.0,0.0,2116,64,3.2195147043484384,8.037220031133012,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,24.0,10.0,0.0,576,100,2.7502356495289546,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,1254,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,12.0,0.0,441,144,2.6503439093087704,7.134093721192866,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,19,0.0,0.0,0.0,1.0,0,13188,9,1,0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,361,81,2.5746536781438683,9.487062604191621,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,8061,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,17.0,8.0,0.0,289,64,2.489703659218868,8.9947928972836,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,18,0.0,1.0,1.0,1.0,0,2787,8,1,0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,324,64,2.5334692314452525,7.932721027481948,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,20,1.0,0.0,0.0,1.0,0,3972,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,20.0,11.0,0.0,400,121,2.613533596593013,8.287025025165063,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,1.0,1.0,0,0,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,25.0,11.0,0.0,625,121,2.780526107090586,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,17.0,8.0,0.0,289,64,2.489703659218868,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,17.0,9.0,0.0,289,81,2.489703659218868,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,12187,5,1,0,0.0,1.0,0.0,0.0,1.0,5.0,25.0,5.0,0.0,625,25,2.780526107090586,9.408125088823502,-inf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,4843,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,529,144,2.7185327881881753,8.48528964240323,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,28,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,28.0,8.0,0.0,784,64,2.864015335733844,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,31,1.0,0.0,1.0,1.0,0,8087,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,31.0,11.0,0.0,961,121,2.9382499464245244,8.998013113095823,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,18.0,11.0,0.0,324,121,2.5334692314452525,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,0.0,0,2348,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,12.0,0.0,625,144,2.780526107090586,7.761319180947987,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,30,1.0,0.0,1.0,1.0,0,590,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,30.0,11.0,0.0,900,121,2.914411802019027,6.380122536899765,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,17.0,10.0,0.0,289,100,2.489703659218868,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,37,1.0,0.0,0.0,1.0,0,1067,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,37.0,9.0,0.0,1369,81,3.0656274830995436,6.9726062513017535,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,41,1.0,0.0,1.0,1.0,0,7284,4,1,0,0.0,1.0,1.0,0.0,1.0,4.0,41.0,4.0,0.0,1681,16,3.1385730784775028,8.8934354408475,-inf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,42,1.0,0.0,1.0,0.0,0,13167,14,1,0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,14.0,0.0,1764,196,3.1555956891389783,9.485468978356344,-inf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,22,0.0,0.0,0.0,1.0,0,1048,11,1,0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,484,121,2.6852857884380423,6.954638864880987,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,17.0,8.0,0.0,289,64,2.489703659218868,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,29,1.0,0.0,0.0,1.0,0,1923,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,29.0,8.0,0.0,841,64,2.889688641163886,7.56164174558878,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,28,1.0,0.0,0.0,1.0,2836,3196,10,0,28360,0.0,0.0,0.0,2836.0,0.0,10.0,28.0,10.0,0.0,784,100,2.864015335733844,8.069655306886165,7.950149887652018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,35,1.0,0.0,0.0,1.0,0,4666,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,35.0,10.0,0.0,1225,100,3.025847380557263,8.448057452581375,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,549,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,121,2.8373194164728255,6.3080984415095305,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,29,1.0,0.0,0.0,1.0,0,762,4,1,0,0.0,1.0,0.0,0.0,1.0,4.0,29.0,4.0,0.0,841,16,2.889688641163886,6.635946555686647,-inf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,28,1.0,0.0,0.0,1.0,0,10694,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,28.0,9.0,0.0,784,81,2.864015335733844,9.277438115508676,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,121,2.8373194164728255,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,23,0.0,0.0,0.0,1.0,0,0,7,1,0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,529,49,2.7185327881881753,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
