treat,age,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,educ_re74,educ_re75,hisp_u75,hisp_u74,black_u75,black_u74,agesq,re78sq,re75sq,re74sq,educsq,ageboxcox,re78boxcox,re75boxcox,re74boxcox,lnre78,lnre75,lnre74
0.0,45,11,0.0,0.0,1.0,1.0,21516,25243,25564,0,0,236676,277673,0.0,0.0,0.0,0.0,2025,653518096,637209049,462938256,121,4.686469630430979,25222470717.295174,4052978.4944004347,50278.710154595436,10.148940390770173,10.136304168546024,9.976552123393134
0.0,21,14,0.0,0.0,0.0,0.0,3175,5852,13496,0,0,44450,81928,0.0,0.0,0.0,0.0,441,182142016,34245904,10080625,196,3.5914808996671113,5279670877.503871,424287.73643226543,6196.075992375347,9.510148624225804,8.674538762140015,8.063062911326792
0.0,38,12,0.0,0.0,1.0,0.0,23039,25130,25564,0,0,276468,301560,0.0,0.0,0.0,0.0,1444,653518096,631516900,530795521,144,4.435882478010559,25222470717.295174,4025001.778285019,54185.30987817331,10.148940390770173,10.131817630537638,10.044943711090122
0.0,18,8,0.0,0.0,1.0,1.0,1669,10727,9860,0,0,13352,85816,0.0,0.0,0.0,0.0,324,97219600,115068529,2785561,64,3.380532728656475,2448229939.110456,1081360.6745319,3065.383278222775,9.19624144759668,9.280519206597429,7.419979923661835
0.0,22,11,0.0,0.0,1.0,1.0,16365,18449,25564,0,0,180015,202939,0.0,0.0,0.0,0.0,484,653518096,340365601,267813225,121,3.655819537720448,25222470717.295174,2497736.648967165,37269.47265648403,10.148940390770173,9.822765447457765,9.702900186935281
0.0,48,10,0.0,0.0,1.0,1.0,16804,16354,18059,0,0,168040,163540,0.0,0.0,0.0,0.0,2304,326127481,267453316,282374416,100,4.783309076454443,10771412373.672348,2073605.6450640832,38364.71505914418,9.801399454452342,9.702227794721923,9.729372232289272
0.0,48,9,0.0,0.0,1.0,1.0,25862,25243,25564,0,0,232758,227187,0.0,0.0,0.0,0.0,2304,653518096,637209049,668843044,81,4.783309076454443,25222470717.295174,4052978.4944004347,61489.968144956496,10.148940390770173,10.136304168546024,10.160529988855798
0.0,34,14,0.0,0.0,1.0,0.0,25862,23746,25564,0,0,362068,332444,0.0,0.0,0.0,0.0,1156,653518096,563872516,668843044,196,4.273460893121376,25222470717.295174,3687936.4850669308,61489.968144956496,10.148940390770173,10.075169374225737,10.160529988855798
0.0,53,10,0.0,0.0,1.0,1.0,25862,25243,25564,0,0,258620,252430,0.0,0.0,0.0,0.0,2809,653518096,637209049,668843044,100,4.93328586599267,25222470717.295174,4052978.4944004347,61489.968144956496,10.148940390770173,10.136304168546024,10.160529988855798
0.0,19,12,0.0,0.0,0.0,0.0,867,4386,8777,0,0,10404,52632,0.0,0.0,0.0,0.0,361,77035729,19236996,751689,144,3.454130202691573,1841382963.0493095,271838.46586938517,1496.7462622535825,9.079889942592118,8.386172928977834,6.7650389767805414
0.0,27,12,0.0,0.0,1.0,0.0,25862,19047,19214,0,0,310344,228564,0.0,0.0,0.0,0.0,729,369177796,362788209,668843044,144,3.9428491189875468,12536821065.04152,2623827.1160353855,61489.968144956496,9.863394458969683,9.85466488783856,10.160529988855798
0.0,32,10,0.0,0.0,1.0,1.0,20427,23374,9179,0,0,204270,233740,0.0,0.0,0.0,0.0,1024,84254041,546343876,417262329,100,4.185732212022756,2054751303.8076715,3599120.3910057982,47501.16444846982,9.12467354521909,10.059379572493102,9.924612834151077
0.0,27,12,0.0,0.0,1.0,0.0,20983,14822,25564,0,0,251796,177864,0.0,0.0,0.0,0.0,729,653518096,219691684,440286289,144,3.9428491189875468,25222470717.295174,1781458.9872615298,48917.57304415935,10.148940390770173,9.603867842511304,9.951467865054695
0.0,24,13,0.0,0.0,0.0,0.0,20830,25243,23903,0,0,270790,328159,0.0,0.0,0.0,0.0,576,571353409,637209049,433888900,169,3.7770115885337576,21397292037.315823,4052978.4944004347,48527.44965418442,10.0817592530548,10.136304168546024,9.944149534255018
0.0,29,14,0.0,0.0,1.0,0.0,21499,22586,20923,0,0,300986,316204,0.0,0.0,0.0,0.0,841,437771929,510127396,462207001,196,4.044473696577313,15444891415.746372,3413518.1921977242,50235.247352591876,9.94860431133925,10.025085524283616,9.975761701406148
0.0,46,12,0.0,0.0,1.0,0.0,24814,24967,19339,0,0,297768,299604,0.0,0.0,0.0,0.0,2116,373996921,623351089,615734596,144,4.719374618960816,12737436529.066349,3984766.404457636,58768.98876963405,9.8698790613623,10.125310231882922,10.119163289002817
0.0,49,12,0.0,0.0,0.0,0.0,25862,25243,25564,0,0,310344,302916,0.0,0.0,0.0,0.0,2401,653518096,637209049,668843044,144,4.814387632507769,25222470717.295174,4052978.4944004347,61489.968144956496,10.148940390770173,10.136304168546024,10.160529988855798
0.0,51,10,0.0,0.0,1.0,1.0,25862,25243,25564,0,0,258620,252430,0.0,0.0,0.0,0.0,2601,653518096,637209049,668843044,100,4.874879482432002,25222470717.295174,4052978.4944004347,61489.968144956496,10.148940390770173,10.136304168546024,10.160529988855798
0.0,51,10,0.0,0.0,1.0,1.0,22923,21725,10348,0,0,229230,217250,0.0,0.0,0.0,0.0,2601,107081104,471975625,525463929,100,4.874879482432002,2755583796.2052565,3214712.8884530687,53886.88524506803,9.24454854330592,9.986218950133592,10.039896052315676
0.0,27,11,0.0,0.0,1.0,1.0,17022,18123,18490,0,0,187242,199353,0.0,0.0,0.0,0.0,729,341880100,328443129,289748484,121,3.9428491189875468,11411685415.919405,2429924.3959053457,38909.59969369724,9.82498532438117,9.80493712880685,9.742261904036907
0.0,27,10,0.0,0.0,1.0,1.0,7952,9755,13105,0,0,79520,97550,0.0,0.0,0.0,0.0,729,171741025,95160025,63234304,100,3.9428491189875468,4913019565.171896,933864.402011851,16920.303561330133,9.480749115757506,9.185535253057212,8.98117874833641
0.0,38,10,0.0,0.0,1.0,1.0,25862,25243,25564,0,0,258620,252430,0.0,0.0,0.0,0.0,1444,653518096,637209049,668843044,100,4.435882478010559,25222470717.295174,4052978.4944004347,61489.968144956496,10.148940390770173,10.136304168546024,10.160529988855798
0.0,32,8,0.0,0.0,0.0,1.0,7186,6149,8414,0,0,57488,49192,0.0,0.0,0.0,0.0,1024,70795396,37810201,51638596,64,4.185732212022756,1660488500.8520563,457988.18445938855,15145.274393165322,9.037652264150466,8.724044745953469,8.879889967673464
0.0,34,14,0.0,0.0,1.0,0.0,25862,25243,25564,0,0,362068,353402,0.0,0.0,0.0,0.0,1156,653518096,637209049,668843044,196,4.273460893121376,25222470717.295174,4052978.4944004347,61489.968144956496,10.148940390770173,10.136304168546024,10.160529988855798
0.0,26,18,0.0,0.0,1.0,0.0,20971,21883,25564,0,0,377478,393894,0.0,0.0,0.0,0.0,676,653518096,478865689,439782841,324,3.889486089449956,25222470717.295174,3250879.7625225475,48886.96543156695,10.148940390770173,9.99346535865436,9.950895809931119
0.0,39,8,0.0,1.0,0.0,1.0,13499,16383,16461,0,0,107992,131064,0.0,0.0,0.0,0.0,1521,270964521,268402689,182223001,64,4.474090045989656,8585476627.697959,2079285.325303455,30190.392594793833,9.708749225727084,9.703999490820264,9.510370887608827
0.0,22,11,0.0,1.0,1.0,1.0,17466,17779,14438,0,0,192126,195569,0.0,0.0,0.0,0.0,484,208455844,316092841,305061156,121,3.655819537720448,6227920798.227623,2359083.934594351,40021.38848469659,9.577618898699106,9.785773264516571,9.768011412973678
0.0,44,9,0.0,1.0,1.0,1.0,15390,14886,12634,0,0,138510,133974,0.0,0.0,0.0,0.0,1936,159617956,221592996,236852100,81,4.6529040923991305,4491919785.237375,1793348.7375401687,34846.964026563386,9.444146871458646,9.608176452919857,9.641473226832925
0.0,26,10,0.0,1.0,1.0,1.0,17125,17446,13518,0,0,171250,174460,0.0,0.0,0.0,0.0,676,182736324,304362916,293265625,100,3.889486089449956,5300765835.423784,2291215.0690571815,39167.27420185566,9.511777409660299,9.766865674993165,9.748294663130427
0.0,42,12,0.0,1.0,1.0,0.0,21663,22013,19941,0,0,259956,264156,0.0,0.0,0.0,0.0,1764,397643481,484572169,469285569,144,4.583674476981448,13730120188.423603,3280744.0499735055,50654.67009166289,9.900533192709691,9.99938846691333,9.983361015119291
