,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.046,0.19647929072380066,-1.4084458351135254
1,1.0,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.894,0.11094790697097778,-2.081094980239868
2,1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.45,0.9997275471687317,8.207772254943848
3,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.146,0.1086333841085434,-2.1047770977020264
4,1.0,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7899,0.13030380010604858,-1.898275375366211
5,1.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.494,0.08247832953929901,-2.4091405868530273
6,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23852208256721497,-1.160799264907837
7,1.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158,0.06211334466934204,-2.7146682739257812
8,1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.022,0.981698751449585,3.9823150634765625
9,1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.07,0.9733918309211731,3.5995683670043945
10,1.0,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908,0.08749832957983017,-2.3445701599121094
11,1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.64,0.9995934367179871,7.807364463806152
12,1.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12936389446258545,-1.9065947532653809
13,1.0,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.93,0.5026777386665344,0.010711082257330418
14,1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.879,0.17005465924739838,-1.5852398872375488
15,1.0,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.503,0.08847377449274063,-2.332414150238037
16,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.86,0.997108519077301,5.843091011047363
17,1.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.4,0.08547494560480118,-2.3701815605163574
18,1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.32,0.5287626385688782,0.1151776984333992
19,1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.35,0.933035135269165,2.63427472114563
20,1.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12351664155721664,-1.959541916847229
21,1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.501,0.9400860667228699,2.7530622482299805
22,1.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.95,0.4976291358470917,-0.0094834603369236
23,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4,0.15484334528446198,-1.6971081495285034
24,1.0,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.17,0.22380588948726654,-1.2436234951019287
25,1.0,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.999,0.2494877427816391,-1.1013462543487549
26,1.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.049,0.1340658962726593,-1.865477442741394
27,1.0,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.87,0.1381053775548935,-1.831115961074829
28,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.04,0.42090845108032227,-0.31904518604278564
29,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7002,0.14768508076667786,-1.7528738975524902
30,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07988564670085907,-2.443901777267456
31,1.0,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.592,0.9524665474891663,2.9976212978363037
32,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.424,0.1702616661787033,-1.5837739706039429
33,1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28502410650253296,-0.9196750521659851
34,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3191.753,0.37650689482688904,-0.5044013261795044
35,1.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20505.93,0.9967628717422485,5.7298264503479
36,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6181.88,0.3924795091152191,-0.4369014799594879
37,1.0,23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,5911.551,0.3087060749530792,-0.8061755299568176
38,1.0,46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3094.156,0.7869777679443359,1.3068034648895264
39,1.0,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1230439767241478,-1.9639149904251099
40,1.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1254.582,0.38743114471435547,-0.45812320709228516
41,1.0,19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,13188.83,0.1764824539422989,-1.5403634309768677
42,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,8061.485,0.1208566203713417,-1.98434317111969
43,1.0,18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,2787.96,0.31306585669517517,-0.7858248353004456
44,1.0,20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,3972.54,0.15438197553157806,-1.7006378173828125
45,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.13722193241119385,-1.8385579586029053
46,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13558554649353027,-1.852449655532837
47,1.0,17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0914447009563446,-2.29612135887146
48,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,12187.41,0.5925359725952148,0.3744588792324066
49,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4843.176,0.7101713418960571,0.8962163925170898
50,1.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13355770707130432,-1.8698619604110718
51,1.0,31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,8087.487,0.20741787552833557,-1.3405606746673584
52,1.0,18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0774097889661789,-2.478071928024292
53,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2348.973,0.31273549795150757,-0.7873614430427551
54,1.0,30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,590.7818,0.16638222336769104,-1.6114873886108398
55,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07988564670085907,-2.443901777267456
56,1.0,37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1067.506,0.11606954783201218,-2.030188798904419
57,1.0,41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,7284.986,0.9814866185188293,3.9705746173858643
58,1.0,42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,13167.52,0.7248949408531189,0.9688736796379089
59,1.0,22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1048.432,0.26015135645866394,-1.0451819896697998
60,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13558556139469147,-1.8524494171142578
61,1.0,29.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1923.938,0.10743660479784012,-2.117196559906006
62,1.0,35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,4666.236,0.07337824255228043,-2.5359179973602295
63,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,549.2984,0.1498788595199585,-1.7355514764785767
64,1.0,29.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,762.9146,0.2999499440193176,-0.8475362658500671
65,1.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,10694.29,0.05844821780920029,-2.779388189315796
66,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.152815043926239,-1.7126907110214233
67,1.0,23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.429099440574646,-0.2855263650417328
68,1.0,45.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,8546.715,0.9845725297927856,4.156057834625244
