treat,age,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,educ_re74,educ_re75,hisp_u75,hisp_u74,black_u75,black_u74,ageboxcox,agesq,re78boxcox,re75boxcox,re74boxcox,lnre78,lnre75,lnre74,re78sq,re75sq,re74sq,educsq
0,23,10,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.980157371,529,0,0,0,0,0,0,1,1,1,100
0,26,12,0,0,0,0,1,1,12383,1,1,0,0,0,0,0,0,0.985647479,676,24.98275004,0,0,9.424079843,0,0,153338689,1,1,144
0,22,9,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.977999627,484,0,0,0,0,0,0,1,1,1,81
0,18,9,1,0,0,1,1,1,10740,1,1,0,0,0,0,1,1,0.967010209,324,24.20466876,0,0,9.281730368,0,0,115347600,1,1,81
0,45,11,1,0,0,1,1,1,11796,1,1,0,0,0,0,1,1,1.003576423,2025,24.71503553,0,0,9.37551577,0,0,139145616,1,1,121
0,18,9,1,0,0,1,1,1,9227,1,1,0,0,0,0,1,1,0.967010209,324,23.39658039,0,0,9.129889248,0,0,85137529,1,1,81
0,24,8,0,0,0,1,1,1,10569,1,1,0,0,0,0,0,0,0.982137733,576,24.11819525,0,0,9.265680467,0,0,111703761,1,1,64
0,34,11,1,0,1,1,1,1,6040,1,1,0,0,0,0,1,1,0.995604658,1156,21.25588648,0,0,8.706159291,0,0,36481600,1,1,121
0,36,10,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.997411043,1296,0,0,0,0,0,0,1,1,1,100
0,21,14,1,0,0,0,1,1,5775,1,1,0,0,0,0,1,1,0.975639416,441,21.03871863,0,0,8.661293535,0,0,33350625,1,1,196
0,28,9,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.988662389,784,0,0,0,0,0,0,1,1,1,81
0,19,11,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.970185058,361,0,0,0,0,0,0,1,1,1,121
0,20,8,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.973046674,400,0,0,0,0,0,0,1,1,1,64
0,34,12,1,0,0,0,1,1,2113,1,1,0,0,0,0,1,1,0.995604658,1156,16.60859261,0,0,7.655864018,0,0,4464769,1,1,144
0,24,10,1,0,0,1,1,1,7618,1,1,0,0,0,0,1,1,0.982137733,576,22.40808555,0,0,8.938269147,0,0,58033924,1,1,100
0,22,8,0,1,0,1,1,1,9920,1,1,0,0,1,1,0,0,0.977999627,484,23.77921045,0,0,9.2023082,0,0,98406400,1,1,64
0,25,11,1,0,0,1,1,1,4196,1,1,0,0,0,0,1,1,0.983961811,625,19.54276158,0,0,8.34188697,0,0,17606416,1,1,121
0,39,9,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.999777798,1521,0,0,0,0,0,0,1,1,1,81
0,19,9,1,0,1,1,1,1,16658,1,1,0,0,0,0,1,1,0.970185058,361,26.66984431,0,0,9.72064586,0,0,277488964,1,1,81
0,44,9,1,0,0,1,1,1,9722,1,1,0,0,0,0,1,1,1.003014281,1936,23.67217961,0,0,9.182146638,0,0,94517284,1,1,81
0,27,8,1,0,0,1,1,1,3783,1,1,0,0,0,0,1,1,0.987209979,729,19.0758238,0,0,8.238272625,0,0,14311089,1,1,64
