data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,educ_re74,educ_re75,hisp_u75,hisp_u74,black_u75,black_u74,agesq,re78sq,re75sq,re74sq,educsq,ageboxcox,re78boxcox,re75boxcox,re74boxcox,lnre78,lnre75,lnre74
PSID,0.0,47,12,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2209,1,1,1,144,2.76504783613105,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,50,12,1.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,2500,1,1,1,144,2.795505540251163,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,44,12,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1936,1,1,1,144,2.7321992888894746,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,28,12,1.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,784,1,1,1,144,2.4961331514830443,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,54,12,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2916,1,1,1,144,2.832911904697852,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,55,12,0.0,1.0,1.0,0.0,1,1,1,1,1,0,0,1.0,1.0,0.0,0.0,3025,1,1,1,144,2.841753022490376,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,47,12,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2209,1,1,1,144,2.76504783613105,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,25,12,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,625,1,1,1,144,2.433823915251168,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,44,12,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1936,1,1,1,144,2.7321992888894746,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,50,12,1.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,2500,1,1,1,144,2.795505540251163,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,23,12,1.0,0.0,0.0,0.0,1,1,4728,1,1,0,0,0.0,0.0,1.0,1.0,529,22353984,1,1,144,2.3871493584877808,128.61859919172565,0.0,0.0,8.461257559085935,0.0,0.0
PSID,0.0,49,14,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2401,1,1,1,196,2.7855987260506447,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,55,14,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,3025,1,1,1,196,2.841753022490376,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,34,14,1.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,1156,1,1,1,196,2.599930091885787,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,34,16,0.0,0.0,1.0,0.0,1,1,11821,1,1,0,0,0.0,0.0,0.0,0.0,1156,139736041,1,1,256,2.599930091885787,203.05388584240424,0.0,0.0,9.377632889750377,0.0,0.0
PSID,0.0,55,13,0.0,1.0,1.0,0.0,1,1,1,1,1,0,0,1.0,1.0,0.0,0.0,3025,1,1,1,169,2.841753022490376,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,52,12,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2704,1,1,1,144,2.814634179148112,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,52,15,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2704,1,1,1,225,2.814634179148112,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,30,16,0.0,0.0,1.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,900,1,1,1,256,2.5334394036668626,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,21,12,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,441,1,1,1,144,2.3354087276939604,0.0,0.0,0.0,0.0,0.0,0.0
PSID,0.0,30,17,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,900,1,1,1,289,2.5334394036668626,0.0,0.0,0.0,0.0,0.0,0.0
