,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.04534487,-3.047053
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.0514611,-2.9140966
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.053446747,-2.8741415
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.021921631,-3.798116
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.38760093,-0.45740792
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.05003196,-2.9437664
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.055403873,-2.836108
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.05081229,-2.9274683
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.052729145,-2.8884168
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.04087138,-3.155595
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.037535753,-3.244203
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.04816094,-2.9838476
12,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.048611913,-2.9740534
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.050912898,-2.9253843
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.045472898,-3.0440996
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.053532932,-2.8724391
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.11614707,-2.0294335
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.04589721,-3.034367
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.054177824,-2.859783
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.070604265,-2.577444
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.05717175,-2.8028243
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.048195962,-2.983084
22,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.9617879,3.2256413
23,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.04888339,-2.968199
24,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.055600643,-2.8323543
25,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.053821955,-2.8667493
26,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.047483478,-2.9987257
27,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.053615376,-2.8708131
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.046081323,-3.0301707
29,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.04589534,-3.0344098
30,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.04888339,-2.968199
31,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.054817155,-2.8473752
32,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.04740308,-3.0005047
33,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.051873658,-2.9056766
34,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.04665088,-3.0172894
35,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.056071203,-2.8234284
36,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.03696841,-3.2600224
37,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.04820224,-2.982947
38,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.07656788,-2.4899197
39,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.07324785,-2.5378373
40,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.411072,-0.35953557
41,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.123612426,-1.9586574
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.0397286,-3.1851447
43,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0,0.03466648,-3.3267004
44,1.0,23,12,1.0,0.0,0.0,0.0,0,0,4843,0.95811564,3.130056
45,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0,0.14910403,-1.7416457
46,1.0,31,11,1.0,0.0,1.0,1.0,0,0,8087,0.05448372,-2.8538291
47,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0,0.22425869,-1.2410189
48,1.0,25,12,1.0,0.0,0.0,0.0,0,0,2348,0.045480445,-3.0439258
49,1.0,30,11,1.0,0.0,1.0,1.0,0,0,590,0.05959707,-2.758702
50,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.04985627,-2.947469
51,1.0,37,9,1.0,0.0,0.0,1.0,0,0,1067,0.04639511,-3.0230553
52,1.0,42,14,1.0,0.0,1.0,0.0,0,0,13167,0.045841012,-3.0356512
53,1.0,22,11,0.0,0.0,0.0,1.0,0,0,1048,0.051034436,-2.9228718
54,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.050975095,-2.9240978
55,1.0,29,8,1.0,0.0,0.0,1.0,0,0,1923,0.058823872,-2.7725825
