,treat,age,education*,black,hispanic,married,nodegree,re74,re75,re78,propensity_score,propensity_logit
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,9930,0.13521159,-1.855644
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,3595,0.19158612,-1.4397367
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,24909,0.24097855,-1.1473222
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,7506,0.111889735,-2.071582
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,289,0.8805476,1.9976258
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,4056,0.49821982,-0.007120689
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0,0.08446602,-2.3831582
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,8472,0.21352072,-1.3038325
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0,12418,0.26947355,-0.99729514
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0,8173,0.115394056,-2.0367894
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0,17094,0.074780434,-2.5154748
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0,0.06760644,-2.6240518
12,1.0,27,10,1.0,0.0,1.0,1.0,0,0,18739,0.49331063,-0.026759055
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0,3228,0.14325656,-1.7885014
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0,14581,0.17089723,-1.5792817
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0,7693,0.06222783,-2.7127047
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0,10804,0.0879399,-2.3390522
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0,10747,0.5732432,0.29509577
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0,0.51712835,0.06854023
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0,5149,0.48304263,-0.06785555
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0,6408,0.12862608,-1.9131615
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0,1991,0.05465715,-2.8504677
22,1.0,18,10,1.0,0.0,0.0,1.0,0,0,11163,0.21727473,-1.2816192
23,1.0,29,11,1.0,0.0,1.0,1.0,0,0,9642,0.13305615,-1.874203
24,1.0,25,11,1.0,0.0,0.0,1.0,0,0,9897,0.35601285,-0.592712
25,1.0,27,10,0.0,1.0,0.0,1.0,0,0,11142,0.1579375,-1.6736548
26,1.0,17,10,1.0,0.0,0.0,1.0,0,0,16218,0.06945698,-2.5950608
27,1.0,24,11,1.0,0.0,0.0,1.0,0,0,995,0.35894015,-0.5799672
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.79668385,1.3656958
29,1.0,25,11,1.0,0.0,1.0,1.0,0,0,1574,0.08384608,-2.3912017
30,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0,0.087736726,-2.341588
31,1.0,25,12,1.0,0.0,0.0,0.0,0,0,3191,0.07827916,-2.465961
32,1.0,42,14,1.0,0.0,0.0,0.0,0,0,20505,0.2002737,-1.3845847
33,1.0,23,12,1.0,0.0,1.0,0.0,0,0,5911,0.6366666,0.5609252
34,1.0,46,8,1.0,0.0,1.0,1.0,0,0,3094,0.46911892,-0.12368167
35,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.16833101,-1.5975021
36,1.0,21,12,1.0,0.0,0.0,0.0,0,0,1254,0.41817966,-0.33025065
37,1.0,19,9,0.0,0.0,0.0,1.0,0,0,13188,0.18672085,-1.4714597
38,1.0,17,8,1.0,0.0,0.0,1.0,0,0,8061,0.07470452,-2.5165725
39,1.0,18,8,0.0,1.0,1.0,1.0,0,0,2787,0.06427242,-2.6781938
40,1.0,20,11,1.0,0.0,0.0,1.0,0,0,3972,0.6138646,0.46358633
41,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0,0.0824129,-2.4100056
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.074260965,-2.523007
43,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0,0.064579174,-2.6731045
44,1.0,23,12,1.0,0.0,0.0,0.0,0,0,4843,0.7225056,0.9569246
45,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0,0.3151088,-0.77634203
46,1.0,31,11,1.0,0.0,1.0,1.0,0,0,8087,0.08393095,-2.3900974
47,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0,0.23676209,-1.170514
48,1.0,25,12,1.0,0.0,0.0,0.0,0,0,2348,0.7548312,1.1245472
49,1.0,30,11,1.0,0.0,1.0,1.0,0,0,590,0.726169,0.9752716
50,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.116532914,-2.0256803
51,1.0,37,9,1.0,0.0,0.0,1.0,0,0,1067,0.07422,-2.523603
52,1.0,42,14,1.0,0.0,1.0,0.0,0,0,13167,0.18246818,-1.499714
53,1.0,22,11,0.0,0.0,0.0,1.0,0,0,1048,0.19546542,-1.4148805
54,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0,0.10384385,-2.1552262
55,1.0,29,8,1.0,0.0,0.0,1.0,0,0,1923,0.47833484,-0.08671489
56,1.0,35,10,1.0,0.0,0.0,1.0,0,0,4666,0.7296821,0.9930103
57,1.0,27,11,1.0,0.0,0.0,1.0,0,0,549,0.22320466,-1.2470878
58,1.0,28,9,1.0,0.0,0.0,1.0,0,0,10694,0.39334905,-0.43325618
59,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0,0.10429535,-2.150384
60,1.0,29,13,1.0,0.0,0.0,0.0,0,0,7479,0.13750267,-1.8361888
61,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0,0.088299975,-2.3345711
62,1.0,46,13,1.0,0.0,0.0,0.0,0,0,647,0.06534231,-2.6605406
63,1.0,25,12,1.0,0.0,0.0,0.0,0,0,11965,0.11081518,-2.0824413
64,1.0,25,11,0.0,0.0,0.0,1.0,0,0,18783,0.726368,0.97627264
65,1.0,22,12,1.0,0.0,0.0,0.0,0,0,18678,0.36674923,-0.5461882
66,1.0,21,9,1.0,0.0,0.0,1.0,0,0,0,0.24223998,-1.1404378
67,1.0,40,11,1.0,0.0,0.0,1.0,0,0,23005,0.14673425,-1.760448
68,1.0,22,11,1.0,0.0,0.0,1.0,0,0,6456,0.23397146,-1.1860203
69,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0,0.07818532,-2.4672623
70,1.0,18,12,1.0,0.0,0.0,0.0,0,0,2321,0.6740533,0.72657543
71,1.0,38,12,0.0,0.0,0.0,0.0,0,0,4941,0.075143956,-2.5102324
72,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0,0.09478486,-2.256563
73,1.0,27,8,1.0,0.0,0.0,1.0,0,0,0,0.10280326,-2.1664581
74,1.0,38,11,1.0,0.0,0.0,1.0,0,0,0,0.5837027,0.337992
75,1.0,23,8,0.0,1.0,0.0,1.0,0,0,3881,0.24305816,-1.1359857
76,1.0,26,11,1.0,0.0,0.0,1.0,0,0,17230,0.3175801,-0.76491505
77,1.0,21,12,0.0,0.0,0.0,0.0,0,0,8048,0.05631176,-2.8188925
78,1.0,25,8,1.0,0.0,0.0,1.0,0,0,0,0.4703651,-0.11867868
79,1.0,31,11,1.0,0.0,1.0,1.0,0,0,14509,0.87954515,1.98813
80,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0,0.07286694,-2.543462
81,1.0,25,11,1.0,0.0,0.0,1.0,0,0,0,0.10886916,-2.1023445
82,1.0,21,12,1.0,0.0,0.0,0.0,0,0,9983,0.36323422,-0.561354
83,1.0,44,11,1.0,0.0,0.0,1.0,0,0,0,0.15216324,-1.7177342
84,1.0,25,12,0.0,0.0,0.0,0.0,0,0,5587,0.5140231,0.056107257
85,1.0,18,9,1.0,0.0,0.0,1.0,0,0,4482,0.1195333,-1.9968572
86,1.0,42,12,1.0,0.0,0.0,0.0,0,0,2456,0.10049564,-2.1917295
87,1.0,25,10,1.0,0.0,0.0,1.0,0,0,0,0.68795717,0.7905862
88,1.0,31,9,0.0,1.0,0.0,1.0,0,0,26817,0.25465715,-1.0739262
89,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0,0.561638,0.24781244
90,1.0,26,10,1.0,0.0,0.0,1.0,0,0,9265,0.1807869,-1.5110253
91,1.0,25,11,1.0,0.0,0.0,1.0,0,0,485,0.08216386,-2.4133034
92,1.0,18,11,1.0,0.0,0.0,1.0,0,0,4814,0.2580434,-1.0561628
93,1.0,19,11,1.0,0.0,0.0,1.0,0,0,7458,0.08914799,-2.3240826
94,1.0,43,9,1.0,0.0,0.0,1.0,0,0,0,0.45804116,-0.16823092
95,1.0,17,9,1.0,0.0,0.0,1.0,0,0,1953,0.13496009,-1.8577965
96,1.0,30,11,1.0,0.0,0.0,1.0,0,0,0,0.0841679,-2.3870194
97,1.0,26,10,1.0,0.0,1.0,1.0,2027,0,0,0.4544865,-0.18255937
98,1.0,20,9,1.0,0.0,0.0,1.0,6083,0,8881,0.35633343,-0.59131396
99,1.0,17,9,0.0,1.0,0.0,1.0,445,74,6210,0.4432384,-0.22802942
100,1.0,20,12,1.0,0.0,0.0,0.0,989,165,0,0.0825733,-2.4078863
101,1.0,18,11,1.0,0.0,0.0,1.0,858,214,929,0.09015039,-2.3118
102,1.0,27,12,1.0,0.0,1.0,0.0,3670,334,0,0.12685484,-1.9290584
103,1.0,21,12,0.0,0.0,0.0,0.0,3670,334,12558,0.4498962,-0.20109011
104,1.0,27,12,1.0,0.0,0.0,0.0,2143,357,22163,0.40455,-0.3865422
105,1.0,20,12,1.0,0.0,0.0,0.0,0,377,1652,0.0770884,-2.4825807
106,1.0,19,10,1.0,0.0,0.0,1.0,0,385,8124,0.110153064,-2.0891786
107,1.0,23,12,1.0,0.0,0.0,0.0,5506,501,671,0.069628894,-2.592404
108,1.0,29,14,1.0,0.0,0.0,0.0,0,679,17814,0.27158412,-0.98660016
109,1.0,18,10,1.0,0.0,0.0,1.0,0,798,9737,0.13291834,-1.8753982
110,1.0,19,9,1.0,0.0,0.0,1.0,0,798,17685,0.84033877,1.6607509
111,1.0,27,13,0.0,0.0,1.0,0.0,9381,853,0,0.7851748,1.2960817
112,1.0,18,11,0.0,0.0,0.0,1.0,3678,919,4321,0.7739441,1.2307172
113,1.0,27,9,1.0,0.0,1.0,1.0,0,934,1773,0.33602372,-0.6810647
114,1.0,22,12,1.0,0.0,0.0,0.0,5605,936,0,0.51931554,0.07730065
115,1.0,23,10,1.0,0.0,1.0,1.0,0,936,11233,0.59984756,0.40482998
116,1.0,23,12,0.0,1.0,0.0,0.0,9385,1117,559,0.07407276,-2.5257478
117,1.0,20,11,1.0,0.0,0.0,1.0,3637,1220,1085,0.88641006,2.0545847
118,1.0,17,9,1.0,0.0,0.0,1.0,1716,1253,5445,0.5687398,0.2767113
119,1.0,26,11,1.0,0.0,1.0,1.0,0,1392,1460,0.12258792,-1.9681482
120,1.0,20,11,1.0,0.0,0.0,1.0,16318,1484,6943,0.061146606,-2.731385
121,1.0,24,11,1.0,0.0,1.0,1.0,824,1666,4032,0.09297431,-2.2778475
122,1.0,31,9,1.0,0.0,0.0,1.0,0,1698,10363,0.61040795,0.4490273
123,1.0,23,8,0.0,0.0,1.0,1.0,0,1713,4232,0.06298768,-2.6997573
124,1.0,18,10,1.0,0.0,0.0,1.0,2143,1784,11141,0.053785253,-2.8674703
125,1.0,29,12,1.0,0.0,0.0,0.0,10881,1817,0,0.094063014,-2.2650049
126,1.0,26,11,0.0,0.0,0.0,1.0,0,2226,13385,0.06862834,-2.6079528
127,1.0,24,9,1.0,0.0,0.0,1.0,9154,2288,4849,0.054076914,-2.861754
128,1.0,25,12,1.0,0.0,0.0,0.0,14426,2409,0,0.15510754,-1.6950907
129,1.0,24,10,1.0,0.0,0.0,1.0,4250,2421,1660,0.8171724,1.4973066
130,1.0,46,8,1.0,0.0,0.0,1.0,3165,2594,0,0.07495386,-2.512971
131,1.0,31,12,0.0,0.0,0.0,0.0,0,2611,2484,0.08766057,-2.3425398
132,1.0,19,11,1.0,0.0,0.0,1.0,2305,2615,4146,0.11190241,-2.0714545
133,1.0,19,8,1.0,0.0,0.0,1.0,0,2657,9970,0.1929519,-1.4309423
134,1.0,27,11,1.0,0.0,0.0,1.0,2206,2666,0,0.072957546,-2.5421216
135,1.0,26,11,1.0,0.0,1.0,1.0,0,2754,26372,0.07001202,-2.5865047
136,1.0,20,10,1.0,0.0,0.0,1.0,5005,2777,5615,0.49662763,-0.013489703
137,1.0,28,10,1.0,0.0,0.0,1.0,0,2836,3196,0.3877834,-0.45663917
138,1.0,24,12,1.0,0.0,0.0,0.0,13765,2842,6167,0.7442312,1.068078
