,treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,re78sq,re75sq,educsq,ageboxcox,re78boxcox,re75boxcox,lnre78,lnre75,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17,propensity_score,propensity_logit
0,1.0,37,1.0,0.0,1.0,1.0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1369,98604900,1,121,3.065627483099544,104.54532602827572,0.0,9.20331575703922,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.11229346,-2.0675256
1,1.0,22,0.0,1.0,0.0,1.0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,484,12924025,1,81,2.6852857884380423,68.01765495047368,0.0,8.187299270155147,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.79230076,1.33885
2,1.0,30,1.0,0.0,0.0,0.0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,900,620458281,1,144,2.914411802019027,153.70334257731966,0.0,10.12298446293014,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.32942322,-0.7107949
3,1.0,27,1.0,0.0,0.0,1.0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,56340036,1,121,2.837319416472825,92.91835133550026,0.0,8.923457979694966,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.21830079,-1.2755961
4,1.0,33,1.0,0.0,0.0,1.0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1089,83521,1,64,2.983500561135437,22.558070162189523,0.0,5.666426688112432,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.596941,0.3927353
5,1.0,22,1.0,0.0,0.0,1.0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,484,16451136,1,81,2.6852857884380423,71.60041190454652,0.0,8.30795254527102,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.48553777,-0.05786509
6,1.0,23,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,529,1,1,144,2.718532788188176,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6745783,0.7289659
7,1.0,32,1.0,0.0,0.0,1.0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1024,71774784,1,121,2.9612618143079734,97.7843592951055,0.0,9.044521887281242,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.40405747,-0.38858703
8,1.0,22,1.0,0.0,0.0,0.0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,484,4682896,1,256,2.6852857884380423,54.748477627548695,0.0,7.679713639966372,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5115659,0.046271976
9,1.0,33,0.0,0.0,1.0,0.0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1089,154206724,1,144,2.983500561135437,114.84524958894512,0.0,9.426902311924838,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3283785,-0.7155281
10,1.0,19,1.0,0.0,0.0,1.0,0,8173,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,19.0,9.0,0.0,361,66797929,1,81,2.5746536781438683,96.31481820482168,0.0,9.00859131751613,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.36861408,-0.53816706
11,1.0,21,1.0,0.0,0.0,0.0,0,17094,13,1,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,441,292204836,1,169,2.6503439093087704,131.31245589926186,0.0,9.746482803725964,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.37233847,-0.5221977
12,1.0,18,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,18.0,8.0,0.0,324,1,1,64,2.5334692314452525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3179854,-0.76304567
13,1.0,27,1.0,0.0,1.0,1.0,0,18739,10,1,0,0.0,1.0,1.0,0.0,1.0,10.0,27.0,10.0,0.0,729,351150121,1,100,2.837319416472825,136.46124166617082,0.0,9.838362192575666,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6038193,0.42140457
14,1.0,17,1.0,0.0,0.0,1.0,0,3023,7,1,0,0.0,1.0,0.0,0.0,1.0,7.0,17.0,7.0,0.0,289,9138529,1,49,2.489703659218868,63.172950933827366,0.0,8.014004994779459,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.46343207,-0.14653334
