treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
1.0,29,14,1.0,0.0,0.0,0.0,0,679,0.9339394,2.648839,17814
1.0,27,12,1.0,0.0,0.0,0.0,2143,357,0.9244984,2.5050972,22163
1.0,41,14,0.0,0.0,0.0,0.0,0,0,0.68438435,0.77399445,5149
1.0,28,11,1.0,0.0,0.0,1.0,1929,6871,0.863351,1.8434056,0
1.0,23,8,0.0,1.0,0.0,1.0,0,0,0.8989039,2.1851046,3881
1.0,20,11,1.0,0.0,0.0,1.0,16318,1484,0.9281927,2.5592527,6943
1.0,24,10,1.0,0.0,1.0,1.0,11703,4078,0.5787382,0.31759575,0
1.0,20,9,0.0,1.0,0.0,1.0,12260,5875,0.332789,-0.69559765,1358
1.0,18,11,0.0,0.0,0.0,1.0,3678,919,0.7985907,1.3775095,4321
1.0,21,9,1.0,0.0,0.0,1.0,6416,5749,0.9126394,2.346296,743
1.0,25,12,0.0,0.0,0.0,0.0,0,0,0.794555,1.3526039,5587
1.0,27,13,0.0,0.0,1.0,0.0,9381,853,0.21621649,-1.2878526,0
1.0,33,12,1.0,0.0,1.0,0.0,20279,10941,0.030182127,-3.4698584,15952
1.0,22,12,0.0,0.0,0.0,0.0,6759,8455,0.07304012,-2.5409014,12590
1.0,31,9,1.0,0.0,0.0,1.0,10717,5517,0.8032776,1.4069068,9558
1.0,29,12,1.0,0.0,0.0,0.0,9748,4878,0.57511437,0.3027489,10976
1.0,33,12,0.0,0.0,1.0,0.0,0,0,0.47925067,-0.08304501,12418
1.0,19,11,0.0,1.0,1.0,1.0,5424,5463,0.14762175,-1.7533772,6788
1.0,29,10,0.0,1.0,0.0,1.0,0,8853,0.3810496,-0.48509553,5112
1.0,22,12,0.0,1.0,1.0,0.0,492,7055,0.14382242,-1.7838985,10092
1.0,26,12,1.0,0.0,1.0,0.0,8408,5794,0.25728127,-1.0601474,1424
1.0,19,10,0.0,0.0,0.0,1.0,0,5324,0.6522855,0.6291007,13829
1.0,21,12,0.0,0.0,0.0,0.0,3670,334,0.60634524,0.43197522,12558
1.0,35,9,1.0,0.0,1.0,1.0,13602,13830,0.12214644,-1.9722592,12803
0.0,19,11,1.0,0.0,0.0,1.0,1381,5503,0.9344832,2.6576867,10842
0.0,18,11,1.0,0.0,0.0,1.0,1716,4139,0.92577064,2.5234668,8372
0.0,19,12,1.0,0.0,0.0,0.0,3546,4638,0.6800438,0.7539732,13583
0.0,20,12,1.0,0.0,0.0,0.0,4361,3917,0.86430794,1.851541,15885
0.0,16,11,1.0,0.0,0.0,1.0,4139,4502,0.8985412,2.18112,10293
0.0,16,10,1.0,0.0,0.0,1.0,930,6402,0.92963964,2.581167,7574
0.0,18,11,0.0,0.0,0.0,1.0,540,4644,0.57880133,0.31785464,8344
0.0,17,10,0.0,0.0,0.0,1.0,3636,6223,0.33226883,-0.69794124,9828
0.0,45,10,1.0,0.0,0.0,1.0,4200,4443,0.8002592,1.387915,8872
0.0,18,11,1.0,0.0,0.0,1.0,3632,4670,0.91361594,2.358607,8366
0.0,30,11,1.0,0.0,1.0,1.0,356,3947,0.7947569,1.3538411,7329
0.0,45,12,1.0,0.0,0.0,0.0,11708,12698,0.21626785,-1.2875497,14393
0.0,37,12,1.0,0.0,1.0,0.0,18826,21573,0.030182127,-3.4698584,18147
0.0,23,12,0.0,0.0,0.0,0.0,8850,8235,0.07304012,-2.5409014,7880
0.0,17,10,1.0,0.0,0.0,1.0,5650,7795,0.80563426,1.4218881,17975
0.0,17,10,0.0,0.0,0.0,1.0,503,4166,0.5789435,0.31843784,8324
0.0,26,12,1.0,0.0,0.0,0.0,8906,7333,0.4822986,-0.07083513,9284
0.0,24,13,0.0,0.0,0.0,0.0,1912,4017,0.14753954,-1.7540306,18913
0.0,17,11,0.0,0.0,0.0,1.0,2372,4241,0.38244474,-0.47918442,10276
0.0,19,12,0.0,1.0,0.0,0.0,3773,4667,0.144233,-1.7805681,12325
0.0,17,11,0.0,0.0,0.0,1.0,3861,6452,0.25770122,-1.057951,19983
0.0,16,10,0.0,0.0,0.0,1.0,0,4769,0.65648675,0.6476768,13136
0.0,17,11,0.0,0.0,0.0,1.0,544,4724,0.6026578,0.41655165,12073
0.0,35,9,1.0,0.0,1.0,1.0,13697,14376,0.12214644,-1.9722592,18957
