treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,0.69713426,0.83368844,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.49735975,-0.0105610695,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.47187486,-0.11261951,99
1.0,18,8,1.0,0.0,0.0,1.0,1199,0.9641501,3.2919054,0
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.9287371,2.56745,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,0.87271255,1.9251583,9371
1.0,18,10,1.0,0.0,0.0,1.0,798,0.96915644,3.447498,9737
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.83465624,1.6189933,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.85282046,1.7568958,0
1.0,18,10,1.0,0.0,0.0,1.0,1371,0.96915644,3.447498,12064
1.0,38,12,0.0,0.0,0.0,0.0,0,0.47345343,-0.1062863,4941
1.0,23,10,1.0,0.0,0.0,1.0,2217,0.9644287,3.2999976,0
1.0,27,11,1.0,0.0,0.0,1.0,2666,0.9592192,3.1579087,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.72586846,0.9737608,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.93771005,2.7116406,672
1.0,43,9,1.0,0.0,0.0,1.0,0,0.88742393,2.0646937,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.43906853,-0.2449432,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,0.9592192,3.1579087,549
1.0,18,9,1.0,0.0,0.0,1.0,1182,0.96915644,3.447498,5100
1.0,17,9,0.0,1.0,0.0,1.0,74,0.8897138,2.0878212,6210
1.0,17,9,1.0,0.0,0.0,1.0,0,0.96915644,3.447498,0
1.0,22,11,1.0,0.0,0.0,1.0,0,0.9644287,3.2999976,6456
1.0,19,10,1.0,0.0,0.0,1.0,3473,0.96468264,3.3074245,5861
1.0,20,9,0.0,1.0,0.0,1.0,8015,0.8359965,1.6287367,5487
1.0,20,9,1.0,0.0,0.0,1.0,0,0.9682939,3.4190266,8881
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.9247821,2.5091689,7976
1.0,26,11,1.0,0.0,0.0,1.0,0,0.96101403,3.2047873,17230
1.0,20,11,1.0,0.0,0.0,1.0,0,0.9682939,3.4190266,3972
1.0,19,9,1.0,0.0,0.0,1.0,0,0.96915644,3.447498,8173
1.0,30,11,1.0,0.0,0.0,1.0,0,0.9592192,3.1579087,0
1.0,33,11,1.0,0.0,0.0,1.0,7867,0.90542316,2.2589898,6281
1.0,34,11,0.0,1.0,0.0,1.0,4641,0.6863015,0.7828849,2877
1.0,29,11,1.0,0.0,1.0,1.0,0,0.716442,0.92688054,9642
1.0,24,11,1.0,0.0,0.0,1.0,9180,0.7510428,1.1041815,0
1.0,24,12,1.0,0.0,0.0,0.0,18154,0.3699097,-0.5326042,0
1.0,27,9,1.0,0.0,1.0,1.0,934,0.716442,0.92688054,1773
1.0,24,10,1.0,0.0,0.0,1.0,2421,0.9644287,3.2999976,1660
1.0,19,8,1.0,0.0,0.0,1.0,2937,0.9589808,3.1518307,7535
1.0,23,12,1.0,0.0,0.0,0.0,0,0.8753623,1.9492265,0
1.0,31,9,1.0,0.0,0.0,1.0,1698,0.9552379,3.0605993,10363
1.0,23,12,1.0,0.0,0.0,0.0,0,0.8753623,1.9492265,4843
1.0,32,10,1.0,0.0,0.0,1.0,2321,0.94442165,2.832779,179
1.0,25,12,1.0,0.0,0.0,0.0,0,0.8753623,1.9492265,11965
1.0,18,11,0.0,1.0,0.0,1.0,5491,0.83986276,1.6572073,2454
1.0,28,11,1.0,0.0,1.0,1.0,6952,0.6169808,0.47675276,7318
