,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0.8297929,1.5841603,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0.9209277,2.455019,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0.91020525,2.3161435,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9845366,4.153694,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0.96756905,3.3956738,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0.98815304,4.423766,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0.94916236,2.9269428,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0.9700832,3.478961,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0.2111976,-1.3177216,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0.98905176,4.5035677,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0.94455254,2.8352754,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0.9876665,4.383025,0
12,1.0,27,10,1.0,0.0,1.0,1.0,0,0.8830807,2.0219328,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0.98911905,4.5098014,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9360913,2.6842575,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0.988429,4.4476156,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0.9286096,2.565525,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0.9432622,2.810904,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0.9877565,4.39044,0
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0.65172684,0.6266384,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0.8862179,2.0526776,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9878655,4.3994946,1991
22,1.0,33,11,1.0,0.0,0.0,1.0,7867,0.91170603,2.3346457,6281
23,1.0,18,10,1.0,0.0,0.0,1.0,0,0.9896283,4.55825,11163
24,1.0,29,11,1.0,0.0,1.0,1.0,0,0.9001825,2.1992538,9642
25,1.0,25,11,1.0,0.0,0.0,1.0,0,0.98800963,4.4115887,9897
26,1.0,27,10,0.0,1.0,0.0,1.0,0,0.8868012,2.058475,11142
27,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9896283,4.55825,16218
28,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9878655,4.3994946,995
29,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9896283,4.55825,0
30,1.0,26,11,1.0,0.0,1.0,1.0,2754,0.9053351,2.2579622,26372
31,1.0,25,11,1.0,0.0,1.0,1.0,0,0.91442776,2.3689375,1574
32,1.0,20,12,1.0,0.0,0.0,0.0,0,0.9544678,3.0427337,0
33,1.0,25,12,1.0,0.0,0.0,0.0,0,0.952739,3.0036557,3191
