,treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,0.873458,1.9318861,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,0.21150881,-1.3158547,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,0.88736635,2.0641174,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,0.95939595,3.162436,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,0.97755116,3.7738118,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.93514854,2.6686058,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,0.9635026,3.2733338,8472
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0,0.71574074,0.9234313,2164
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0,0.090785995,-2.3040755,12418
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0,0.9740466,3.625156,8173
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0,0.9300888,2.5880544,17094
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9721162,3.5514286,0
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0,0.9025425,2.225799,18739
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0,0.96697694,3.3769686,3023
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0,0.9714299,3.526408,3228
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0.94011766,2.7536232,14581
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0,0.97831696,3.8093035,7693
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0,0.92038065,2.4475303,10804
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0,0.9397342,2.7468326,10747
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0,0.2905979,-0.892482,5149
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0,0.5599832,0.24109384,6408
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,1991
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0,0.9700177,3.4767063,11163
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0,0.8888819,2.079371,9642
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,9897
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0,0.25985005,-1.0467482,11142
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9681635,3.4147873,16218
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,995
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9681635,3.4147873,0
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0,0.731626,1.0028878,6551
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.90805024,2.2900574,1574
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0,0.9349579,2.665467,0
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.9432835,2.8113017,3191
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0,0.91170543,2.3346384,20505
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0,0.9724086,3.5622716,6181
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0,0.7440852,1.0673109,5911
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0,0.59985554,0.40486324,3094
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0,0.97831696,3.8093035,0
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0,0.9393414,2.739918,1254
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0,0.54072654,0.16326791,13188
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9715226,3.5297549,8061
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0,0.08286178,-2.4040842,2787
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0,0.97189283,3.543221,3972
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.90805024,2.2900574,0
46,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9715226,3.5297549,0
47,1.0,17,9,1.0,0.0,0.0,1.0,0,0,0.9734554,3.6020267,0
48,1.0,25,5,1.0,0.0,0.0,1.0,0,0,0.9724086,3.5622716,12187
49,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.93514854,2.6686058,4843
50,1.0,28,8,1.0,0.0,0.0,1.0,0,0,0.9687442,3.4337962,0
51,1.0,31,11,1.0,0.0,1.0,1.0,0,0,0.8662667,1.8683455,8087
52,1.0,18,11,1.0,0.0,0.0,1.0,0,0,0.96630806,3.356224,0
53,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.9432835,2.8113017,2348
54,1.0,30,11,1.0,0.0,1.0,1.0,0,0,0.88744277,2.0648823,590
55,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9681635,3.4147873,0
56,1.0,37,9,1.0,0.0,0.0,1.0,0,0,0.97014165,3.4809775,1067
57,1.0,41,4,1.0,0.0,1.0,1.0,0,0,0.8030192,1.4052726,7284
58,1.0,42,14,1.0,0.0,1.0,0.0,0,0,0.69298327,0.81410366,13167
59,1.0,22,11,0.0,0.0,0.0,1.0,0,0,0.54290026,0.17202403,1048
60,1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9715226,3.5297549,0
61,1.0,29,8,1.0,0.0,0.0,1.0,0,0,0.9695469,3.4606416,1923
62,1.0,35,10,1.0,0.0,0.0,1.0,0,0,0.9656803,3.3371134,4666
63,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,549
64,1.0,29,4,1.0,0.0,0.0,1.0,0,0,0.9301523,2.5890312,762
65,1.0,28,9,1.0,0.0,0.0,1.0,0,0,0.9713388,3.5231314,10694
66,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.97692186,3.7455206,0
67,1.0,23,7,0.0,0.0,0.0,1.0,0,0,0.5283262,0.11342629,0
68,1.0,45,5,1.0,0.0,1.0,1.0,0,0,0.76490283,1.1797498,8546
69,1.0,29,13,1.0,0.0,0.0,0.0,0,0,0.8898685,2.0893986,7479
70,1.0,27,9,1.0,0.0,0.0,1.0,0,0,0.97871155,3.828072,0
71,1.0,46,13,1.0,0.0,0.0,0.0,0,0,0.7152274,0.92090964,647
72,1.0,18,6,1.0,0.0,0.0,1.0,0,0,0.9668901,3.3742523,0
73,1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.9432835,2.8113017,11965
