,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0.56663877,0.2681504,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0.86880267,1.8904135,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0.85282046,1.7568958,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9592192,3.1579087,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0.9306388,2.5965436,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0.9644287,3.2999976,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0.8753623,1.9492265,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0.94442165,2.832779,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0.09534556,-2.2500453,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0.96915644,3.447498,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0.8711987,1.9115993,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0.9641501,3.2919054,0
12,1.0,27,10,1.0,0.0,1.0,1.0,0,0.716442,0.92688054,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0.96915644,3.447498,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0.8484616,1.7225859,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0.9644287,3.2999976,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0.82035357,1.5187448,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0.86459816,1.8540179,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0.9644287,3.2999976,0
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0.3578042,-0.5849074,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0.68782884,0.7899884,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9644287,3.2999976,1991
22,1.0,33,11,1.0,0.0,0.0,1.0,7867,0.90542316,2.2589898,6281
23,1.0,18,10,1.0,0.0,0.0,1.0,0,0.96915644,3.447498,11163
24,1.0,29,11,1.0,0.0,1.0,1.0,0,0.716442,0.92688054,9642
