treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
1.0,18,11,1.0,0.0,0.0,1.0,858,214,1.0,inf,929
1.0,28,11,1.0,0.0,0.0,1.0,1929,6871,0.0,-inf,0
1.0,24,10,1.0,0.0,1.0,1.0,11703,4078,0.9477611940298507,2.8982769374032773,0
1.0,20,9,0.0,1.0,0.0,1.0,12260,5875,0.07692307692307693,-2.4849066497880004,1358
1.0,21,9,1.0,0.0,0.0,1.0,6416,5749,0.9477611940298507,2.8982769374032773,743
1.0,17,10,1.0,0.0,0.0,1.0,1291,5793,0.9477611940298507,2.8982769374032773,5522
1.0,33,11,1.0,0.0,0.0,1.0,0,7867,0.9788732394366197,3.8358616444625837,6281
1.0,33,12,1.0,0.0,1.0,0.0,20279,10941,0.0,-inf,15952
1.0,22,12,0.0,0.0,0.0,0.0,6759,8455,0.0,-inf,12590
1.0,22,10,1.0,0.0,1.0,1.0,1468,5588,0.9477611940298507,2.8982769374032773,13228
1.0,31,9,1.0,0.0,0.0,1.0,10717,5517,0.9477611940298507,2.8982769374032773,9558
1.0,29,12,1.0,0.0,0.0,0.0,9748,4878,0.9477611940298507,2.8982769374032773,10976
1.0,19,10,1.0,0.0,0.0,1.0,4121,6056,0.9477611940298507,2.8982769374032773,0
1.0,19,11,0.0,1.0,1.0,1.0,5424,5463,0.0,-inf,6788
1.0,29,10,0.0,1.0,0.0,1.0,0,8853,0.9788732394366197,3.8358616444625837,5112
1.0,22,12,0.0,1.0,1.0,0.0,492,7055,0.9788732394366197,3.8358616444625837,10092
1.0,26,12,1.0,0.0,1.0,0.0,8408,5794,0.9477611940298507,2.8982769374032773,1424
1.0,29,10,1.0,0.0,0.0,1.0,0,4398,0.9477611940298507,2.8982769374032773,0
1.0,19,10,0.0,0.0,0.0,1.0,0,5324,0.0,-inf,13829
1.0,35,9,1.0,0.0,1.0,1.0,13602,13830,0.039473684210526314,-3.1918471524802814,12803
0.0,20,12,1.0,0.0,0.0,0.0,4361,3917,1.0,inf,15885
0.0,45,11,0.0,0.0,1.0,1.0,21516,25243,0.0,-inf,25564
0.0,21,14,1.0,0.0,0.0,0.0,5585,5363,0.9477611940298507,2.8982769374032773,7882
0.0,18,12,0.0,0.0,0.0,0.0,0,5893,0.07692307692307693,-2.4849066497880004,9312
0.0,22,14,1.0,0.0,0.0,0.0,12300,4588,0.9477611940298507,2.8982769374032773,23837
0.0,20,13,1.0,0.0,0.0,0.0,5094,4388,0.9477611940298507,2.8982769374032773,25564
0.0,20,14,0.0,0.0,0.0,0.0,0,6398,0.9788732394366197,3.8358616444625837,25239
0.0,21,14,0.0,0.0,0.0,0.0,3175,5852,0.0,-inf,13496
0.0,38,12,0.0,0.0,1.0,0.0,23039,25130,0.0,-inf,25564
0.0,16,11,1.0,0.0,0.0,1.0,4139,4502,0.9477611940298507,2.8982769374032773,10293
0.0,34,11,1.0,0.0,1.0,1.0,5458,6065,0.9477611940298507,2.8982769374032773,15669
0.0,29,12,1.0,0.0,1.0,0.0,10162,5265,0.9477611940298507,2.8982769374032773,14305
0.0,23,12,1.0,0.0,0.0,0.0,5832,4409,0.9477611940298507,2.8982769374032773,10357
0.0,18,8,0.0,0.0,1.0,1.0,1669,10727,0.0,-inf,9860
0.0,24,12,0.0,0.0,0.0,0.0,0,6126,0.9788732394366197,3.8358616444625837,25564
0.0,18,12,0.0,0.0,0.0,0.0,19,7834,0.9788732394366197,3.8358616444625837,12810
0.0,36,8,1.0,0.0,1.0,1.0,0,5481,0.9477611940298507,2.8982769374032773,8001
0.0,19,10,1.0,0.0,1.0,1.0,3520,5986,0.9477611940298507,2.8982769374032773,19489
0.0,22,11,0.0,0.0,1.0,1.0,16365,18449,0.0,-inf,25564
0.0,49,7,1.0,0.0,0.0,1.0,16444,16028,0.039473684210526314,-3.1918471524802814,15965
