treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,1.0,inf,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.9940047961630696,5.110782242701201,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.5263157894736842,0.10536051565782614,99
1.0,18,8,1.0,0.0,0.0,1.0,1199,1.0,inf,0
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.9940047961630696,5.110782242701201,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,1.0,inf,9371
1.0,18,10,1.0,0.0,0.0,1.0,798,1.0,inf,9737
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.9940047961630696,5.110782242701201,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,1.0,inf,0
1.0,18,10,1.0,0.0,0.0,1.0,1371,1.0,inf,12064
1.0,38,12,0.0,0.0,0.0,0.0,0,1.0,inf,4941
1.0,23,10,1.0,0.0,0.0,1.0,2217,1.0,inf,0
1.0,27,11,1.0,0.0,0.0,1.0,2666,1.0,inf,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,1.0,inf,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.9940047961630696,5.110782242701201,672
1.0,43,9,1.0,0.0,0.0,1.0,0,1.0,inf,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.0055248618784530384,-5.19295685089021,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,1.0,inf,549
1.0,18,9,1.0,0.0,0.0,1.0,1182,1.0,inf,5100
1.0,17,9,0.0,1.0,0.0,1.0,74,1.0,inf,6210
1.0,17,9,1.0,0.0,0.0,1.0,0,1.0,inf,0
1.0,22,11,1.0,0.0,0.0,1.0,0,1.0,inf,6456
1.0,19,10,1.0,0.0,0.0,1.0,3473,1.0,inf,5861
1.0,20,9,0.0,1.0,0.0,1.0,8015,1.0,inf,5487
1.0,20,9,1.0,0.0,0.0,1.0,0,1.0,inf,8881
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.9940047961630696,5.110782242701201,7976
1.0,26,11,1.0,0.0,0.0,1.0,0,1.0,inf,17230
1.0,20,11,1.0,0.0,0.0,1.0,0,1.0,inf,3972
1.0,19,9,1.0,0.0,0.0,1.0,0,1.0,inf,8173
1.0,30,11,1.0,0.0,0.0,1.0,0,1.0,inf,0
1.0,33,11,1.0,0.0,0.0,1.0,7867,0.9940047961630696,5.110782242701201,6281
1.0,34,11,0.0,1.0,0.0,1.0,4641,0.6,0.4054651081081642,2877
1.0,29,11,1.0,0.0,1.0,1.0,0,1.0,inf,9642
1.0,24,11,1.0,0.0,0.0,1.0,9180,0.9940047961630696,5.110782242701201,0
1.0,24,12,1.0,0.0,0.0,0.0,18154,0.4878048780487805,-0.048790164169432056,0
1.0,27,9,1.0,0.0,1.0,1.0,934,1.0,inf,1773
1.0,24,10,1.0,0.0,0.0,1.0,2421,1.0,inf,1660
1.0,19,8,1.0,0.0,0.0,1.0,2937,1.0,inf,7535
1.0,23,12,1.0,0.0,0.0,0.0,0,1.0,inf,0
