treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
1.0,18,11,1.0,0.0,0.0,1.0,858,214,0.6428571428571429,0.5877866649021192,929
1.0,29,14,1.0,0.0,0.0,0.0,1,679,0.9577464788732394,3.1208954165079956,17814
1.0,25,8,1.0,0.0,0.0,1.0,1,1,0.9577464788732394,3.1208954165079956,1
1.0,35,10,1.0,0.0,0.0,1.0,1,1,0.9577464788732394,3.1208954165079956,4666
1.0,20,9,1.0,0.0,0.0,1.0,6083,1,0.6428571428571429,0.5877866649021192,8881
1.0,25,11,1.0,0.0,1.0,1.0,1,1,0.7083333333333334,0.8873031950009029,1574
1.0,20,12,1.0,0.0,0.0,0.0,1,377,0.9577464788732394,3.1208954165079956,1652
1.0,21,12,1.0,0.0,0.0,0.0,1,1,0.9577464788732394,3.1208954165079956,9983
1.0,27,12,1.0,0.0,0.0,0.0,2143,357,0.6428571428571429,0.5877866649021192,22163
1.0,18,10,1.0,0.0,0.0,1.0,1,798,0.9577464788732394,3.1208954165079956,9737
1.0,41,14,0.0,0.0,0.0,0.0,1,1,0.6,0.4054651081081642,5149
1.0,17,8,1.0,0.0,0.0,1.0,1,1,0.9577464788732394,3.1208954165079956,1
1.0,19,11,1.0,0.0,0.0,1.0,2305,2615,0.6428571428571429,0.5877866649021192,4146
1.0,28,11,1.0,0.0,0.0,1.0,1929,6871,0.0006153846153846154,-7.392647520721623,1
1.0,27,10,1.0,0.0,1.0,1.0,1,1,0.7083333333333334,0.8873031950009029,18739
1.0,23,8,0.0,1.0,0.0,1.0,1,1,0.6,0.4054651081081642,3881
1.0,20,10,1.0,0.0,0.0,1.0,5005,2777,0.6428571428571429,0.5877866649021192,5615
1.0,22,9,1.0,0.0,0.0,1.0,2192,3836,0.2413793103448276,-1.1451323043030024,3462
1.0,42,9,1.0,0.0,1.0,1.0,1,3058,0.7083333333333334,0.8873031950009029,1294
1.0,20,11,1.0,0.0,0.0,1.0,16318,1484,0.6428571428571429,0.5877866649021192,6943
